# 🚨
# 🚨 Source: https://wolfberg.net/what/CSW19defs.exe::CSW19defs.txt
# 🚨
	CSW19 (2019-6-28)
horsemen	HORSEMEN HORSEMAN, one who rides a horse [n]
horsemint	HORSEMINT a coarse American plant of the Mint family [n -S]
horsemints	HORSEMINTS HORSEMINT, a coarse American plant of the Mint family [n]
horseplay	HORSEPLAY rough, boisterous play [n -S]
horseplayer	HORSEPLAYER one who habitually bets on horse races [n -S]
horseplayers	HORSEPLAYERS HORSEPLAYER, one who habitually bets on horse races [n]
horseplays	HORSEPLAYS HORSEPLAY, rough, boisterous play [n]
horsepond	HORSEPOND a pond for horses to drink from [n -S]
horseponds	HORSEPONDS HORSEPOND, a pond for horses to drink from [n]
horsepower	HORSEPOWER the power that a horse exerts in pulling [n -S]
horsepowers	HORSEPOWERS HORSEPOWER, the power that a horse exerts in pulling [n]
horsepox	HORSEPOX a skin disease of horses [n -ES]
horsepoxes	HORSEPOXES HORSEPOX, a skin disease of horses [n]
horserace	HORSERACE a race for horses [n -S]
horseraces	HORSERACES HORSERACE, a race for horses [n]
horseradish	HORSERADISH a tall coarse white-flowered herb of the mustard family [n -ES]
horseradishes	HORSERADISHES HORSERADISH, a tall coarse white-flowered herb of the mustard family [n]
horses	HORSES HORSE, to provide with a large hoofed mammal [v]
horseshit	HORSESHIT (vulgar) horse droppings [n -S]
horseshits	HORSESHITS HORSESHIT, (vulgar) horse droppings [n]
horseshod	HORSESHOD shod with horseshoes [adj]
horseshoe	HORSESHOE a shoe for a horse [n -S] / to put horseshoes on [v HORSESHOED or HORSESHOD, HORSESHOEING, HORSESHOES]
horseshoed	HORSESHOED HORSESHOE, to put horseshoes on [v]
horseshoeing	HORSESHOEING the act of shoeing a horse [n -S]
horseshoeings	HORSESHOEINGS HORSESHOEING, the act of shoeing a horse [n]
horseshoer	HORSESHOER one who shoes horses [n -S]
horseshoers	HORSESHOERS HORSESHOER, one who shoes horses [n]
horseshoes	HORSESHOES HORSESHOE, to put horseshoes on [v]
horsetail	HORSETAIL a waterside plant [n -S]
horsetails	HORSETAILS HORSETAIL, a waterside plant [n]
horseway	HORSEWAY a road for horses [n -S]
horseways	HORSEWAYS HORSEWAY, a road for horses [n]
horseweed	HORSEWEED a common American weed of the composite family [n -S]
horseweeds	HORSEWEEDS HORSEWEED, a common American weed of the composite family [n]
horsewhip	HORSEWHIP a whip for driving horses [n -S] / to beat with a horsewhip [v HORSEWHIPPED, HORSEWHIPPING, HORSEWHIPS]
horsewhipped	HORSEWHIPPED HORSEWHIP, to beat with a horsewhip [v]
horsewhipper	HORSEWHIPPER one who uses a horsewhip [n -S]
horsewhippers	HORSEWHIPPERS HORSEWHIPPER, one who uses a horsewhip [n]
horsewhipping	HORSEWHIPPING HORSEWHIP, to beat with a horsewhip [v]
horsewhips	HORSEWHIPS HORSEWHIP, to beat with a horsewhip [v]
horsewoman	HORSEWOMAN a woman who is a rider or a driver of horses [n HORSEWOMEN]
horsewomen	HORSEWOMEN HORSEWOMAN, a woman who is a rider or a driver of horses [n]
horsey	HORSEY like a horse, also HORSY [adj HORSIER, HORSIEST]
horsie	HORSIE a child's name for a horse [n HORSIES]
horsier	HORSIER HORSEY, like a horse, also HORSY [adj]
horsies	HORSIES HORSIE, a child's name for a horse [n]
horsiest	HORSIEST HORSEY, like a horse, also HORSY [adj]
horsily	HORSILY HORSY, like a horse, also HORSEY [adv]
horsiness	HORSINESS the state of being horsy [n -ES]
horsinesses	HORSINESSES HORSINESS, the state of being horsy [n]
horsing	HORSING the birching of a person mounted on another's back [n -S]
horsings	HORSINGS HORSING, the birching of a person mounted on another's back [n]
horson	HORSON (Shakespeare) a whoreson, a son of a whore [n -S]
horsons	HORSONS HORSON, (Shakespeare) a whoreson, a son of a whore [n]
horst	HORST (German) a mass of the earth's crust that lies between two faults and is higher than the surrounding land, also HORSTE [n -S]
horste	HORSTE (German) a mass of the earth's crust that lies between two faults and is higher than the surrounding land, also HORST [n -S]
horstes	HORSTES HORSTE, (German) a mass of the earth's crust that lies between two faults and is higher than the surrounding land, also HORST [n]
horsts	HORSTS HORST, (German) a mass of the earth's crust that lies between two faults and is higher than the surrounding land, also HORSTE [n]
horsy	HORSY like a horse, also HORSEY [adj HORSIER, HORSIEST, HORSILY]
hortation	HORTATION the act of exhorting [n -S]
hortations	HORTATIONS HORTATION, the act of exhorting [n]
hortative	HORTATIVE giving exhortation; advisory, also HORTATORY [adj HORTATIVELY]
hortatively	HORTATIVELY HORTATIVE, giving exhortation; advisory, also HORTATORY [adv]
hortatorily	HORTATORILY HORTATORY, giving exhortation; advisory, also HORTATIVE [adv]
hortatory	HORTATORY giving exhortation; advisory, also HORTATIVE [adj HORTATORILY]
hortensia	HORTENSIA a hydrangea of a group of varieties that have large rounded flower heads composed chiefly of sterile florets [n -S]
hortensias	HORTENSIAS HORTENSIA, a hydrangea of a group of varieties that have large rounded flower heads composed chiefly of sterile florets [n]
horticultural	HORTICULTURAL relating to horticulture [adj HORTICULTURALLY]
horticulturally	HORTICULTURALLY HORTICULTURAL, relating to horticulture [adv]
horticulture	HORTICULTURE the science and art of growing fruits, vegetables, flowers, or ornamental plants [n -S]
horticultures	HORTICULTURES HORTICULTURE, the science and art of growing fruits, vegetables, flowers, or ornamental plants [n]
horticulturist	HORTICULTURIST one who practises horticulture [n -S]
horticulturists	HORTICULTURISTS HORTICULTURIST, one who practises horticulture [n]
hos	HOS HO, to stop [v]
hosanna	HOSANNA (Hebrew) a shout of praise or adoration [n -S] / to shout with praise and adoration, also HOSANNAH [v -ED, -ING, -S]
hosannaed	HOSANNAED HOSANNA, to shout with praise and adoration, also HOSANNAH [v]
hosannah	HOSANNAH a shout of praise [n -S]
hosannahs	HOSANNAHS HOSANNAH, a shout of praise [n]
hosannaing	HOSANNAING HOSANNA, to shout with praise and adoration, also HOSANNAH [v]
hosannas	HOSANNAS HOSANNA, to shout with praise and adoration, also HOSANNAH [v]
hose	HOSE to spray with water [v HOSED, HOSING, HOSES] / stockings or socks [n HOSEN]
hosed	HOSED HOSE, to spray with water [v]
hosel	HOSEL a socket in the head of a golf club into which the shaft is inserted [n -S]
hoselike	HOSELIKE like a hose [adj]
hosels	HOSELS HOSEL, a socket in the head of a golf club into which the shaft is inserted [n]
hoseman	HOSEMAN a fireman who directs the stream of water [n HOSEMEN]
hosemen	HOSEMEN HOSEMAN, a fireman who directs the stream of water [n]
hosen	HOSEN HOSE, stockings or socks [n]
hosepipe	HOSEPIPE a flexible water pipe [n -S]
hosepipes	HOSEPIPES HOSEPIPE, a flexible water pipe [n]
hoser	HOSER a person who deceives or swindles others [n -S]
hosers	HOSERS HOSER, a person who deceives or swindles others [n]
hoses	HOSES HOSE, to spray with water [v]
hosey	HOSEY to choose sides in a child's game [v -ED, -ING, -S]
hoseyed	HOSEYED HOSEY, to choose sides in a child's game [v]
hoseying	HOSEYING HOSEY, to choose sides in a child's game [v]
hoseys	HOSEYS HOSEY, to choose sides in a child's game [v]
hosier	HOSIER a person who makes or deals in hose or stockings, or in these and knitted or woven underwear [n -S]
hosieries	HOSIERIES HOSIERY, stockings or socks [n]
hosiers	HOSIERS HOSIER, a person who makes or deals in hose or stockings, or in these and knitted or woven underwear [n]
hosiery	HOSIERY stockings or socks [n HOSIERIES]
hosing	HOSING HOSE, to spray with water [v]
hospice	HOSPICE a shelter [n -S]
hospices	HOSPICES HOSPICE, a shelter [n]
hospitable	HOSPITABLE kind to strangers [adj HOSPITABLY]
hospitableness	HOSPITABLENESS the state of being hospitable [n]
hospitably	HOSPITABLY HOSPITABLE, kind to strangers [adv]
hospitage	HOSPITAGE (Spenser) hospitality [n -S]
hospitages	HOSPITAGES HOSPITAGE, (Spenser) hospitality [n]
hospital	HOSPITAL a medical institution [n -S]
hospitale	HOSPITALE (Spenser) lodging [n -S]
hospitaler	HOSPITALER (US) a member of a charitable brotherhood for the care of the sick in hospitals, also HOSPITALLER [n -S]
hospitalers	HOSPITALERS HOSPITALER, (US) a member of a charitable brotherhood for the care of the sick in hospitals, also HOSPITALLER [n]
hospitales	HOSPITALES HOSPITALE, (Spenser) lodging [n]
hospitalisation	HOSPITALISATION the act of admitting to hospital, also HOSPITALIZATION [n]
hospitalise	HOSPITALISE to put into hospital, also HOSPITALIZE [v HOSPITALISED, HOSPITALISING, HOSPITALISES]
hospitalised	HOSPITALISED HOSPITALISE, to put into hospital, also HOSPITALIZE [v]
hospitalises	HOSPITALISES HOSPITALISE, to put into hospital, also HOSPITALIZE [v]
hospitalising	HOSPITALISING HOSPITALISE, to put into hospital, also HOSPITALIZE [v]
hospitalist	HOSPITALIST a physician who primarily dedicates his or her practice to the care of hospitalized patients [n -S]
hospitalists	HOSPITALISTS HOSPITALIST, a physician who primarily dedicates his or her practice to the care of hospitalized patients [n]
hospitalities	HOSPITALITIES HOSPITALITY, hospitable treatment [n]
hospitality	HOSPITALITY hospitable treatment [n HOSPITALITIES]
hospitalization	HOSPITALIZATION the act of admitting to hospital, also HOSPITALISATION [n]
hospitalize	HOSPITALIZE to place in a hospital as a patient, also HOSPITALISE [v HOSPITALIZED, HOSPITALIZING, HOSPITALIZES]
hospitalized	HOSPITALIZED HOSPITALIZE, to place in a hospital as a patient, also HOSPITALISE [v]
hospitalizes	HOSPITALIZES HOSPITALIZE, to place in a hospital as a patient, also HOSPITALISE [v]
hospitalizing	HOSPITALIZING HOSPITALIZE, to place in a hospital as a patient, also HOSPITALISE [v]
hospitaller	HOSPITALLER a member of a charitable brotherhood for the care of the sick in hospitals, also HOSPITALER [n -S]
hospitallers	HOSPITALLERS HOSPITALLER, a member of a charitable brotherhood for the care of the sick in hospitals, also HOSPITALER [n]
hospitals	HOSPITALS HOSPITAL, a medical institution [n]
hospitia	HOSPITIA HOSPITIUM, (Latin) a nursing home for the terminally ill [n]
hospitium	HOSPITIUM (Latin) a nursing home for the terminally ill [n HOSPITIA]
hospodar	HOSPODAR (historical) a prince or governor, esp. of Moldavia or Wallachia, also GOSPODAR [n -S]
hospodars	HOSPODARS HOSPODAR, (historical) a prince or governor, esp. of Moldavia or Wallachia, also GOSPODAR [n]
hoss	HOSS (slang) a horse [n -ES]
hosses	HOSSES HOSS, (slang) a horse [n]
host	HOST to entertain socially [v -ED, -ING, -S]
hosta	HOSTA any plant of the liliaceous genus Hosta [n -S]
hostage	HOSTAGE a person held as security [n -S]
hostages	HOSTAGES HOSTAGE, a person held as security [n]
hostas	HOSTAS HOSTA, any plant of the liliaceous genus Hosta [n]
hosted	HOSTED HOST, to entertain socially [v]
hostel	HOSTEL to stay overnight in hostels when travelling [v HOSTELED or HOSTELLED, HOSTELING or HOSTELLING, HOSTELS]
hosteled	HOSTELED HOSTEL, to stay overnight in hostels when travelling [v]
hosteler	HOSTELER a person who lives in or uses a hostel, esp. a youth hostel, also HOSTELLER [n -S]
hostelers	HOSTELERS HOSTELER, a person who lives in or uses a hostel, esp. a youth hostel, also HOSTELLER [n]
hosteling	HOSTELING the act of staying overnight in hostels when travelling, also HOSTELLING [n -S]
hostelings	HOSTELINGS HOSTELING, the act of staying overnight in hostels when travelling, also HOSTELLING [n]
hostelled	HOSTELLED HOSTEL, to stay overnight in hostels when travelling [v]
hosteller	HOSTELLER a person who lives in or uses a hostel, esp. a youth hostel, also HOSTELER [n -S]
hostellers	HOSTELLERS HOSTELLER, a person who lives in or uses a hostel, esp. a youth hostel, also HOSTELER [n]
hostelling	HOSTELLING the act of staying overnight in hostels when travelling, also HOSTELING [n -S]
hostellings	HOSTELLINGS HOSTELLING, the act of staying overnight in hostels when travelling, also HOSTELING [n]
hostelries	HOSTELRIES HOSTELRY, an inn [n]
hostelry	HOSTELRY an inn [n HOSTELRIES]
hostels	HOSTELS HOSTEL, to stay overnight in hostels when travelling [v]
hostess	HOSTESS to act as a woman who entertains socially [v -ED, -ING, -ES]
hostessed	HOSTESSED HOSTESS, to act as a woman who entertains socially [v]
hostesses	HOSTESSES HOSTESS, to act as a woman who entertains socially [v]
hostessing	HOSTESSING HOSTESS, to act as a woman who entertains socially [v]
hostie	HOSTIE (Australian slang) an air hostess [n -S]
hosties	HOSTIES HOSTIE, (Australian slang) an air hostess [n]
hostile	HOSTILE like an enemy [adj HOSTILELY] / an enemy [n -S]
hostilely	HOSTILELY HOSTILE, like an enemy [adv]
hostiles	HOSTILES HOSTILE, an enemy [n]
hostilities	HOSTILITIES HOSTILITY, the state of being hostile [n]
hostility	HOSTILITY the state of being hostile [n HOSTILITIES]
hosting	HOSTING a battle, a muster [n -S]
hostings	HOSTINGS HOSTING, a battle, a muster [n]
hostler	HOSTLER one who tends horses at an inn, also OSTLER [n -S]
hostlers	HOSTLERS HOSTLER, one who tends horses at an inn, also OSTLER [n]
hostless	HOSTLESS lacking a host, also HOSTLESSE [adj]
hostlesse	HOSTLESSE (Spenser) inhospitable, also HOSTLESS [adj]
hostly	HOSTLY pertaining to one who hosts [adj]
hostries	HOSTRIES HOSTRY, (Spenser) a hostelry; an inn or lodging house [n]
hostry	HOSTRY (Spenser) a hostelry; an inn or lodging house [n HOSTRIES]
hosts	HOSTS HOST, to entertain socially [v]
hot	HOT having a high temperature [adj HOTTER, HOTTEST] / to heat [v HOTTED, HOTTING, HOTS]
hotbed	HOTBED a place favourable to rapid growth [n -S]
hotbeds	HOTBEDS HOTBED, a place favourable to rapid growth [n]
hotblood	HOTBLOOD a reckless person [n -S]
hotbloods	HOTBLOODS HOTBLOOD, a reckless person [n]
hotbox	HOTBOX to smoke marijuana in a small confined area until it is full of smoke [v -ED, -ING, -ES]
hotboxed	HOTBOXED HOTBOX, to smoke marijuana in a small confined area until it is full of smoke [v]
hotboxes	HOTBOXES HOTBOX, to smoke marijuana in a small confined area until it is full of smoke [v]
hotboxing	HOTBOXING HOTBOX, to smoke marijuana in a small confined area until it is full of smoke [v]
hotcake	HOTCAKE (US) a griddlecake [n -S]
hotcakes	HOTCAKES HOTCAKE, (US) a griddlecake [n]
hotch	HOTCH (Scots) to hitch, jog [v -ED, -ING, -ES]
hotched	HOTCHED HOTCH, (Scots) to hitch, jog [v]
hotches	HOTCHES HOTCH, (Scots) to hitch, jog [v]
hotching	HOTCHING HOTCH, (Scots) to hitch, jog [v]
hotchpot	HOTCHPOT a confused mass of ingredients shaken or mixed together in the same pot, also HODGEPODGE, HOTCHPOTCH [n -S]
hotchpotch	HOTCHPOTCH a confused mass of ingredients shaken or mixed together in the same pot, also HODGEPODGE, HOTCHPOT [n -ES]
hotchpotches	HOTCHPOTCHES HOTCHPOTCH, a confused mass of ingredients shaken or mixed together in the same pot, also HODGEPODGE, HOTCHPOT [n]
hotchpots	HOTCHPOTS HOTCHPOT, a confused mass of ingredients shaken or mixed together in the same pot, also HODGEPODGE, HOTCHPOTCH [n]
hotdog	HOTDOG to perform in a showy manner [v HOTDOGGED, HOTDOGGING, HOTDOGS]
hotdogged	HOTDOGGED HOTDOG, to perform in a showy manner [v]
hotdogger	HOTDOGGER one who hotdogs, shows off [n -S]
hotdoggers	HOTDOGGERS HOTDOGGER, one who hotdogs, shows off [n]
hotdogging	HOTDOGGING HOTDOG, to perform in a showy manner [v]
hotdogs	HOTDOGS HOTDOG, to perform in a showy manner [v]
hote	HOTE HIGHT, (archaic) to command, also HECHT, HETE [v]
hotel	HOTEL an inn [n -S]
hoteldom	HOTELDOM hotels and hotel workers [n -S]
hoteldoms	HOTELDOMS HOTELDOM, hotels and hotel workers [n]
hotelier	HOTELIER (French) a hotel manager, also HOTELMAN [n -S]
hoteliers	HOTELIERS HOTELIER, (French) a hotel manager, also HOTELMAN [n]
hoteling	HOTELING (in an office where hot-desking is practised) the advance booking of a desk by an employee [n -S]
hotelings	HOTELINGS HOTELING, (in an office where hot-desking is practised) the advance booking of a desk by an employee [n]
hotelling	HOTELLING (in an office where hot-desking is practised) the advance booking of a desk by an employee, also HOTELING [n -S]
hotellings	HOTELLINGS HOTELLING, (in an office where hot-desking is practised) the advance booking of a desk by an employee, also HOTELING [n]
hotelman	HOTELMAN a hotel manager, also HOTELIER [n HOTELMEN]
hotelmen	HOTELMEN HOTELMAN, a hotel manager, also HOTELIER [n]
hotels	HOTELS HOTEL, an inn [n]
hoten	HOTEN HIGHT, (archaic) to command, also HECHT, HETE [v]
hotfoot	HOTFOOT to hurry [v -ED, -ING, -S]
hotfooted	HOTFOOTED HOTFOOT, to hurry [v]
hotfooting	HOTFOOTING HOTFOOT, to hurry [v]
hotfoots	HOTFOOTS HOTFOOT, to hurry [v]
hothead	HOTHEAD an impetuous person [n -S]
hotheaded	HOTHEADED rash, impetuous [adj HOTHEADEDLY]
hotheadedly	HOTHEADEDLY HOTHEADED, rash, impetuous [adv]
hotheadedness	HOTHEADEDNESS HOTHEADED, rash, impetuous [n]
hotheadednesses	HOTHEADEDNESSES HOTHEADEDNESS, HOTHEADED, rash, impetuous [n]
hotheads	HOTHEADS HOTHEAD, an impetuous person [n]
hothouse	HOTHOUSE to rear intensively [v HOTHOUSED, HOTHOUSING, HOTHOUSES]
hothoused	HOTHOUSED HOTHOUSE, to rear intensively [v]
hothouses	HOTHOUSES HOTHOUSE, to rear intensively [v]
hothousing	HOTHOUSING the act of rearing intensively [n -S]
hothousings	HOTHOUSINGS HOTHOUSING, the act of rearing intensively [n]
hotline	HOTLINE a direct communications system for immediate contact [n -S]
hotliner	HOTLINER someone running a radio call-in show [n -S]
hotliners	HOTLINERS HOTLINER, someone running a radio call-in show [n]
hotlines	HOTLINES HOTLINE, a direct communications system for immediate contact [n]
hotlink	HOTLINK an area on a website connecting to another site [n -S]
hotlinks	HOTLINKS HOTLINK, an area on a website connecting to another site [n]
hotly	HOTLY HOT, having a high temperature [adv]
hotness	HOTNESS the state of being hot [n -ES]
hotnesses	HOTNESSES HOTNESS, the state of being hot [n]
hotplate	HOTPLATE an electrically heated cooking plate [n -S]
hotplates	HOTPLATES HOTPLATE, an electrically heated cooking plate [n]
hotpot	HOTPOT a stewed dish of chopped meat and potatoes [n -S]
hotpots	HOTPOTS HOTPOT, a stewed dish of chopped meat and potatoes [n]
hotpress	HOTPRESS to subject to heat and pressure, e.g. for the purpose of giving a smooth and glossy surface [v -ED, -ING, -ES]
hotpressed	HOTPRESSED HOTPRESS, to subject to heat and pressure, e.g. for the purpose of giving a smooth and glossy surface [v]
hotpresses	HOTPRESSES HOTPRESS, to subject to heat and pressure, e.g. for the purpose of giving a smooth and glossy surface [v]
hotpressing	HOTPRESSING HOTPRESS, to subject to heat and pressure, e.g. for the purpose of giving a smooth and glossy surface [v]
hotrod	HOTROD a motorcar converted for speed by stripping off inessentials [n -S]
hotrods	HOTRODS HOTROD, a motorcar converted for speed by stripping off inessentials [n]
hots	HOTS HOT, to heat [v]
hotshot	HOTSHOT an important or exceptionally able person [n -S]
hotshots	HOTSHOTS HOTSHOT, an important or exceptionally able person [n]
hotspot	HOTSPOT an area known for violence or unrest [n -S]
hotspots	HOTSPOTS HOTSPOT, an area known for violence or unrest [n]
hotspur	HOTSPUR a rash, hotheaded man [n -S]
hotspurs	HOTSPURS HOTSPUR, a rash, hotheaded man [n]
hotted	HOTTED HOT, to heat [v]
hottentot	HOTTENTOT a small fish [n -S]
hottentots	HOTTENTOTS HOTTENTOT, a small fish [n]
hotter	HOTTER to vibrate, to tremble [v -ED, -ING, -S]
hottered	HOTTERED HOTTER, to vibrate, to tremble [v]
hottering	HOTTERING HOTTER, to vibrate, to tremble [v]
hotters	HOTTERS HOTTER, to vibrate, to tremble [v]
hottest	HOTTEST HOT, having a high temperature [adj]
hottie	HOTTIE a hot-water bottle, a sexually attractive person, also HOTTY [n -S]
hotties	HOTTIES HOTTIE, a hot-water bottle, a sexually attractive person, also HOTTY [n]
hotting	HOTTING attempting stunts in stolen powerful cars [n -S]
hottings	HOTTINGS HOTTING, attempting stunts in stolen powerful cars [n]
hottish	HOTTISH somewhat hot [adj]
hotty	HOTTY a hot-water bottle, a sexually attractive person, also HOTTIE [n HOTTIES]
houdah	HOUDAH (Arabic) a seat on an elephant's back, also HOWDAH [n -S]
houdahs	HOUDAHS HOUDAH, (Arabic) a seat on an elephant's back, also HOWDAH [n]
houdan	HOUDAN (French) a type of domestic fowl [n -S]
houdans	HOUDANS HOUDAN, (French) a type of domestic fowl [n]
houf	HOUF (Scots) a place where one is often found, a haunt [n -S] / to haunt, frequent, also HOUFF, HOWF, HOWFF [v -ED, -ING, -S]
houfed	HOUFED HOUF, to haunt, frequent, also HOUFF, HOWF, HOWFF [v]
houff	HOUFF (Scots) a place where one is often found, a haunt [n -S] / to haunt, frequent, also HOUF, HOWF, HOWFF [v -ED, -ING, -S]
houffed	HOUFFED HOUFF, to haunt, frequent, also HOUF, HOWF, HOWFF [v]
houffing	HOUFFING HOUFF, to haunt, frequent, also HOUF, HOWF, HOWFF [v]
houffs	HOUFFS HOUFF, to haunt, frequent, also HOUF, HOWF, HOWFF [v]
houfing	HOUFING HOUF, to haunt, frequent, also HOUFF, HOWF, HOWFF [v]
houfs	HOUFS HOUF, to haunt, frequent, also HOUFF, HOWF, HOWFF [v]
hough	HOUGH to hamstring [v -ED, -ING, -S]
houghed	HOUGHED HOUGH, to hamstring [v]
houghing	HOUGHING HOUGH, to hamstring [v]
houghmagandie	HOUGHMAGANDIE fornication, also HOCHMAGANDY [n -S]
houghmagandies	HOUGHMAGANDIES HOUGHMAGANDIE, fornication, also HOCHMAGANDY [n]
houghs	HOUGHS HOUGH, to hamstring [v]
houhere	HOUHERE (Maori) a small evergreen New Zealand tree [n -S]
houheres	HOUHERES HOUHERE, (Maori) a small evergreen New Zealand tree [n]
hoummos	HOUMMOS (Turkish) a Middle Eastern hors d'oeuvre of pureed chickpea and sesame oil, also HOMMOS, HOUMOUS, HOUMUS, HUMMUS, HUMOUSES [n -ES]
hoummoses	HOUMMOSES HOUMMOS, (Turkish) a Middle Eastern hors d'oeuvre of pureed chickpea and sesame oil, also HOMMOS, HOUMOUS, HOUMUS, HUMMUS, HUMOUSES [n]
houmous	HOUMOUS (Turkish) a Middle Eastern hors d'oeuvre of pureed chickpea and sesame oil, also HOMMOS, HOUMMOS, HOUMUS, HUMMUS, HUMOUSES [n -ES]
houmouses	HOUMOUSES HOUMOUS, (Turkish) a Middle Eastern hors d'oeuvre of pureed chickpea and sesame oil, also HOMMOS, HOUMMOS, HOUMUS, HUMMUS, HUMOUSES [n]
houmus	HOUMUS (Turkish) a Middle Eastern hors d'oeuvre of pureed chickpea and sesame oil, also HOMMOS, HOUMMOS, HOUMOUS, HUMMUS, HUMOUSES [n -ES]
houmuses	HOUMUSES HOUMUS, (Turkish) a Middle Eastern hors d'oeuvre of pureed chickpea and sesame oil, also HOMMOS, HOUMMOS, HOUMOUS, HUMMUS, HUMOUSES [n]
hound	HOUND to pursue relentlessly [v -ED, -ING, -S]
hounded	HOUNDED HOUND, to pursue relentlessly [v]
hounder	HOUNDER one who hounds [n -S]
hounders	HOUNDERS HOUNDER, one who hounds [n]
houndfish	HOUNDFISH a name given to various species of small shark or dogfish [n -ES]
houndfishes	HOUNDFISHES HOUNDFISH, a name given to various species of small shark or dogfish [n]
hounding	HOUNDING HOUND, to pursue relentlessly [v]
hounds	HOUNDS HOUND, to pursue relentlessly [v]
houngan	HOUNGAN a voodoo priest, also HUNGAN [n -S]
houngans	HOUNGANS HOUNGAN, a voodoo priest, also HUNGAN [n]
hour	HOUR a period of sixty minutes, also HOWRE [n -S]
hourglass	HOURGLASS an instrument for measuring the hours by the running of sand through a narrow neck [n -ES]
hourglasses	HOURGLASSES HOURGLASS, an instrument for measuring the hours by the running of sand through a narrow neck [n]
houri	HOURI (Persian) any of the virgins of the Muslim paradise, promised as wives to believers [n -S]
houris	HOURIS HOURI, (Persian) any of the virgins of the Muslim paradise, promised as wives to believers [n]
hourlies	HOURLIES HOURLY, something done every hour [n]
hourlong	HOURLONG lasting an hour [adj]
hourly	HOURLY every hour [adj] / something done every hour [n HOURLIES]
hourplate	HOURPLATE a timepiece dial [n -S]
hourplates	HOURPLATES HOURPLATE, a timepiece dial [n]
hours	HOURS HOUR, a period of sixty minutes, also HOWRE [n]
house	HOUSE to reside in a building [v HOUSED, HOUSING, HOUSES]
houseboat	HOUSEBOAT a boat moored and used as a permanent residence [n -S]
houseboater	HOUSEBOATER one who lives on a houseboat [n -S]
houseboaters	HOUSEBOATERS HOUSEBOATER, one who lives on a houseboat [n]
houseboats	HOUSEBOATS HOUSEBOAT, a boat moored and used as a permanent residence [n]
housebound	HOUSEBOUND confined to the house [adj]
houseboy	HOUSEBOY a male servant [n -S]
houseboys	HOUSEBOYS HOUSEBOY, a male servant [n]
housebreak	HOUSEBREAK to train a pet not to relieve itself indoors [v HOUSEBROKE, HOUSEBROKEN, HOUSEBREAKING, HOUSEBREAKS]
housebreaker	HOUSEBREAKER a person who breaks into and enters a house for the purpose of stealing [n -S]
housebreakers	HOUSEBREAKERS HOUSEBREAKER, a person who breaks into and enters a house for the purpose of stealing [n]
housebreaking	HOUSEBREAKING the act of breaking into a house for the purpose of stealing [n -S]
housebreakings	HOUSEBREAKINGS HOUSEBREAKING, the act of breaking into a house for the purpose of stealing [n]
housebreaks	HOUSEBREAKS HOUSEBREAK, to train a pet not to relieve itself indoors [v]
housebroke	HOUSEBROKE HOUSEBREAK, to train a pet not to relieve itself indoors [v]
housebroken	HOUSEBROKEN HOUSEBREAK, to train a pet not to relieve itself indoors [v]
housecarl	HOUSECARL (Old English) a household retainer of an Anglo-Saxon leader [n -S]
housecarls	HOUSECARLS HOUSECARL, (Old English) a household retainer of an Anglo-Saxon leader [n]
houseclean	HOUSECLEAN to clean a house and its furniture [v -ED, -ING, -S]
housecleaned	HOUSECLEANED HOUSECLEAN, to clean a house and its furniture [v]
housecleaning	HOUSECLEANING the act of cleaning house [n -S]
housecleanings	HOUSECLEANINGS HOUSECLEANING, the act of cleaning house [n]
housecleans	HOUSECLEANS HOUSECLEAN, to clean a house and its furniture [v]
housecoat	HOUSECOAT a woman's usually long coat-like dressing-gown, worn at home [n -S]
housecoats	HOUSECOATS HOUSECOAT, a woman's usually long coat-like dressing-gown, worn at home [n]
housecraft	HOUSECRAFT the craft of looking after a house [n -S]
housecrafts	HOUSECRAFTS HOUSECRAFT, the craft of looking after a house [n]
housed	HOUSED HOUSE, to reside in a building [v]
housedress	HOUSEDRESS a dress with simple lines that is suitable for housework and is made usually of a washable fabric [n -ES]
housedresses	HOUSEDRESSES HOUSEDRESS, a dress with simple lines that is suitable for housework and is made usually of a washable fabric [n]
housefather	HOUSEFATHER a man in charge of a dormitory, hall, or hostel [n -S]
housefathers	HOUSEFATHERS HOUSEFATHER, a man in charge of a dormitory, hall, or hostel [n]
houseflies	HOUSEFLIES HOUSEFLY, a common fly [n]
housefly	HOUSEFLY a common fly [n HOUSEFLIES]
housefront	HOUSEFRONT the facade of a house [n -S]
housefronts	HOUSEFRONTS HOUSEFRONT, the facade of a house [n]
houseful	HOUSEFUL as much as a house can hold [n -S]
housefuls	HOUSEFULS HOUSEFUL, as much as a house can hold [n]
houseguest	HOUSEGUEST a guest in a private house [n -S]
houseguests	HOUSEGUESTS HOUSEGUEST, a guest in a private house [n]
household	HOUSEHOLD those who are held together in the same house, and compose a family [n -S]
householder	HOUSEHOLDER a person who occupies a house or tenement alone or as the head of a household [n -S]
householders	HOUSEHOLDERS HOUSEHOLDER, a person who occupies a house or tenement alone or as the head of a household [n]
householdership	HOUSEHOLDERSHIP the office of householder [n]
households	HOUSEHOLDS HOUSEHOLD, those who are held together in the same house, and compose a family [n]
househusband	HOUSEHUSBAND a husband who does housekeeping usually while his wife earns the family income [n -S]
househusbands	HOUSEHUSBANDS HOUSEHUSBAND, a husband who does housekeeping usually while his wife earns the family income [n]
