name,sex,meaning,origin
Bellamy,M,Handsome friend,French
Bellanca,F,Stronghold,Greek
Bellangere,M,Son of Alexandre,Arthurian Legend
Belle,F,Beautiful woman,French
Belle,F,Beautiful woman,Italian
Belle,F,Beautiful woman,Latin
Belle,F,Beautiful woman,Spanish
Bellinus,M,Name of a king,Anglo-Saxon
Beltran,M,Bright raven,Spanish
Belva,F,Beautiful,French
Belynda,F,Beautiful woman,Italian
Belynda,F,Beautiful woman,Spanish
Bem,M,Bear,German
Bem,M,Peace,African
Bemabe,M,Son of comfort,Spanish
Bemadette,F,Has the courage of a bear,German
Bembe,M,Son of prophecy,Spanish
Bemeere,M,Trumpeter,English
Bemelle,M,Strong as a bear,English
Bemelle,M,Strong as a bear,German
Bemia,F,Battle maid,Anglo-Saxon
Bemossed,M,Walker,Native American
Bemot,M,Brave as a bear,German
Bemus,M,Platform,Greek
Ben,M,Behold - a son,Hebrew
Ben,M,Blessed,English
Ben,M,Blessed,Latin
Bena,F,Pheasant,Native American
Benat,M,Brave as a bear,German
Bence,M,Victor,Hungarian
Bendigeidfran,M,Name of a king,Celtic
Bene,M,Blessed,Latin
Benecroft,M,From the bean field,English
Benedekt,M,Blessed,Latin
Benedetto,M,Blessed,Latin
Benedick,M,Appeared in Much Ado About Nothing,Shakespearian
Benedict,M,Blessed,English
Benedict,M,Blessed,Latin
Benedicto,M,Blessed,Spanish
Benedictson,M,Son of Benedict,Hebrew
Benen,M,Blessed,Latin
Benen,M,Kind,Irish
Benet,M,Blessed,Latin
Bengt,M,Blessed,Latin
Beniamino,M,Son of the right hand,Hebrew
Benigna,F,Kind,Spanish
Benita,F,Blessed,Latin
Benita,F,Blessed,Spanish
Benito,M,Blessed,Latin
Benjamin,M,Son of the right hand,Hebrew
Benji,M,Blessed,English
Benji,M,Son of the right hand,Hebrew
Benjie,M,Son of the right hand,Hebrew
Benjy,M,Blessed,English
Benkamin,M,Farmer,Hebrew
Benn,M,Blessed,English
Benn,M,Blessed,Latin
Benner,M,Blessed,Latin
Bennet,M,Blessed,English
Bennett,M,Blessed,English
Bennett,M,Blessed,Latin
Bennie,M,Blessed,English
Bennie,M,Son of the right hand,Hebrew
Benny,M,Behold - a son,Hebrew
Benny,M,Blessed,English
Benoic,M,From Ban,Anglo-Saxon
Benoit,M,Blessed,Latin
Benon,M,"Bright, Famous",English
Benoni,M,Son of my sorrows,Hebrew
Benoyce,M,Name of a kingdom,Arthurian Legend
Benquasha,F,Daughter of Ben,Native American
Benroy,M,Son of a lion,Hebrew
Bensen,M,"Ben's son, Excellent son",English
Bensen,M,"Ben's son, Excellent son",Hebrew
Benson,M,"Ben's son, Excellent son",English
Benson,M,"Ben's son, Excellent son",Hebrew
Bent,M,Blessed,Latin
Bente,F,Blessed,Latin
Bentleah,M,From the bent grass meadow,English
Bentleigh,M,From the bent grass meadow,English
Bentley,M,From the moors,English
Benton,M,Blessed,Latin
Benton,M,Settlement in a grassy place.,English
Benvolio,M,Appeared in Romeo & Juliet,Shakespearian
Benwick,M,From Ban,Anglo-Saxon
Benzion,M,Son of Zion,Hebrew
Beolagh,M,Foolish,Irish
Beomann,M,Beekeeper,English
Beomia,F,Battle maid,Anglo-Saxon
Beore,M,Birch tree,English
Beorht,M,Glorious,English
Beorhthilde,F,Shining battlemaid,English
Beorhthram,M,Bright raven,English
Beorhthramm,M,Glorious raven,English
Beorhttun,M,From the fortified town,English
Beorn,M,Warrior,Anglo-Saxon
Beornet,M,Leader,English
Beornham,M,From the nobleman's home,English
Beornwulf,M,Name of a king,Anglo-Saxon
Beortbtraed,F,Bright counselor,English
Beowulf,M,Intelligent wolf,Anglo-Saxon
Ber,M,Bear,German
Berakhiah,M,God blesses,Hebrew
Berangari,F,Spearbearer maid,English
Berangaria,F,Name of a princess,French
Berangèr,F,Courage of a bear,French
Berchtwald,M,Bright ruler,German
Bercilak,M,The Green Knight,Arthurian Legend
Bercleah,M,Lives at the birch tree meadow,English
Berdina,F,Glorious,German
Berdine,F,Brave as a bear,French
Berdine,F,Glorious,German
Berdy,M,Intelligent,German
Berend,M,Brave as a bear,German
Berengaria,F,Spearbearer maid,English
Berenger,M,Courage of a bear,French
Berenice,F,One who brings victory,French
Beresford,M,From the barley ford,English
Beretun,M,From the barley farm,English
Berford,M,From the barley ford,English
Berg,M,Mountain,German
Bergan,M,Mountain dweller,German
Bergen,M,Free citizen,English
Bergen,M,Mountain dweller,German
Bergess,M,Free citizen,English
Bergin,M,Mountain dweller,German
Bergren,M,Mountain stream,Swedish
Berhane,F,My light,African
Beric,M,Grain farm,English
Berinhard,M,Brave as a bear,German
Beriszl,M,Honor,Hungarian
Berit,F,"Bright, Glorious",German
Berit,F,Splendid,Celtic
Berk,M,From the birch meadow,English
Berk,M,From the birch meadow,Irish
Berk,M,"Solid, Firm",Arabic
Berke,M,From the birch meadow,English
Berke,M,From the birch meadow,Irish
Berkeley,M,From the birch meadow,Anglo-Saxon
Berkeley,M,From the birch meadow,English
Berkeley,M,From the birch meadow,Irish
Berkley,M,From the birch meadow,Anglo-Saxon
Berkley,M,From the birch meadow,English
Berkley,M,From the birch meadow,Irish
Berlyn,M,Son of Berl,German
Bern,M,Brave as a bear,German
Bern,F,Brave as a bear,German
Bernadea,F,Brave as a bear,French
Bernadete,F,Brave as a bear,German
Bernadett,F,Brave as a bear,German
Bernadette,F,Brave as a bear,French
Bernadette,F,Brave as a bear,German
Bernadina,F,Brave as a bear,French
Bernadina,F,Brave as a bear,German
Bernadine,F,Brave as a bear,French
Bernadine,F,Brave as a bear,German
Bernard,M,Brave as a bear,French
Bernard,M,Brave as a bear,German
Bernard,M,Strong as a bear,English
Bernarda,F,Brave as a bear,French
Bernardo,M,Appeared in Hamlet,Shakespearian
Bernardo,M,Brave as a bear,German
Bernardo,M,Strong as a bear,Spanish
Bernardyn,M,Brave as a bear,German
Bernd,M,Brave as a bear,German
Berndt,M,Brave as a bear,German
Berne,M,Brave as a bear,German
Berne,M,Strong as a bear,English
Berneen,F,Brave as a bear,French
Berneen,F,Brave as a bear,Irish
Bernelle,F,Brave as a bear,French
Bernetta,F,Brave as a bear,French
Bernette,F,Brave as a bear,French
Bernhard,M,Brave as a bear,German
Bernhardt,M,Brave as a bear,German
Bernice,F,One who brings victory,French
Bernice,F,One who brings victory,Greek
Bernicia,F,One who brings victory,Spanish
Bernie,M,Brave as a bear,German
Bernie,F,Brave as a bear,German
Berniss,F,One who brings victory,French
Bernita,F,Brave as a bear,French
Bernlak,M,The Green Knight,Arthurian Legend
Bernon,M,Brave as a bear,German
Bernyce,F,One who brings victory,French
Berowalt,M,Mighty as a bear,German
Berowne,M,Appeared in Love's Labour Lost,Shakespearian
Berrigan,M,Wattle,Australian Abori
Berrin,M,Bear,German
Berry,F,One who brings victory,Greek
Bersh,M,One year,English
Bersules,M,A knight,Arthurian Legend
Bert,M,"Bright, Famous",English
Bert,M,Famous for nobility,German
Bert,F,"Bright, Famous",English
Berta,F,Bright,Spanish
Berta,F,"Bright, Famous",English
Berta,F,"Glorious, Intelligent",German
Berta,F,Learning,Slavic
Berta,F,Splendid,Celtic
Bertana,F,The day,Australian Abori
Bertel,M,"Noble, Bright",German
Bertha,F,"Intelligent, Bright",German
Berthe,F,Bright,French
Berthe,F,"Bright, Famous",English
Berthold,M,Bright ruler,German
Berthold,M,Glorious ruler,Teutonic
Bertholt,M,Glorious ruler,Teutonic
Bertie,M,"Bright, Famous",English
Bertie,M,"Noble, Bright",German
Bertie,F,"Bright, Famous",English
Bertilda,F,Shining battlemaid,English
Bertilde,F,Shining battlemaid,English
Bertin,M,"Bright, Famous",English
Bertina,F,Intelligent,German
Bertl,M,Famous for nobility,German
Berto,M,Intelligent,Spanish
Bertol,M,"Furrow, Hill",Hebrew
Bertold,M,Glorious ruler,Teutonic
Bertolt,M,Glorious ruler,Teutonic
Berton,M,Fortress,English
Berton,M,Glorious ruler,Teutonic
Bertrade,F,Bright counselor,English
Bertram,M,A knight,Arthurian Legend
Bertram,M,Bright raven,English
Bertram,M,Glorious raven,German
Bertram,M,Mountain stream,Swedish
Bertrand,M,"Intelligent, Glorious raven",French
Berty,M,"Bright, Famous",English
Berty,M,"Noble, Bright",German
Beruriah,F,Selected by God,Hebrew
Berwick,M,From the barley grange,English
Berwyk,M,From the barley grange,English
Beryl,M,Dazzling jewel,Hebrew
Beryl,F,Gemstone,English
Bess,F,God's oath,German
Bess,F,God's oath,Hebrew
Bess,F,"My God is bountiful, God of plenty",English
Bessie,F,"My God is bountiful, God of plenty",English
Bessy,F,"My God is bountiful, God of plenty",English
Bestandan,M,Stands beside,Anglo-Saxon
Besyrwan,M,Ensnares,Anglo-Saxon
Beta,F,Devoted to God,Czech
Beth,M,Lively,Scottish
Beth,F,God's oath,German
Beth,F,God's oath,Hebrew
Beth,F,Mountain stream,Swedish
Beth,F,"My God is bountiful, God of plenty",English
Betha,F,Life,Celtic
Bethanee,F,House of God,Hebrew
Bethani,F,House of God,Hebrew
Bethanie,F,House of God,Hebrew
Bethann,F,House of God,Hebrew
Bethannie,F,House of God,Hebrew
Bethany,F,House of God,Hebrew
Bethea,F,Maid-servant of Jehovah,Hebrew
Bethel,F,House of God,Hebrew
Betheli,F,House of God,Hebrew
Betheny,F,House of God,Hebrew
Bethesda,F,House of God,Hebrew
Bethia,F,Maid-servant of Jehovah,Hebrew
Bethiar,F,House of God,English
Bethsaida,F,Merciful,Hebrew
Bethseda,F,Merciful,Hebrew
Bethshaya,F,Mountain stream,Swedish
Bethsheba,F,Oath,Hebrew
Betia,F,House of God,English
Betje,F,Devoted to God,Hebrew
Betlic,M,Splendid,Anglo-Saxon
Betsey,F,"My God is bountiful, God of plenty",English
Betsy,F,God's oath,German
Betsy,F,God's oath,Hebrew
Betsy,F,"My God is bountiful, God of plenty",English
Bette,F,God's oath,German
Bette,F,God's oath,Hebrew
Bette,F,"Stranger, Lovely",French
Betti,F,Devoted to God,Hebrew
Bettie,F,God's oath,German
Bettie,F,God's oath,Hebrew
Bettina,F,Devoted to God,Hebrew
Bettine,F,Devoted to God,Hebrew
Bettine,F,"Stranger, Lovely",French
Betty,F,God's oath,German
Betty,F,God's oath,Hebrew
Betty,F,"My God is bountiful, God of plenty",English
Betzalel,M,In God's shadow,Hebrew
Beula,F,To marry,Hebrew
Beulah,F,Married,Arabic
Beulah,F,To marry,Hebrew
Bev,F,Meadow of beavers,English
Beval,M,Like the wind,English
Bevan,M,"Young soldier, Son of Evan",Celtic
Bevan,F,Lady with a sweet song,Celtic
Beverely,F,Meadow of beavers,English
Beverlee,F,Beaver stream,English
Beverley,M,From the beaver meadow,English
Beverley,F,From the beaver meadow,English
Beverly,M,From the beaver meadow,English
Beverly,F,From the beaver meadow,English
Bevin,M,"Young soldier, Son of Evan",Celtic
Bevin,F,Lady with a sweet song,Celtic
Bevin,F,Singer,Irish
Bevis,M,From Beauvais,French
Bevis,M,Son of Evan,Celtic
Bevis,F,Lady with a sweet song,Celtic
Bevyn,M,"Young soldier, Son of Evan",Celtic
Bhadrak,M,Handsome,Indian
Bhadraksh,M,One with beautiful eyes,Indian
Bhagini,F,Mountain stream,Swedish
Bhagirath,M,One who brought Ganga on earth,Indian
Bhagyalakshmi,F,Goddess of wealth,Indian
Bhaic,M,Bank,Scottish
Bhairavi,F,A melody in classical music,Indian
Bhaltair,M,Strong warrior,Scottish
Bhanu,M,Sun,Indian
Bhanuja,F,River Yamuna,Indian
Bhanuprasad,M,Gift of sun,Indian
Bharadwaj,M,Little bird,Indian
Bharat,M,Universal monarch,Indian
Bharati,F,Universal monarch,Indian
Bhaskar,M,Sun,Indian
Bhavana,F,"Feelings, Sentiments",Indian
Bhavani,F,Parvati,Indian
Bhavesh,M,Lord of the world,Indian
Bhavya,F,"Grand, Splendid",Indian
Bhim,M,Fearful,Indian
Bhoomi,F,Earth,Indian
Bhradain,M,Salmon,Scottish
Bhraghad,M,From the upper part,Scottish
Bhreac,M,Speckled,Scottish
Bhric,M,Speckled,Scottish
Bhrigu,M,A Prajapati,Indian
Bhudev,M,Lord of the earth,Indian
Bhumi,F,Earth,Indian
Bhupen,M,King,Indian
Bhupendra,M,King of kings,Indian
Bhushan,M,Ornament,Indian
Bhuvan,M,"Palace, One of the three worlds",Indian
Bhuvana,F,The earth,Indian
Bhuvanesh,M,Lord of the worlds,Indian
Biagio,M,Stammerer,Latin
Bialy,M,White-haired,Polish
Bian,F,"Secretive, Hidden",Vietnamese
Bianca,F,"Appeared in Taming of the Shrew, Othello",Shakespearian
Bianca,F,White,Italian
Biancha,F,White,Italian
Biast,M,Beast,Scottish
Bibi,F,A lady,Arabic
Bibi,F,"Daughter of a king, Lady, Grandmother",African
Bibiana,F,A lady,Arabic
Bibiana,F,Lively,Spanish
Bibsbebe,F,A lady,Arabic
Bick,M,From the hewer's ford,English
Bickford,M,From the hewer's ford,English
Bicoir,M,Father of Arthur,Arthurian Legend
Biddy,F,Protective,Irish
Biddy,F,"Resolute, Strength, Saint",Celtic
Bidelia,F,Protective,Irish
Bidina,F,Protective,Irish
Bidziil,M,He is strong (Navajo),Native American
Biecaford,M,From the hewer's ford,English
Bienchen,F,Sabine woman,Latin
Biene,F,Sabine woman,Latin
Bienvenida,F,Welcome,Spanish
Biford,M,Lives at the river crossing,English
Bijou,M,Dazzling jewel,Hebrew
Bilagaana,M,White person (Navajo),Native American
Bilal,M,First convert of muhammad,Arabic
Bill,M,Resolute protector,English
Billie,M,Resolute protector,English
Billie,F,"Determination, Strength",English
Billie,F,Fierce protector,Teutonic
Billy,M,Resolute protector,English
Billy,F,Fierce protector,Teutonic
Bimisi,M,Slippery,Native American
Bin,M,Kettle-shaped hollow,German
Bina,F,A musical instrument,Indian
Bina,F,Intelligent,Hebrew
Binah,M,Understanding,Hebrew
Binda,F,Deep water,Australian Abori
Bindiya,F,"Drop, Point",Indian
Bindusar,M,An excellent pearl,Indian
Bing,M,Kettle-shaped hollow,German
Binga,F,From the kettle shaped hollow,German
Binge,M,From the kettle shaped hollow,German
Binge,F,From the kettle shaped hollow,German
Bingham,M,Kettle-shaped hollow,German
Binghampton,M,Kettle-shaped hollow,German
Binghamton,M,Kettle-shaped hollow,German
Bini,F,Sabine woman,Latin
Bink,M,Lives at the bank,English
Binta,F,With God,African
Binty,F,Daughter,African
Binyamin,M,Farmer,Hebrew
Biondello,M,Appeared in Taming of the Shrew,Shakespearian
Bipin,M,Forest,Indian
Birch,M,"White, The birch tree",English
Birche,M,Birch,English
Bird,M,Bird,English
Birde,M,Bird,English
Birdena,F,Little bird,English
Birdhil,M,From the bird hill,English
Birdhill,M,From the bird hill,English
Birdie,F,Little bird,English
Birdie,F,"Resolute, Strength, Saint",Celtic
Birdine,F,Little bird,English
Birdoswald,M,From Birdoswald,Anglo-Saxon
Birdy,F,Birdlike,English
Birget,F,Protecting,Norwegian
Birgit,F,"Resolute, Strength, Saint",Celtic
Birgitta,F,"Resolute, Strength, Saint",Celtic
Birk,M,Birch tree,English
Birk,M,Birch tree,German
Birk,M,From a birch tree,Scottish
Birke,M,Birch tree,German
Birkett,M,Lives at the birch headland,English
Birkey,M,From the birch tree island,English
Birkhead,M,Lives at the birch headland,English
Birkhed,M,Lives at the birch headland,English
Birkita,F,Strength,Celtic
Birley,M,From the cattle shed on the meadow,English
Birney,M,Lives on the brook island,English
Biron,M,Surname,English
Birr,M,From Birr,Irish
Birte,F,Splendid,Celtic
Birtel,M,From the bird hill,English
Birtle,M,From the bird hill,English
Bisgu,F,Cares,Anglo-Saxon
Bishop,M,A bishop,English
Bitalo,M,Finger-licking,African
Bitanig,M,From the Preserving land,English
Bittan,M,Desire,German
Bitten,M,Desire,German
Bitya,F,Daughter of God,Hebrew
Bjarne,M,Bear,Swedish
Bjorn,M,Bear,Swedish
Bjorne,M,Bear,Swedish
Björn,M,Bear,Swedish
Blachard,M,"Fair-haired, Pallid",English
Black,M,Dark,English
Blade,M,Glory,English
Bladen,M,Glory,English
Blaec,M,Black,English
Blaecleah,M,From the dark meadow,English
Blaed,M,Wealthy glory,English
Blaeey,M,Blond,English
Blagdan,M,From the dark valley,English
Blagden,M,From the dark valley,English
Blagdon,M,From the dark valley,English
Blain,M,Source of a river,English
Blain,M,"Thin, Lean",Gaelic
Blaine,M,Source of a river,English
Blaine,M,Source of a river,Scottish
Blaine,M,"Thin, Lean",Celtic
Blaine,M,"Thin, Lean",Gaelic
Blaine,M,"Thin, Lean",Irish
Blainey,M,Slender,Celtic
Blair,M,From the fields,Irish
Blair,M,From the plain,Celtic
Blair,M,"From the plain, Child of the fields",Gaelic
Blair,M,Peat moss,Scottish
Blair,F,Field of battle,Scottish
Blair,F,From the plain lands,Celtic
Blaire,M,"From the plain, Child of the fields",Gaelic
Blaire,F,Field of battle,Scottish
Blais,M,"Lisp, Stutter",French
Blaisdell,M,"Lisp, Stutter",French
Blaise,M,A cleric,Arthurian Legend
Blaise,M,"Lisp, Stutter",French
Blaise,M,Stammerer,Latin
Blaise,M,Stutters,English
Blaize,M,"Lisp, Stutter",French
Blake,M,"Dark, Dark-haired, Can also mean the reverse - Fair; Pale",Scottish
Blake,M,"Fair-haired, Pallid",English
Blakeley,M,"Fair-haired, Pallid",English
Blakely,M,From the dark meadow,English
Blakeman,M,"Dark, Dark-haired, Can also mean the reverse - Fair; Pale",Scottish
Blakemore,M,From the dark moor,English
Blakey,M,Blond,English
Blanca,F,White,Italian
Blanca,F,"White, Shining",Spanish
Blanch,F,White,French
Blancha,F,White,Italian
Blanche,F,White,Italian
Blanche,F,"White, Shining",French
Blanchefleur,F,White flower,French
Blancheflor,F,White flower,Arthurian Legend
Blancheflour,F,White flower,Arthurian Legend
Blanco,M,Blond,Spanish
Blanco,M,"Fair-haired, Pallid",English
Blanda,F,Dazzling,Teutonic
Blandford,M,Gray haired,English
Blandina,F,Flattering,Spanish
Blane,M,Source of a river,English
Blane,M,Source of a river,Scottish
Blane,M,"Thin, Lean",Celtic
Blane,M,"Thin, Lean",Gaelic
Blaney,M,Source of a river,English
Blaney,M,Source of a river,Scottish
Blanford,M,Gray haired,English
Blar,M,From the fields,Irish
Blas,M,Stutters,Spanish
Blas,F,Firebrand,German
Blasa,F,Firebrand,German
Blasa,F,Stutters,Spanish
Blase,M,"Lisp, Stutter",French
Blasé,M,Stammerer,Latin
Blathma,M,Flower,Irish
Blathnaid,F,Flower,Irish
Blayne,M,Slender,Celtic
Blayne,M,Source of a river,Scottish
Blayne,M,Twin,English
Blayney,M,Slender,Celtic
Blayze,M,"Lisp, Stutter",French
Blaz,M,Resolute protector,German
Blaze,M,"Lisp, Stutter",French
Blaze,M,Resolute protector,German
Blaze,M,Stammerer,Latin
Blaze,M,Stutters,English
Blenda,F,Dazzling,Teutonic
Blerung,F,Blessing,Anglo-Saxon
Blessing,F,Consecrated,English
Bletsung,F,Consecrated,English
Blian,M,"Thin, Lean",Irish
Bliant,M,Healer,Arthurian Legend
Blinda,F,Beautiful woman,Italian
Blinda,F,Beautiful woman,Spanish
Blis,M,Stammerer,Latin
Bliss,M,Happy,Anglo-Saxon
Bliss,M,Happy,English
Bliss,F,Happy,Anglo-Saxon
Bliss,F,Happy,English
Blisse,F,Joyful,English
Blithe,F,Joyful,English
Bliths,F,Joyful,English
Blondell,F,"Fair-haired, Blonde",English
Blondell,F,"Fair-haired, Blonde",French
Blondelle,F,"Fair-haired, Blonde",English
Blondelle,F,"Fair-haired, Blonde",French
Blondene,F,"Fair-haired, Blonde",English
Blondene,F,"Fair-haired, Blonde",French
Blossom,F,Lovely,English
Blostm,F,Fresh,English
Bluinse,F,White,Irish
Bluma,F,"Flower, Bloom",German
Bly,F,"High, Tall",Native American
Blyana,F,Strong,Irish
Blyss,F,Joyful,English
Blysse,F,Joyful,English
Blyth,M,Merry,English
Blythe,M,Happy,English
Blythe,F,Happy,Anglo-Saxon
Blythe,F,Happy,English
Bo,M,Commanding,Swedish
Bo,M,"Handsome, Beautiful",French
Bo,M,Precious,Chinese
Bo,M,"Son of Owen, Yellow-haired",Gaelic
Bo,F,Commanding,Swedish
Bo,F,Nickname made popular by actress Bo Derek.,English
Bo,F,Precious,Chinese
Bo-Bae,F,"Treasure, Precious",Korean
Boadicea,F,Victory,Anglo-Saxon
Boarte,M,Son of Arthur,Arthurian Legend
Boas,M,Swift,Hebrew
Boaz,M,Swift,Hebrew
Bob,M,"Bright, Famous",English
Bobbi,F,"Bright, Famous",English
Bobbie,M,"Bright, Famous",English
Bobbie,F,"Bright, Famous",English
Bobbie,F,"Foreign, Strange, Exotic, Mysterious",Greek
Bobbie,F,"Foreign, Strange, Exotic, Mysterious",Latin
Bobby,M,"Bright, Famous",English
Bobby,F,"Bright, Famous",English
Boc,M,Male deer,English
Bocleah,M,Lives at the buck meadow,English
Bocley,M,Lives at the buck meadow,English
Bod,M,Branch,Hungarian
Boda,M,Herald,English
Bodaway,M,Fire maker,Native American
Boden,M,Blond,Celtic
Boden,M,Herald,French
Boden,M,Messenger,Anglo-Saxon
Bodiccea,F,Victory,Anglo-Saxon
Bodicea,F,Victory,Anglo-Saxon
Bodicia,F,Victory,Anglo-Saxon
Bodony,M,Branch,Hungarian
Bodor,M,Curly,Hungarian
Bodwyn,M,Brother of Mark,Arthurian Legend
Body,M,Blond,Celtic
Boell,M,Hill dweller,German
Bogart,M,Bowstring,German
Bogart,M,Strong as a bow,French
Bogdan,M,Gift from God,Hebrew
Bogdan,M,God's gift,Slavic
Bogdana,F,From God,Russian
Bogohardt,M,Bowstring,German
Bohannon,M,Son of Owen.,Irish
Bohdan,M,Gift from God,Hebrew
Bohdana,F,From God,Russian
Bohort,M,Uncle of Arthur,Arthurian Legend
Bolton,M,Of the manor house farm,English
Bonamy,F,Good friend,French
Bond,M,Farmer,English
Bondig,M,Free,English
Boni,F,"Sweet, Good",Scottish
Bonie,F,Good,English
Boniface,M,Name of a saint,Anglo-Saxon
Boniface,F,"Sweet, Good",Scottish
Bonifacio,M,Benefactor,Spanish
Bonifaco,M,Benefactor,Spanish
Bonita,F,Pretty little one,Spanish
Bonita,F,"Sweet, Good",Scottish
Bonni,F,"Pretty, Charming",Scottish
Bonnibelle,F,"Pretty, Charming",Scottish
Bonnie,F,"Sweet, Good",English
Bonnie,F,"Sweet, Good",French
Bonnie,F,"Sweet, Good",Scottish
Bonnie-jo,F,"Pretty, Charming",Scottish
Bonny,F,"Sweet, Good",English
Bonny,F,"Sweet, Good",French
Bonny,F,"Sweet, Good",Scottish
Bonny-jean,F,"Pretty, Charming",Scottish
Bonny-lee,F,"Pretty, Charming",Scottish
Bono,M,Good,French
Bono,M,Good,Latin
Booker,M,Beech tree,English
Boone,M,"Sweet, Good",English
Boone,M,"Sweet, Good",French
Boone,M,"Sweet, Good",Latin
Booth,M,Lives in a hut,English
Boothe,M,Lives in a hut,English
Borachio,M,Appeared in Much Ado About Nothing,Shakespearian
Borak,M,The lightning,Arabic
Bordan,M,Cottage,French
Bordan,M,From the boar valley,Anglo-Saxon
Bordan,M,Near the boar's den,English
Borden,M,Cottage,French
Borden,M,Near the boar's den,Anglo-Saxon
Borden,M,Near the boar's den,English
Borgny,F,"Help, New",Norwegian
Boris,M,"Fight, Battler",Russian
Borre,M,Son of Arthur,Arthurian Legend
Bors,M,"Fight, Battler",Russian
Bors,M,Pepper,Hungarian
Bors,M,Uncle of Arthur,Arthurian Legend
Bort,M,Fortified,English
Borys,M,"Fight, Battler",Russian
Bos,M,Forested town,French
Boswell,M,Forested town,French
Bosworth,M,Forested town,French
Bosworth,M,Lives at the cattle enclosure,English
Botan,M,Peony,Japanese
Botewolf,M,Herald wolf,English
Both,M,From the stone house,Scottish
Bothain,M,From the stone house,Scottish
Bothan,M,From the stone house,Scottish
Bothe,M,Lives in a hut,English
Botolf,M,Herald wolf,English
Botond,M,Mace wielding warrior,Hungarian
Bottom,M,Appeared in Midsummer Night's Dream,Shakespearian
Botwolf,M,Herald wolf,English
Boudicea,F,Victory,Anglo-Saxon
Boult,M,Appeared in Pericles,Shakespearian
Boulus,M,Little one,Arabic
Bourke,M,Birch tree,German
Bourke,M,Fortified hill,English
Bourn,M,From the brook,English
Bourne,M,From the brook,English
Bowden,M,Blond,Celtic
Bowden,M,Messenger,Anglo-Saxon
Bowdyn,M,Blond,Celtic
Bowdyn,M,Messenger,Anglo-Saxon
Bowen,M,Son of Owen,Celtic
Bowen,M,"Son of Owen, Yellow-haired",Gaelic
Bowie,M,"Son of Owen, Yellow-haired",Gaelic
Bowie,M,Surname,Irish
Bowman,M,The archer,English
Bowyn,M,Son of Owen,Celtic
Boyce,M,Lives near the wood,English
Boyce,M,Lives near the wood,French
Boyd,M,Blond,Celtic
Boyd,M,Blond,Scottish
Boyden,M,Blond,Celtic
Boyden,M,Messenger,Anglo-Saxon
Boyet,M,Appeared in Love's Labour Lost,Shakespearian
Boynton,M,From the town by the river Boyn,Irish
Boynton,M,From the white river,Celtic
Bozi,F,Devoted to God,Hebrew
Bple,M,Cup bearer,English
Brabantio,M,Appeared in Othello,Shakespearian
Bracha,F,A blessing,Hebrew
Brachah,F,Blessed,Hebrew
Brad,M,From the broad meadow,English
Bradaigh,M,Spirited,Irish
Bradan,M,From the broad meadow,English
Bradana,F,Salmon,Scottish
Bradbourne,M,From the brook,English
Bradburn,M,From the brook,English
Bradd,M,"Broad, Wide",English
Braddock,M,Broad-spreading oak,English
Braddon,M,From the broad meadow,English
Braddon,M,From the broad meadow,Irish
Braden,M,From the broad meadow,English
Braden,M,From the broad meadow,Irish
Braden,M,Salmon,Scottish
Bradene,M,From the broad meadow,English
Bradford,M,Broad crossing,English
Bradig,M,From tbe broad island,English
Bradleah,M,From tbe broad meadow,English
Bradlee,M,From the broad meadow,English
Bradley,M,From the broad meadow,English
Bradly,M,From the broad meadow,English
Bradney,M,From the broad meadow,English
Bradon,M,From the broad meadow,English
Bradon,M,From the broad meadow,Irish
Bradshaw,M,Broad clearing in the wood,English
Bradwell,M,From the broad spring,English
Brady,M,From the broad meadow,English
Brady,M,Spirited,Irish
Bradyn,M,From the broad meadow,English
Braeden,M,From the broad meadow,English
Braeden,M,From the broad meadow,Irish
Braedon,M,From the broad meadow,English
Braedon,M,From the broad meadow,Irish
Braemwiella,M,From the bramble bush spring,English
Braham,M,Father of many,Hebrew
Braid,M,From the broad meadow,English
Brainard,M,Bold raven,English
Brainerd,M,Bold raven,English
Braleah,M,From the hillslope meadow,English
Bram,M,Father of many,English
Bram,M,Father of many,Hebrew
Bram,M,Father of many,Irish
Bram,M,Father of many,Scottish
Bram,M,Raven,Celtic
Bram,M,Raven,Gaelic
Bramwell,M,Place name,English
Bran,M,Father of Caradoc or Caradawc,Arthurian Legend
Bran,M,"Fiery hill, Sword-blade",English
Bran,M,Raven,Celtic
Bran,M,Raven,Gaelic
Branch,M,Extension,Latin
Brand,M,"Fiery hill, Sword-blade",English
Brand,M,"Fiery torch, Beacon",German
Brand,M,Sword blade,Swedish
Branda,F,Brandy drink,English
Brandan,M,Beacon on the hill or gorse-covered hill.,English
Brandan,M,Name of a saint,Irish
Brandan,M,Sword,Celtic
Branddun,M,From the beacon hill,English
Brande,F,Firebrand,English
Brandee,F,Brandy drink,English
Brandee,F,"Brandy, After Dinner Drink",Scandinavian
Brandeis,M,Dweller on a burned clearing,German
Brandeles,M,A knight,Arthurian Legend
Brandelis,M,A knight,Arthurian Legend
Brandelyn,F,Brandy drink,English
Branden,M,"Fiery hill, Sword-blade",English
Brandi,F,Brandy drink,English
Brandice,F,Brandy drink,English
Brandie,F,Brandy drink,English
Brandilyn,F,Brandy drink,English
Brandin,M,Beacon on the hill or gorse-covered hill.,English
Brandon,M,Appeared in Henry VIII,Shakespearian
Brandon,M,"Fiery hill, Sword-blade",English
