name,Weight
ALAMBAR,5
ALAMEDA,10
ALAMEIDA,5
ALAMIA,5
ALAMILLA,5
ALAMILLO,5
ALAMIN,5
ALAMO,10
ALAMOS,5
ALAMPI,5
ALAN,5
ALAND,5
ALANIS,20
ALANIZ,50
ALANKO,5
ALANO,5
ALAPAI,5
ALAR,5
ALARCON,30
ALARCONE,5
ALARID,5
ALARIE,5
ALARIO,5
ALAS,5
ALATORRE,10
ALATOSSE,5
ALATTAR,5
ALAVI,5
ALAWDI,5
ALAYA,5
ALBA,30
ALBACH,5
ALBAIR,5
ALBALADEJO,5
ALBAN,10
ALBANESE,20
ALBANEZ,5
ALBANG,5
ALBANI,5
ALBANO,10
ALBANY,5
ALBARADO,10
ALBARAZI,5
ALBARES,5
ALBAREZ,5
ALBARRACIN,5
ALBARRAN,10
ALBAUGH,10
ALBE,5
ALBEA,5
ALBEE,10
ALBELO,5
ALBEN,5
ALBER,10
ALBERDA,5
ALBERDING,5
ALBERG,5
ALBERGOTTI,5
ALBERICO,5
ALBERO,5
ALBERRO,5
ALBERRY,5
ALBERS,40
ALBERSON,5
ALBERT,130
ALBERTA,5
ALBERTHAL,5
ALBERTI,5
ALBERTINE,5
ALBERTINI,5
ALBERTO,10
ALBERTS,20
ALBERTSEN,5
ALBERTSON,40
ALBERTY,10
ALBERY,5
ALBIN,10
ALBINI,5
ALBINO,10
ALBISTON,5
ALBOR,5
ALBORN,5
ALBORNOZ,5
ALBRACHT,5
ALBRASHI,5
ALBRECHT,60
ALBREKHT,5
ALBRIGHT,90
ALBRITON,5
ALBRITTAIN,5
ALBRITTON,20
ALBRO,10
ALBROUGH,5
ALBU,5
ALBURY,10
ALBUS,5
ALBY,5
ALCAIDE,5
ALCALA,30
ALCALDE,5
ALCANTAR,20
ALCANTARA,20
ALCANTAS,5
ALCAOA,5
ALCARAZ,20
ALCAZAR,10
ALCE,5
ALCIDE,5
ALCINA,5
ALCINE,5
ALCINI,5
ALCIVAR,5
ALCOCER,10
ALCOCK,10
ALCOMBRIGHT,5
ALCON,5
ALCONCEL,5
ALCORN,30
ALCORTA,5
ALCOSER,5
ALCOSIBA,5
ALCOTT,10
ALDABA,5
ALDACO,10
ALDAMA,5
ALDANA,10
ALDAPA,5
ALDAPE,5
ALDARONDO,5
ALDAS,5
ALDAVA,5
ALDAY,10
ALDAZ,5
ALDECOA,5
ALDEN,20
ALDER,10
ALDERETE,10
ALDERFER,5
ALDERINK,5
ALDERMAN,40
ALDERSON,20
ALDERTON,5
ALDI,5
ALDINGER,5
ALDO,5
ALDONZA,5
ALDOUS,5
ALDRED,5
ALDREDGE,5
ALDREGE,5
ALDRETE,5
ALDRICH,70
ALDRIDGE,90
ALDRIGE,5
ALDROW,5
ALDWORTH,5
ALEA,5
ALECCA,5
ALEEM,5
ALEFF,5
ALEGAR,5
ALEGI,5
ALEGRE,5
ALEGRIA,10
ALEIZAR,5
ALEJANDRE,10
ALEJANDREZ,5
ALEJANDRO,20
ALEJO,10
ALEJOS,10
ALEKNA,5
ALEKSEY,5
ALEMAN,40
ALEMANY,5
ALEN,5
ALEO,5
ALEPIN,5
ALEQUIN,5
ALER,5
ALERS,10
ALERT,5
ALERTE,5
ALES,5
ALESCI,5
ALESCIO,5
ALESHIRE,10
ALESI,5
ALESNA,5
ALESSANDRINI,5
ALESSANDRO,5
ALESSANDRONI,5
ALESSE,5
ALESSI,10
ALESSIO,5
ALEVEDO,5
ALEVRAS,5
ALEWINE,5
ALEX,20
ALEXADER,5
ALEXAKI,5
ALEXAKIS,5
ALEXANDER,850
ALEXANDERS,5
ALEXANDRA,5
ALEXANDRE,10
ALEXANDRIA,5
ALEXANDROPOUL,5
ALEXANIAN,5
ALEXENDER,5
ALEXIDOR,5
ALEXION,5
ALEXIOU,5
ALEXIS,10
ALEXNDER,5
ALEXOPOULOS,5
ALEXY,5
ALEXZANDER,5
ALEY,5
ALEYANDREZ,5
ALF,5
ALFANDRE,5
ALFANO,10
ALFARO,70
ALFERA,5
ALFEREZ,5
ALFERO,5
ALFF,5
ALFIERI,5
ALFIERO,5
ALFISI,5
ALFONSI,5
ALFONSO,30
ALFONZO,5
ALFORD,130
ALFRED,30
ALFREDO,5
ALFREDS,5
ALFREY,5
ALFSON,5
ALGARIN,10
ALGE,5
ALGEE,5
ALGEO,5
ALGER,30
ALGHAMDI,5
ALGIEN,5
ALGIER,5
ALGIRE,5
ALGOOD,5
ALGUIRE,5
ALHADDAD,5
ALHAMBRA,5
ALHAMEED,5
ALHUSSEINI,5
ALI,70
ALIAGA,5
ALIANO,5
ALIAS,5
ALIBERTI,5
ALIBOZEK,5
ALICANDRO,5
ALICE,5
ALICEA,40
ALICER,5
ALICIA,5
ALICUBEN,5
ALIE,5
ALIER,5
ALIFF,10
ALIG,5
ALIM,5
ALIMENT,5
ALIMENTO,5
ALIMO,5
ALINE,5
ALIOTO,5
ALIOTTA,5
ALIPIO,5
ALIRE,5
ALIRES,5
ALIREZ,5
ALISAUSKAS,5
ALISON,5
ALIX,5
ALIZADEH,5
ALJEMAL,5
ALKANA,5
ALKBSH,5
ALKEMA,5
ALKEN,5
ALKINS,5
ALKIRE,10
ALL,5
ALLABAND,5
ALLABAUGH,5
ALLAH,5
ALLAIN,10
ALLAIRE,10
ALLAM,5
ALLAMAN,5
ALLAMON,5
ALLAMONG,5
ALLAN,30
ALLANSON,5
ALLARA,5
ALLARD,50
ALLATEEF,5
ALLAWAY,5
ALLBEE,5
ALLBERT,5
ALLBONES,5
ALLBRIGHT,10
ALLBRITTEN,5
ALLBRITTON,10
ALLCOCK,5
ALLCORN,5
ALLDAY,5
ALLDER,5
ALLDREDGE,10
ALLEBACH,5
ALLEE,10
ALLEGOOD,5
ALLEGRA,5
ALLEGRE,5
ALLEGRETTA,5
ALLEGRETTI,5
ALLEGRINI,5
ALLEGRUCCI,5
ALLEMAN,20
ALLEMAND,5
ALLEMOND,5
ALLEN,1990
ALLENBACH,5
ALLENBAUGH,5
ALLENBRAND,5
ALLENDE,5
ALLENDER,10
ALLENDORF,5
ALLENSON,5
ALLENSWORTH,5
ALLER,5
ALLERMAN,5
ALLERS,5
ALLERTON,5
ALLERUZZO,5
ALLERY,5
ALLES,5
ALLESHOUSE,5
ALLESSI,5
ALLESSIO,5
ALLEVA,5
ALLEVATO,5
ALLEX,5
ALLEY,60
ALLEYNE,20
ALLFORD,5
ALLGAEUER,5
ALLGAIER,5
ALLGEIER,5
ALLGEYER,5
ALLGIER,5
ALLGIRE,5
ALLGOOD,20
ALLHANDS,5
ALLI,5
ALLIANCE,5
ALLIE,10
ALLIGOOD,10
ALLIMAN,5
ALLIN,5
ALLINDER,5
ALLING,10
ALLINGER,5
ALLINGTON,5
ALLIO,5
ALLIS,10
ALLISON,230
ALLISTON,5
ALLMAN,30
ALLMAND,5
ALLMON,10
ALLMOND,5
ALLNUTT,5
ALLOCCA,5
ALLOCCO,5
ALLON,5
ALLOR,5
ALLOWAY,10
ALLPHIN,5
ALLRED,70
ALLRIDGE,5
ALLS,5
ALLSBROOK,5
ALLSBROOKS,5
ALLSCHEID,5
ALLSHOUSE,10
ALLSOP,10
ALLSTON,5
ALLSTOTT,5
ALLSUP,10
ALLTON,5
ALLTOP,5
ALLUM,5
ALLUMS,10
ALLVIN,5
ALLWARDT,5
ALLWOOD,5
ALLY,5
ALLYN,5
ALLYNE,5
ALM,10
ALMA,5
ALMADA,5
ALMAGUER,10
ALMAJHOUB,5
ALMAN,5
ALMAND,5
ALMANZA,30
ALMANZAR,10
ALMARAS,5
ALMARAZ,20
ALMAREZ,5
ALMARIO,5
ALMARZA,5
ALMAS,5
ALMASI,5
ALMAZAN,10
ALME,5
ALMEDA,5
ALMEIDA,40
ALMEN,5
ALMENAR,5
ALMENDAREZ,10
ALMENGOR,5
ALMERICO,5
ALMESTICA,5
ALMETER,5
ALMEYDA,5
ALMGREN,5
ALMIRON,5
ALMODOVA,5
ALMODOVAR,10
ALMON,10
ALMOND,30
ALMONTE,20
ALMOS,5
ALMQUIST,5
ALMSTEAD,5
ALMSTEADT,5
ALMY,5
ALNAS,5
ALNOOR,5
ALNUTT,5
ALO,5
ALOAN,5
ALOE,5
ALOI,5
ALOIA,5
ALOISI,5
ALONGE,5
ALONGI,10
ALONSO,50
ALONZA,5
ALONZO,60
ALOSA,5
ALOSTA,5
ALOUF,5
ALOY,5
ALPAUGH,5
ALPER,5
ALPERIN,5
ALPERN,5
ALPERS,5
ALPERT,10
ALPHA,5
ALPHEAUS,5
ALPHIN,10
ALPHONSE,5
ALPHONSO,5
ALPIS,5
ALPIZAR,5
ALQUESTA,5
ALQUICIRA,5
ALQUIJAY,5
ALQUISIRA,5
ALRAIS,5
ALRED,5
ALRICH,5
ALROD,5
ALSANDOR,5
ALSAQRI,5
ALSBERRY,5
ALSBROOK,5
ALSBROOKS,5
ALSBURY,5
ALSDON,5
ALSHEIMER,5
ALSHOUSE,5
ALSINA,5
ALSING,5
ALSIP,5
ALSMAN,5
ALSOBROOK,5
ALSOBROOKS,5
ALSON,5
ALSOP,10
ALSPACH,5
ALSPAUGH,5
ALSTAD,5
ALSTON,140
ALSTOTT,5
ALSTROM,5
ALSUP,10
ALT,10
ALTADONNA,5
ALTAMIRANO,20
ALTAMIRUNO,5
ALTARAS,5
ALTAVILLA,5
ALTEMUS,5
ALTENBACH,5
ALTENBURG,5
ALTENHOFEN,5
ALTER,10
ALTERI,5
ALTERIO,5
ALTERMAN,5
ALTERMATT,5
ALTES,5
ALTEW,5
ALTHAUS,5
ALTHAUSER,5
ALTHEIMER,5
ALTHISER,5
ALTHOFF,10
ALTHOUSE,5
ALTIC,5
ALTICE,5
ALTIDOR,5
ALTIER,5
ALTIERI,10
ALTIERY,5
ALTIG,5
ALTIMUS,5
ALTIZER,10
ALTKEN,5
ALTMAN,60
ALTMANN,5
ALTMARK,5
ALTMILLER,5
ALTMIRE,5
ALTO,5
ALTOBELL,5
ALTOBELLI,5
ALTOBELLO,5
ALTOM,10
