mame,male,female,neutral
Aemmer,0,0,1
Aeneas,1,0,0
Aerlene,0,1,0
Aerni,0,0,1
Aerts,0,0,1
Aerwyna,0,1,0
Aery,0,0,1
Aeryn,0,1,0
Aeschbacher,0,0,1
Aeschliman,0,0,1
Aeschlimann,0,0,1
Aethelflaed,0,1,0
Aethelreda,0,1,0
Aethelthryth,0,1,0
Aethelwine,0,1,0
Aethelwyne,0,1,0
Aetos,1,0,0
Afable,0,0,1
Afafa,0,1,0
Afalava,0,0,1
Afan,0,0,1
Afanador,0,0,1
Affagato,0,0,1
Affeld,0,0,1
Affelt,0,0,1
Affeltranger,0,0,1
Affleck,0,0,1
Afflick,0,0,1
Affolter,0,0,1
Affrica,0,1,0
Affronti,0,0,1
Afia,0,1,0
Afiya,0,1,0
Aflalo,0,0,1
Afoa,0,0,1
Afonso,0,0,1
Afra,0,1,0
Afraate,0,1,0
Afreda,0,1,0
Afric,0,1,0
Africa,0,1,1
Africana,0,1,0
Africano,1,0,0
Afro,1,0,0
Afrodille,0,1,0
Afrodite,0,1,0
Afshar,0,0,1
Afshari,0,0,1
Afton,0,1,1
Aftonio,0,1,0
Afua,0,1,0
Afurong,0,0,1
Afya,0,1,0
Afzal,0,0,1
Agace,0,1,0
Agacia,0,1,0
Agamao,0,0,1
Agamemnon,1,0,0
Agan,0,0,1
Agans,0,0,1
Agape,1,1,0
Agapio,1,1,0
Agar,0,0,1
Agard,0,0,1
Agarwal,0,0,1
Agata,0,1,0
Agate,0,1,0
Agatha,0,1,0
Agathe,0,1,0
Agatone,1,0,0
Agbayani,0,0,1
Agbenyaga,0,1,0
Agbisit,0,0,1
Agcaoili,0,0,1
Agdta,0,1,0
Age,0,1,1
Ageboi,0,0,1
Agee,0,0,1
Agel,0,0,1
Agemy,0,0,1
Agena,0,0,1
Agent,0,0,1
Agenta,0,1,0
Ager,0,0,1
Agers,0,0,1
Agerter,0,0,1
Agerton,0,0,1
Aggarwal,0,0,1
Aggas,0,0,1
Aggers,0,0,1
Aggie,0,1,0
Aggy,0,1,0
Aghadreena,0,1,0
Aghamora,0,1,0
Aghanashini,0,1,0
Aghaveagh,0,1,0
Aghavilla,0,1,0
Aghna,0,1,0
Agib,0,0,1
Agilar,0,0,1
Agin,0,0,1
Agins,0,0,1
Aglai,0,1,0
Aglaia,0,1,0
Aglaian,0,1,0
Agle,0,0,1
Agler,0,0,1
Agliam,0,0,1
Agne,0,0,1
Agnelli,0,0,1
Agnello,0,0,1
Agner,0,0,1
Agnes,0,1,1
Agnesa,0,1,0
Agnese,0,1,0
Agneta,0,1,0
Agnew,0,0,1
Agney,0,0,1
Agni,0,0,1
Agnor,0,0,1
Agnus,0,1,0
Agoff,0,0,1
Agonoy,0,0,1
Agor,0,0,1
Agoras,0,0,1
Agoro,0,0,1
Agosta,0,0,1
Agosti,0,0,1
Agostinelli,0,0,1
Agostini,0,0,1
Agostino,1,0,1
Agosto,0,0,1
Agpaoa,0,0,1
Agramonte,0,0,1
Agrawal,0,0,1
Agre,0,0,1
Agreda,0,0,1
Agredano,0,0,1
Agrela,0,0,1
Agresta,0,0,1
Agreste,0,0,1
Agresti,0,0,1
Agresto,0,0,1
Agricola,0,0,1
Agriesti,0,0,1
Agrios,0,0,1
Agripina,0,1,0
Agrippa,1,0,0
Agro,0,0,1
Agron,0,0,1
Agtarap,0,0,1
Aguada,0,0,1
Aguado,0,0,1
Aguallo,0,0,1
Aguas,0,0,1
Aguayo,0,0,1
Agudelo,0,0,1
Agudo,0,0,1
Agueda,0,1,1
Aguele,0,0,1
Aguero,0,0,1
Aguiar,0,0,1
Aguila,0,0,1
Aguilar,0,0,1
Aguiler,0,0,1
Aguilera,0,0,1
Aguillar,0,0,1
Aguillard,0,0,1
Aguillera,0,0,1
Aguillon,0,0,1
Aguinaga,0,0,1
Aguinaldo,0,0,1
Aguiniga,0,0,1
Aguino,0,0,1
Aguire,0,0,1
Aguirre,0,0,1
Agular,0,0,1
Aguliar,0,0,1
Agumga,0,0,1
Agundez,0,0,1
Agunos,0,0,1
Aguon,0,0,1
Agurs,0,0,1
Agustin,1,0,1
Agustina,0,1,0
Agustine,0,0,1
Agustino,0,0,1
Agyeman,0,0,1
Ahab,1,0,0
Ahal,0,0,1
Ahalt,0,0,1
Ahana,0,1,0
Aharon,0,0,1
Aharoni,0,0,1
Aharonof,0,0,1
Ahart,0,0,1
Ahaus,0,0,1
Ahava,0,1,0
Ahave,0,1,0
Ahearn,1,0,1
Ahelia,0,1,0
Ahelie,0,1,0
Ahern,0,0,1
Aherns,0,0,1
Ahhee,0,0,1
Ahia,0,0,1
Ahimsa,0,1,0
Ahimud,0,0,1
Ahl,0,0,1
Ahladita,0,1,0
Ahlberg,0,0,1
Ahlborn,0,0,1
Ahlbrecht,0,0,1
Ahle,0,0,1
Ahlemeyer,0,0,1
Ahler,0,0,1
Ahlers,0,0,1
Ahles,0,0,1
Ahlf,0,0,1
Ahlfield,0,0,1
Ahlgren,0,0,1
Ahlheim,0,0,1
Ahlin,0,0,1
Ahlm,0,0,1
Ahlman,0,0,1
Ahlo,0,0,1
Ahlquist,0,0,1
Ahlstedt,0,0,1
Ahlstrom,0,0,1
Ahluwalia,0,0,1
Ahmad,1,0,1
Ahmadi,0,0,1
Ahmann,0,0,1
