Code,R,G,B,RGB
PANTONE 3015,0,112,158,00709E
PANTONE 302,0,79,109,004F6D
PANTONE 3025,0,84,107,00546B
PANTONE 303,0,63,84,003F54
PANTONE 3035,0,68,84,004454
PANTONE 304,165,221,226,A5DDE2
PANTONE 305,112,206,226,70CEE2
PANTONE 306,0,188,226,00BCE2
PANTONE 306 2X,0,163,209,00A3D1
PANTONE 307,0,122,165,007AA5
PANTONE 308,0,96,124,00607C
PANTONE 309,0,63,73,003F49
PANTONE 310,114,209,221,72D1DD
PANTONE 3105,127,214,219,7FD6DB
PANTONE 311,40,196,216,28C4D8
PANTONE 3115,45,198,214,2DC6D6
PANTONE 312,0,173,198,00ADC6
PANTONE 3125,0,183,198,00B7C6
PANTONE 313,0,153,181,0099B5
PANTONE 3135,0,155,170,009BAA
PANTONE 314,0,130,155,00829B
PANTONE 3145,0,132,142,00848E
PANTONE 315,0,107,119,006B77
PANTONE 3155,0,109,117,006D75
PANTONE 316,0,73,79,00494F
PANTONE 3165,0,86,91,00565B
PANTONE 317,201,232,221,C9E8DD
PANTONE 318,147,221,219,93DDDB
PANTONE 319,76,206,209,4CCED1
PANTONE 320,0,158,160,009EA0
PANTONE 320 2X,0,127,130,007F82
PANTONE 321,0,135,137,008789
PANTONE 322,0,114,114,007272
PANTONE 323,0,102,99,006663
PANTONE 324,170,221,214,AADDD6
PANTONE 3242,135,221,209,87DDD1
PANTONE 3245,140,224,209,8CE0D1
PANTONE 3248,122,211,193,7AD3C1
PANTONE 325,86,201,193,56C9C1
PANTONE 3252,86,214,201,56D6C9
PANTONE 3255,71,214,193,47D6C1
PANTONE 3258,53,196,175,35C4AF
PANTONE 326,0,178,170,00B2AA
PANTONE 3262,0,193,181,00C1B5
PANTONE 3265,0,198,178,00C6B2
PANTONE 3268,0,175,153,00AF99
PANTONE 327,0,140,130,008C82
PANTONE 327 2X,0,137,119,008977
PANTONE 3272,0,170,158,00AA9E
PANTONE 3275,0,178,160,00B2A0
PANTONE 3278,0,155,132,009B84
PANTONE 328,0,119,112,007770
PANTONE 3282,0,140,130,008C82
PANTONE 3285,0,153,135,009987
PANTONE 3288,0,130,112,008270
PANTONE 329,0,109,102,006D66
PANTONE 3292,0,96,86,006056
PANTONE 3295,0,130,114,008272
PANTONE 3298,0,107,91,006B5B
PANTONE 330,0,89,81,005951
PANTONE 3302,0,73,63,00493F
PANTONE 3305,0,79,66,004F42
PANTONE 3308,0,68,56,004438
PANTONE 331,186,234,214,BAEAD6
PANTONE 332,160,229,206,A0E5CE
PANTONE 333,94,221,193,5EDDC1
PANTONE 334,0,153,124,00997C
PANTONE 335,0,124,102,007C66
PANTONE 336,0,104,84,006854
PANTONE 337,155,219,193,9BDBC1
PANTONE 3375,142,226,188,8EE2BC
PANTONE 338,122,209,181,7AD1B5
PANTONE 3385,84,216,168,54D8A8
PANTONE 339,0,178,140,00B28C
PANTONE 3395,0,201,147,00C993
PANTONE 340,0,153,119,009977
PANTONE 3405,0,178,122,00B27A
PANTONE 341,0,122,94,007A5E
PANTONE 3415,0,124,89,007C59
PANTONE 342,0,107,84,006B54
PANTONE 3425,0,104,71,006847
PANTONE 343,0,86,63,00563F
PANTONE 3435,2,73,48,024930
PANTONE 344,181,226,191,B5E2BF
PANTONE 345,150,216,175,96D8AF
PANTONE 346,112,206,155,70CE9B
PANTONE 347,0,158,96,009E60
PANTONE 348,0,135,81,008751
PANTONE 349,0,107,63,006B3F
PANTONE 350,35,79,51,234F33
PANTONE 351,181,232,191,B5E8BF
PANTONE 352,153,229,178,99E5B2
PANTONE 353,132,226,168,84E2A8
PANTONE 354,0,183,96,00B760
PANTONE 355,0,158,73,009E49
PANTONE 356,0,122,61,007A3D
PANTONE 357,33,91,51,215B33
PANTONE 358,170,221,150,AADD96
PANTONE 359,160,219,142,A0DB8E
PANTONE 360,96,198,89,60C659
PANTONE 361,30,181,58,1EB53A
PANTONE 362,51,158,53,339E35
PANTONE 363,61,142,51,3D8E33
PANTONE 364,58,119,40,3A7728
PANTONE 365,211,232,163,D3E8A3
PANTONE 366,196,229,142,C4E58E
PANTONE 367,170,221,109,AADD6D
PANTONE 368,91,191,33,5BBF21
PANTONE 368 2X,0,158,15,009E0F
PANTONE 369,86,170,28,56AA1C
PANTONE 370,86,142,20,568E14
PANTONE 371,86,107,33,566B21
PANTONE 372,216,237,150,D8ED96
PANTONE 373,206,234,130,CEEA82
PANTONE 374,186,232,96,BAE860
PANTONE 375,140,214,0,8CD600
PANTONE 375 2X,84,188,0,54BC00
PANTONE 376,127,186,0,7FBA00
PANTONE 377,112,147,2,709302
PANTONE 378,86,99,20,566314
PANTONE 379,224,234,104,E0EA68
PANTONE 380,214,229,66,D6E542
PANTONE 381,204,226,38,CCE226
PANTONE 382,186,216,10,BAD80A
PANTONE 382 2X,158,196,0,9EC400
PANTONE 383,163,175,7,A3AF07
PANTONE 384,147,153,5,939905
PANTONE 385,112,112,20,707014
PANTONE 386,232,237,96,E8ED60
PANTONE 387,224,237,68,E0ED44
PANTONE 388,214,232,15,D6E80F
PANTONE 389,206,224,7,CEE007
PANTONE 390,186,196,5,BAC405
PANTONE 391,158,158,7,9E9E07
PANTONE 392,132,130,5,848205
PANTONE 393,242,239,135,F2EF87
PANTONE 3935,242,237,109,F2ED6D
PANTONE 394,234,237,53,EAED35
PANTONE 3945,239,234,7,EFEA07
PANTONE 395,229,232,17,E5E811
PANTONE 3955,237,226,17,EDE211
PANTONE 396,224,226,12,E0E20C
PANTONE 3965,232,221,17,E8DD11
PANTONE 397,193,191,10,C1BF0A
PANTONE 3975,181,168,12,B5A80C
PANTONE 398,175,168,10,AFA80A
PANTONE 3985,153,140,10,998C0A
PANTONE 399,153,142,7,998E07
PANTONE 3995,109,96,2,6D6002
PANTONE 400,209,198,181,D1C6B5
PANTONE 401,193,181,165,C1B5A5
PANTONE 402,175,165,147,AFA593
PANTONE 403,153,140,124,998C7C
PANTONE 404,130,117,102,827566
PANTONE 405,107,94,79,6B5E4F
PANTONE 406,206,193,181,CEC1B5
PANTONE 408,168,153,140,A8998C
PANTONE 409,153,137,124,99897C
PANTONE 410,124,109,99,7C6D63
PANTONE 411,102,89,76,66594C
PANTONE 412,61,48,40,3D3028
PANTONE 413,198,193,178,C6C1B2
PANTONE 414,181,175,160,B5AFA0
PANTONE 415,163,158,140,A39E8C
PANTONE 416,142,140,122,8E8C7A
PANTONE 417,119,114,99,777263
PANTONE 418,96,94,79,605E4F
PANTONE 419,40,40,33,282821
PANTONE 420,209,204,191,D1CCBF
PANTONE 421,191,186,175,BFBAAF
PANTONE 422,175,170,163,AFAAA3
PANTONE 423,150,147,142,96938E
PANTONE 424,130,127,119,827F77
PANTONE 425,96,96,91,60605B
PANTONE 426,43,43,40,2B2B28
PANTONE 427,221,219,209,DDDBD1
PANTONE 428,209,206,198,D1CEC6
PANTONE 429,173,175,170,ADAFAA
PANTONE 430,145,150,147,919693
PANTONE 431,102,109,112,666D70
PANTONE 432,68,79,81,444F51
PANTONE 433,48,56,58,30383A
PANTONE 433 2X,10,12,17,0A0C11
PANTONE 434,224,209,198,E0D1C6
PANTONE 435,211,191,183,D3BFB7
PANTONE 436,188,165,158,BCA59E
PANTONE 437,140,112,107,8C706B
PANTONE 438,89,63,61,593F3D
PANTONE 439,73,53,51,493533
PANTONE 440,63,48,43,3F302B
PANTONE 441,209,209,198,D1D1C6
PANTONE 442,186,191,183,BABFB7
PANTONE 443,163,168,163,A3A8A3
PANTONE 444,137,142,140,898E8C
PANTONE 445,86,89,89,565959
PANTONE 446,73,76,73,494C49
PANTONE 447,63,63,56,3F3F38
PANTONE 448,84,71,45,54472D
PANTONE 4485,96,76,17,604C11
PANTONE 449,84,71,38,544726
PANTONE 4495,135,117,48,877530
PANTONE 450,96,84,43,60542B
PANTONE 4505,160,145,81,A09151
PANTONE 451,173,160,122,ADA07A
PANTONE 4515,188,173,117,BCAD75
PANTONE 452,196,183,150,C4B796
PANTONE 4525,204,191,142,CCBF8E
PANTONE 453,214,204,175,D6CCAF
PANTONE 4535,219,206,165,DBCEA5
PANTONE 454,226,216,191,E2D8BF
PANTONE 4545,229,219,186,E5DBBA
PANTONE 455,102,86,20,665614
PANTONE 456,153,135,20,998714
PANTONE 457,181,155,12,B59B0C
PANTONE 458,221,204,107,DDCC6B
PANTONE 459,226,214,124,E2D67C
PANTONE 460,234,221,150,EADD96
PANTONE 461,237,229,173,EDE5AD
PANTONE 462,91,71,35,5B4723
PANTONE 4625,71,35,17,472311
PANTONE 463,117,84,38,755426
PANTONE 4635,140,89,51,8C5933
PANTONE 464,135,96,40,876028
PANTONE 464 2X,112,66,20,704214
PANTONE 4645,178,130,96,B28260
PANTONE 465,193,168,117,C1A875
PANTONE 4655,196,153,119,C49977
PANTONE 466,209,191,145,D1BF91
PANTONE 4665,216,181,150,D8B596
PANTONE 467,221,204,165,DDCCA5
PANTONE 4675,229,198,170,E5C6AA
PANTONE 468,226,214,181,E2D6B5
PANTONE 4685,237,211,188,EDD3BC
PANTONE 469,96,51,17,603311
PANTONE 4695,81,38,28,51261C
PANTONE 470,155,79,25,9B4F19
PANTONE 4705,124,81,61,7C513D
PANTONE 471,188,94,30,BC5E1E
PANTONE 471 2X,163,68,2,A34402
PANTONE 4715,153,112,91,99705B
PANTONE 472,234,170,122,EAAA7A
PANTONE 4725,181,145,124,B5917C
PANTONE 473,244,196,160,F4C4A0
PANTONE 4735,204,175,155,CCAF9B
PANTONE 474,244,204,170,F4CCAA
PANTONE 4745,216,191,170,D8BFAA
PANTONE 475,247,211,181,F7D3B5
PANTONE 4755,226,204,186,E2CCBA
