ID,Color,RGB,Source
598,Orchid1,FF83FA,X11
599,Orchid2,EE7AE9,X11
600,Orchid3,CD69C9,X11
601,Orchid4,8B4789,X11
602,Plum1,FFBBFF,X11
603,Plum2,EEAEEE,X11
604,Plum3,CD96CD,X11
605,Plum4,8B668B,X11
606,MediumOrchid1,E066FF,X11
607,MediumOrchid2,D15FEE,X11
608,MediumOrchid3,B452CD,X11
609,MediumOrchid4,7A378B,X11
610,DarkOrchid1,BF3EFF,X11
611,DarkOrchid2,B23AEE,X11
612,DarkOrchid3,9A32CD,X11
613,DarkOrchid4,68228B,X11
614,Purple1,9B30FF,X11
615,Purple2,912CEE,X11
616,Purple3,7D26CD,X11
617,Purple4,551A8B,X11
618,MediumPurple1,AB82FF,X11
619,MediumPurple2,9F79EE,X11
620,MediumPurple3,8968CD,X11
621,MediumPurple4,5D478B,X11
622,Thistle1,FFE1FF,X11
623,Thistle2,EED2EE,X11
624,Thistle3,CDB5CD,X11
625,Thistle4,8B7B8B,X11
626,Gray0,000000,X11
627,Grey0,000000,X11
628,Gray1,030303,X11
629,Grey1,030303,X11
630,Gray2,050505,X11
631,Grey2,050505,X11
632,Gray3,080808,X11
633,Grey3,080808,X11
634,Gray4,0A0A0A,X11
635,Grey4,0A0A0A,X11
636,Gray5,0D0D0D,X11
637,Grey5,0D0D0D,X11
638,Gray6,0F0F0F,X11
639,Grey6,0F0F0F,X11
640,Gray7,121212,X11
641,Grey7,121212,X11
642,Gray8,141414,X11
643,Grey8,141414,X11
644,Gray9,171717,X11
645,Grey9,171717,X11
646,Gray10,1A1A1A,X11
647,Grey10,1A1A1A,X11
648,Gray11,1C1C1C,X11
649,Grey11,1C1C1C,X11
650,Gray12,1F1F1F,X11
651,Grey12,1F1F1F,X11
652,Gray13,212121,X11
653,Grey13,212121,X11
654,Gray14,242424,X11
655,Grey14,242424,X11
656,Gray15,262626,X11
657,Grey15,262626,X11
658,Gray16,292929,X11
659,Grey16,292929,X11
660,Gray17,2B2B2B,X11
661,Grey17,2B2B2B,X11
662,Gray18,2E2E2E,X11
663,Grey18,2E2E2E,X11
664,Gray19,303030,X11
665,Grey19,303030,X11
666,Gray20,333333,X11
667,Grey20,333333,X11
668,Gray21,363636,X11
669,Grey21,363636,X11
670,Gray22,383838,X11
671,Grey22,383838,X11
672,Gray23,3B3B3B,X11
673,Grey23,3B3B3B,X11
674,Gray24,3D3D3D,X11
675,Grey24,3D3D3D,X11
676,Gray25,404040,X11
677,Grey25,404040,X11
678,Gray26,424242,X11
679,Grey26,424242,X11
680,Gray27,454545,X11
681,Grey27,454545,X11
682,Gray28,474747,X11
683,Grey28,474747,X11
684,Gray29,4A4A4A,X11
685,Grey29,4A4A4A,X11
686,Gray30,4D4D4D,X11
687,Grey30,4D4D4D,X11
688,Gray31,4F4F4F,X11
689,Grey31,4F4F4F,X11
690,Gray32,525252,X11
691,Grey32,525252,X11
692,Gray33,545454,X11
693,Grey33,545454,X11
694,Gray34,575757,X11
695,Grey34,575757,X11
696,Gray35,595959,X11
697,Grey35,595959,X11
698,Gray36,5C5C5C,X11
699,Grey36,5C5C5C,X11
700,Gray37,5E5E5E,X11
701,Grey37,5E5E5E,X11
702,Gray38,616161,X11
703,Grey38,616161,X11
704,Gray39,636363,X11
705,Grey39,636363,X11
706,Gray40,666666,X11
707,Grey40,666666,X11
708,Gray41,696969,X11
709,Grey41,696969,X11
710,Gray42,6B6B6B,X11
711,Grey42,6B6B6B,X11
712,Gray43,6E6E6E,X11
713,Grey43,6E6E6E,X11
714,Gray44,707070,X11
715,Grey44,707070,X11
716,Gray45,737373,X11
717,Grey45,737373,X11
718,Gray46,757575,X11
719,Grey46,757575,X11
720,Gray47,787878,X11
721,Grey47,787878,X11
722,Gray48,7A7A7A,X11
723,Grey48,7A7A7A,X11
724,Gray49,7D7D7D,X11
725,Grey49,7D7D7D,X11
726,Gray50,7F7F7F,X11
727,Grey50,7F7F7F,X11
728,Gray51,828282,X11
729,Grey51,828282,X11
730,Gray52,858585,X11
731,Grey52,858585,X11
732,Gray53,878787,X11
733,Grey53,878787,X11
734,Gray54,8A8A8A,X11
735,Grey54,8A8A8A,X11
736,Gray55,8C8C8C,X11
737,Grey55,8C8C8C,X11
738,Gray56,8F8F8F,X11
739,Grey56,8F8F8F,X11
740,Gray57,919191,X11
741,Grey57,919191,X11
742,Gray58,949494,X11
743,Grey58,949494,X11
744,Gray59,969696,X11
745,Grey59,969696,X11
746,Gray60,999999,X11
747,Grey60,999999,X11
748,Gray61,9C9C9C,X11
749,Grey61,9C9C9C,X11
750,Gray62,9E9E9E,X11
751,Grey62,9E9E9E,X11
752,Gray63,A1A1A1,X11
753,Grey63,A1A1A1,X11
754,Gray64,A3A3A3,X11
755,Grey64,A3A3A3,X11
756,Gray65,A6A6A6,X11
757,Grey65,A6A6A6,X11
758,Gray66,A8A8A8,X11
759,Grey66,A8A8A8,X11
760,Gray67,ABABAB,X11
761,Grey67,ABABAB,X11
762,Gray68,ADADAD,X11
763,Grey68,ADADAD,X11
764,Gray69,B0B0B0,X11
765,Grey69,B0B0B0,X11
766,Gray70,B3B3B3,X11
767,Grey70,B3B3B3,X11
768,Gray71,B5B5B5,X11
769,Grey71,B5B5B5,X11
770,Gray72,B8B8B8,X11
771,Grey72,B8B8B8,X11
772,Gray73,BABABA,X11
773,Grey73,BABABA,X11
774,Gray74,BDBDBD,X11
775,Grey74,BDBDBD,X11
776,Gray75,BFBFBF,X11
777,Grey75,BFBFBF,X11
