ID,Color,RGB,Source
802,Gray88,E0E0E0,X11
803,Grey88,E0E0E0,X11
804,Gray89,E3E3E3,X11
805,Grey89,E3E3E3,X11
806,Gray90,E5E5E5,X11
807,Grey90,E5E5E5,X11
808,Gray91,E8E8E8,X11
809,Grey91,E8E8E8,X11
810,Gray92,EBEBEB,X11
811,Grey92,EBEBEB,X11
812,Gray93,EDEDED,X11
813,Grey93,EDEDED,X11
814,Gray94,F0F0F0,X11
815,Grey94,F0F0F0,X11
816,Gray95,F2F2F2,X11
817,Grey95,F2F2F2,X11
818,Gray96,F5F5F5,X11
819,Grey96,F5F5F5,X11
820,Gray97,F7F7F7,X11
821,Grey97,F7F7F7,X11
822,Gray98,FAFAFA,X11
823,Grey98,FAFAFA,X11
824,Gray99,FCFCFC,X11
825,Grey99,FCFCFC,X11
826,Gray100,FFFFFF,X11
827,Grey100,FFFFFF,X11
828,DarkGrey,A9A9A9,X11
829,DarkGray,A9A9A9,X11
830,DarkBlue,00008B,X11
831,DarkCyan,008B8B,X11
832,DarkMagenta,8B008B,X11
833,DarkRed,8B0000,X11
834,LightGreen,90EE90,X11
835,White,FFFFFF,Netscape
836,Ivory,FFFFF0,Netscape
837,Ivory1,FFFFF0,Netscape
838,LightYellow,FFFFE0,Netscape
839,LightYellow1,FFFFE0,Netscape
840,Yellow,FFFF00,Netscape
841,Yellow1,FFFF00,Netscape
842,Snow,FFFAFA,Netscape
843,Snow1,FFFAFA,Netscape
844,FloralWhite,FFFAF0,Netscape
845,LemonChiffon,FFFACD,Netscape
846,LemonChiffon1,FFFACD,Netscape
847,Cornsilk,FFF8DC,Netscape
848,Cornsilk1,FFF8DC,Netscape
849,Khaki1,FFF68F,Netscape
850,Seashell,FFF5EE,Netscape
851,Seashell1,FFF5EE,Netscape
852,LavenderBlush,FFF0F5,Netscape
853,LavenderBlush1,FFF0F5,Netscape
854,AntiqueWhite1,FFEFDB,Netscape
855,PapayaWhip,FFEFD5,Netscape
856,LightGoldenrod1,FFEC8B,Netscape
857,BlanchedAlmond,FFEBCD,Netscape
858,Wheat1,FFE7BA,Netscape
859,MistyRose,FFE4E1,Netscape
860,MistyRose1,FFE4E1,Netscape
861,Bisque,FFE4C4,Netscape
862,Bisque1,FFE4C4,Netscape
863,Moccasin,FFE4B5,Netscape
864,Thistle1,FFE1FF,Netscape
865,NavajoWhite,FFDEAD,Netscape
866,NavajoWhite1,FFDEAD,Netscape
867,PeachPuff,FFDAB9,Netscape
868,PeachPuff1,FFDAB9,Netscape
869,Gold,FFD700,Netscape
870,Gold1,FFD700,Netscape
871,Burlywood1,FFD39B,Netscape
872,RosyBrown1,FFC1C1,Netscape
873,Goldenrod1,FFC125,Netscape
874,Pink,FFC0CB,Netscape
875,Plum1,FFBBFF,Netscape
876,DarkGoldenrod1,FFB90F,Netscape
877,LightPink,FFB6C1,Netscape
878,Pink1,FFB5C5,Netscape
879,LightPink1,FFAEB9,Netscape
880,Tan1,FFA54F,Netscape
881,Orange,FFA500,Netscape
882,Orange1,FFA500,Netscape
883,LightSalmon,FFA07A,Netscape
884,LightSalmon1,FFA07A,Netscape
885,Salmon1,FF8C69,Netscape
886,DarkOrange,FF8C00,Netscape
887,Orchid1,FF83FA,Netscape
888,PaleVioletRed1,FF82AB,Netscape
889,Sienna1,FF8247,Netscape
890,Coral,FF7F50,Netscape
891,Chocolate1,FF7F24,Netscape
892,DarkOrange1,FF7F00,Netscape
893,Coral1,FF7256,Netscape
894,HotPink1,FF6EB4,Netscape
895,IndianRed1,FF6A6A,Netscape
896,HotPink,FF69B4,Netscape
897,Tomato,FF6347,Netscape
898,Tomato1,FF6347,Netscape
899,Black,000000,Encycolorpedia
900,Smoky black,100C08,Encycolorpedia
901,Navy blue,000080,Encycolorpedia
902,Dark blue,00008B,Encycolorpedia
903,Duke blue,00009C,Encycolorpedia
904,Licorice,1A1110,Encycolorpedia
905,Medium blue,0000CD,Encycolorpedia
906,Phthalo blue,000F89,Encycolorpedia
907,Black bean,3D0C02,Encycolorpedia
908,Bulgarian rose,480607,Encycolorpedia
909,Zinnwaldite brown,2C1608,Encycolorpedia
910,Oxford Blue,002147,Encycolorpedia
911,Ultramarine,120A8F,Encycolorpedia
912,Seal brown,321414,Encycolorpedia
913,Blue,0000FF,Encycolorpedia
914,Dark scarlet,560319,Encycolorpedia
915,Zaffre,0014A8,Encycolorpedia
916,Rosewood,65000B,Encycolorpedia
917,Dark sienna,3C1414,Encycolorpedia
918,Royal blue (traditional),002366,Encycolorpedia
919,Dark jungle green,1A2421,Encycolorpedia
920,Dark green,013220,Encycolorpedia
921,Midnight blue,191970,Encycolorpedia
922,Resolution blue,002387,Encycolorpedia
923,Indigo,4B0082,Encycolorpedia
924,Imperial blue,002395,Encycolorpedia
925,Prussian blue,003153,Encycolorpedia
926,Maroon,800000,Encycolorpedia
927,Cool black,002E63,Encycolorpedia
928,Tyrian purple,66023C,Encycolorpedia
929,Yankees blue,1C2841,Encycolorpedia
930,Persian indigo,32127A,Encycolorpedia
931,Catalina blue,062A78,Encycolorpedia
932,Phthalo green,123524,Encycolorpedia
933,Charleston green,232B2B,Encycolorpedia
934,Dark red,8B0000,Encycolorpedia
935,Dark midnight blue,003366,Encycolorpedia
936,Burgundy,800020,Encycolorpedia
937,Space cadet,1D2951,Encycolorpedia
938,Red devil,860111,Encycolorpedia
939,British racing green,004225,Encycolorpedia
940,Barn red,7C0A02,Encycolorpedia
941,Forest green (traditional),014421,Encycolorpedia
942,UP Forest green,014421,Encycolorpedia
943,Air Force blue (USAF),00308F,Encycolorpedia
944,Medium jungle green,1C352D,Encycolorpedia
945,Sangria,92000A,Encycolorpedia
946,Rich black,004040,Encycolorpedia
947,OU Crimson Red,990000,Encycolorpedia
948,Stizza,990000,Encycolorpedia
949,USC Cardinal,990000,Encycolorpedia
950,Warm black,004242,Encycolorpedia
951,International Klein Blue,002FA7,Encycolorpedia
952,Black leather jacket,253529,Encycolorpedia
953,Bistre,3D2B1F,Encycolorpedia
954,Dark powder blue,003399,Encycolorpedia
955,Smalt,003399,Encycolorpedia
956,Carmine,960018,Encycolorpedia
957,Electric ultramarine,3F00FF,Encycolorpedia
958,St. Patrick's blue,23297A,Encycolorpedia
959,UP Maroon,7B1113,Encycolorpedia
960,Dark candy apple red,A40000,Encycolorpedia
961,UA blue,0033AA,Encycolorpedia
962,Dark imperial blue,00416A,Encycolorpedia
963,Indigo (dye),00416A,Encycolorpedia
964,Olive Drab #7,3C341F,Encycolorpedia
965,Jet,343434,Encycolorpedia
966,Royal azure,0038A8,Encycolorpedia
967,Myrtle,21421E,Encycolorpedia
968,Bluebonnet,1C1CF0,Encycolorpedia
969,Midnight green (eagle green),004953,Encycolorpedia
970,Deep jungle green,004B49,Encycolorpedia
971,Patriarch,800080,Encycolorpedia
972,Purple,800080,Encycolorpedia
973,Persian plum,701C1C,Encycolorpedia
974,Prune,701C1C,Encycolorpedia
975,Caput mortuum,592720,Encycolorpedia
976,Old burgundy,43302E,Encycolorpedia
977,Kenyan copper,7C1C05,Encycolorpedia
978,Egyptian blue,1034A6,Encycolorpedia
979,MSU Green,18453B,Encycolorpedia
980,Falu red,801818,Encycolorpedia
981,Onyx,353839,Encycolorpedia
982,Diamond,7D1242,Encycolorpedia
983,Mardi Gras,880085,Encycolorpedia
984,Dark cerulean,08457E,Encycolorpedia
985,Claret,7F1734,Encycolorpedia
986,Dark magenta,8B008B,Encycolorpedia
987,Castleton green,00563F,Encycolorpedia
988,Sacramento State green,00563F,Encycolorpedia
989,Café noir,4B3621,Encycolorpedia
990,Pansy purple,78184A,Encycolorpedia
991,Black olive,3B3C36,Encycolorpedia
992,Mordant red 19,AE0C00,Encycolorpedia
993,Cal Poly green,1E4D2B,Encycolorpedia
994,Ruby red,9B111E,Encycolorpedia
995,Pakistan green,006600,Encycolorpedia
996,Lincoln green,195905,Encycolorpedia
997,Brunswick green,1B4D3E,Encycolorpedia
998,English green,1B4D3E,Encycolorpedia
999,Antique ruby,841B2D,Encycolorpedia
1000,Violet (RYB),8601AF,Encycolorpedia
1001,Boston University Red,CC0000,Encycolorpedia
1002,Cobalt,0047AB,Encycolorpedia
1003,Electric indigo,6F00FF,Encycolorpedia
1004,Indigo,6F00FF,Encycolorpedia
1005,Dark lava,483C32,Encycolorpedia
1006,Dark taupe,483C32,Encycolorpedia
1007,Taupe,483C32,Encycolorpedia
1008,Crimson glory,BE0032,Encycolorpedia
1009,Harvard crimson,C90016,Encycolorpedia
1010,OrangeRed,FF4500,Netscape
1011,OrangeRed1,FF4500,Netscape
1012,Brown1,FF4040,Netscape
1013,VioletRed1,FF3E96,Netscape
1014,Maroon1,FF34B3,Netscape
1015,Firebrick1,FF3030,Netscape
1016,DeepPink,FF1493,Netscape
1017,DeepPink1,FF1493,Netscape
1018,Magenta,FF00FF,Netscape
1019,Magenta1,FF00FF,Netscape
1020,Red,FF0000,Netscape
1021,Red1,FF0000,Netscape
1022,OldLace,FDF5E6,Netscape
1023,LtGoldenrodYello,FAFAD2,Netscape
1024,Linen,FAF0E6,Netscape
1025,AntiqueWhite,FAEBD7,Netscape
1026,Salmon,FA8072,Netscape
1027,GhostWhite,F8F8FF,Netscape
1028,MintCream,F5FFFA,Netscape
1029,WhiteSmoke,F5F5F5,Netscape
1030,Beige,F5F5DC,Netscape
1031,Wheat,F5DEB3,Netscape
1032,SandyBrown,F4A460,Netscape
1033,Azure,F0FFFF,Netscape
1034,Azure1,F0FFFF,Netscape
1035,Honeydew,F0FFF0,Netscape
1036,Honeydew1,F0FFF0,Netscape
1037,AliceBlue,F0F8FF,Netscape
1038,LightCoral,F08080,Netscape
1039,Ivory2,EEEEE0,Netscape
1040,LightYellow2,EEEED1,Netscape
1041,Yellow2,EEEE00,Netscape
1042,Snow2,EEE9E9,Netscape
1043,LemonChiffon2,EEE9BF,Netscape
1044,Cornsilk2,EEE8CD,Netscape
1045,PaleGoldenrod,EEE8AA,Netscape
1046,Khaki2,EEE685,Netscape
1047,Seashell2,EEE5DE,Netscape
1048,LavenderBlush2,EEE0E5,Netscape
1049,AntiqueWhite2,EEDFCC,Netscape
1050,LightGoldenrod,EEDD82,Netscape
1051,LightGoldenrod2,EEDC82,Netscape
1052,Wheat2,EED8AE,Netscape
1053,MistyRose2,EED5D2,Netscape
1054,Bisque2,EED5B7,Netscape
1055,Thistle2,EED2EE,Netscape
1056,NavajoWhite2,EECFA1,Netscape
1057,PeachPuff2,EECBAD,Netscape
1058,Gold2,EEC900,Netscape
1059,Burlywood2,EEC591,Netscape
1060,RosyBrown2,EEB4B4,Netscape
1061,Goldenrod2,EEB422,Netscape
1062,Plum2,EEAEEE,Netscape
1063,DarkGoldenrod2,EEAD0E,Netscape
1064,Pink2,EEA9B8,Netscape
1065,LightPink2,EEA2AD,Netscape
1066,Tan2,EE9A49,Netscape
1067,Orange2,EE9A00,Netscape
1068,LightSalmon2,EE9572,Netscape
1069,Violet,EE82EE,Netscape
1070,Salmon2,EE8262,Netscape
1071,Orchid2,EE7AE9,Netscape
1072,PaleVioletRed2,EE799F,Netscape
1073,Sienna2,EE7942,Netscape
1074,Chocolate2,EE7621,Netscape
1075,DarkOrange2,EE7600,Netscape
1076,HotPink2,EE6AA7,Netscape
1077,Coral2,EE6A50,Netscape
1078,IndianRed2,EE6363,Netscape
1079,Tomato2,EE5C42,Netscape
1080,OrangeRed2,EE4000,Netscape
1081,Brown2,EE3B3B,Netscape
1082,VioletRed2,EE3A8C,Netscape
1083,Maroon2,EE30A7,Netscape
1084,Firebrick2,EE2C2C,Netscape
1085,DeepPink2,EE1289,Netscape
1086,Magenta2,EE00EE,Netscape
1087,Red2,EE0000,Netscape
1088,DarkSalmon,E9967A,Netscape
1089,Gray91,E8E8E8,Netscape
1090,Lavender,E6E6FA,Netscape
1091,LightCyan,E0FFFF,Netscape
1092,LightCyan1,E0FFFF,Netscape
1093,Azure2,E0EEEE,Netscape
1094,Honeydew2,E0EEE0,Netscape
1095,MediumOrchid1,E066FF,Netscape
1096,Burlywood,DEB887,Netscape
1097,Plum,DDA0DD,Netscape
1098,Gainsboro,DCDCDC,Netscape
1099,PaleVioletRed,DB7093,Netscape
1100,Goldenrod,DAA520,Netscape
1101,Orchid,DA70D6,Netscape
1102,Thistle,D8BFD8,Netscape
1103,LightGray,D3D3D3,Netscape
1104,Tan,D2B48C,Netscape
1105,Chocolate,D2691E,Netscape
1106,LightCyan2,D1EEEE,Netscape
1107,MediumOrchid2,D15FEE,Netscape
1108,VioletRed,D02090,Netscape
1109,Gray81,CFCFCF,Netscape
1110,Ivory3,CDCDC1,Netscape
1111,LightYellow3,CDCDB4,Netscape
1112,Yellow3,CDCD00,Netscape
1113,Snow3,CDC9C9,Netscape
1114,LemonChiffon3,CDC9A5,Netscape
1115,Cornsilk3,CDC8B1,Netscape
1116,Khaki3,CDC673,Netscape
1117,Seashell3,CDC5BF,Netscape
1118,LavenderBlush3,CDC1C5,Netscape
1119,AntiqueWhite3,CDC0B0,Netscape
1120,LightGoldenrod3,CDBE70,Netscape
1121,Wheat3,CDBA96,Netscape
1122,MistyRose3,CDB7B5,Netscape
1123,Bisque3,CDB79E,Netscape
1124,Thistle3,CDB5CD,Netscape
1125,NavajoWhite3,CDB38B,Netscape
1126,PeachPuff3,CDAF95,Netscape
1127,Gold3,CDAD00,Netscape
1128,Burlywood3,CDAA7D,Netscape
1129,RosyBrown3,CD9B9B,Netscape
1130,Goldenrod3,CD9B1D,Netscape
1131,Plum3,CD96CD,Netscape
1132,DarkGoldenrod3,CD950C,Netscape
1133,Pink3,CD919E,Netscape
1134,LightPink3,CD8C95,Netscape
1135,Peru,CD853F,Netscape
1136,Tan3,CD853F,Netscape
1137,Orange3,CD8500,Netscape
1138,LightSalmon3,CD8162,Netscape
1139,Salmon3,CD7054,Netscape
1140,Orchid3,CD69C9,Netscape
1141,PaleVioletRed3,CD6889,Netscape
1142,Sienna3,CD6839,Netscape
1143,Chocolate3,CD661D,Netscape
1144,DarkOrange3,CD6600,Netscape
1145,HotPink3,CD6090,Netscape
1146,IndianRed,CD5C5C,Netscape
1147,Coral3,CD5B45,Netscape
1148,IndianRed3,CD5555,Netscape
1149,Tomato3,CD4F39,Netscape
1150,OrangeRed3,CD3700,Netscape
1151,Brown3,CD3333,Netscape
1152,VioletRed3,CD3278,Netscape
1153,Maroon3,CD2990,Netscape
1154,Firebrick3,CD2626,Netscape
1155,DeepPink3,CD1076,Netscape
1156,Magenta3,CD00CD,Netscape
1157,Red3,CD0000,Netscape
1158,DarkOliveGreen1,CAFF70,Netscape
1159,LightSteelBlue1,CAE1FF,Netscape
1160,MediumVioletRed,C71585,Netscape
1161,SlateGray1,C6E2FF,Netscape
1162,DarkSeaGreen1,C1FFC1,Netscape
1163,Azure3,C1CDCD,Netscape
1164,Honeydew3,C1CDC1,Netscape
1165,OliveDrab1,C0FF3E,Netscape
1166,LightBlue1,BFEFFF,Netscape
1167,DarkOrchid1,BF3EFF,Netscape
1168,Grey,BEBEBE,Netscape
1169,DarkKhaki,BDB76B,Netscape
1170,DarkOliveGreen2,BCEE68,Netscape
1171,LightSteelBlue2,BCD2EE,Netscape
1172,RosyBrown,BC8F8F,Netscape
1173,PaleTurquoise1,BBFFFF,Netscape
1174,MediumOrchid,BA55D3,Netscape
1175,SlateGray2,B9D3EE,Netscape
1176,DarkGoldenrod,B8860B,Netscape
1177,Grey71,B5B5B5,Netscape
1178,DarkSeaGreen2,B4EEB4,Netscape
1179,LightCyan3,B4CDCD,Netscape
1180,MediumOrchid3,B452CD,Netscape
1181,OliveDrab2,B3EE3A,Netscape
1182,LightBlue2,B2DFEE,Netscape
1183,DarkOrchid2,B23AEE,Netscape
1184,Firebrick,B22222,Netscape
1185,LightSkyBlue1,B0E2FF,Netscape
1186,PowderBlue,B0E0E6,Netscape
1187,LightSteelBlue,B0C4DE,Netscape
1188,Maroon,B03060,Netscape
1189,PaleTurquoise,AFEEEE,Netscape
1190,PaleTurquoise2,AEEEEE,Netscape
1191,GreenYellow,ADFF2F,Netscape
1192,LightBlue,ADD8E6,Netscape
1193,MediumPurple1,AB82FF,Netscape
1194,DarkGrey,A9A9A9,Netscape
1195,Brown,A52A2A,Netscape
1196,LightSkyBlue2,A4D3EE,Netscape
1197,DarkOliveGreen3,A2CD5A,Netscape
1198,LightSteelBlue3,A2B5CD,Netscape
1199,Sienna,A0522D,Netscape
1200,Purple,A020F0,Netscape
1201,SlateGray3,9FB6CD,Netscape
1202,MediumPurple2,9F79EE,Netscape
1203,Grey61,9C9C9C,Netscape
1204,DarkSeaGreen3,9BCD9B,Netscape
1205,Purple1,9B30FF,Netscape
1206,PaleGreen1,9AFF9A,Netscape
1207,YellowGreen,9ACD32,Netscape
1208,OliveDrab3,9ACD32,Netscape
1209,LightBlue3,9AC0CD,Netscape
1210,DarkOrchid3,9A32CD,Netscape
1211,DarkOrchid,9932CC,Netscape
1212,PaleGreen,98FB98,Netscape
1213,CadetBlue1,98F5FF,Netscape
1214,DarkSlateGray1,97FFFF,Netscape
1215,PaleTurquoise3,96CDCD,Netscape
1216,DarkViolet,9400D3,Netscape
1217,MediumPurple,9370DB,Netscape
1218,Purple2,912CEE,Netscape
1219,PaleGreen2,90EE90,Netscape
1220,LightGreen,90EE90,Netscape
1221,DarkSeaGreen,8FBC8F,Netscape
1222,CadetBlue2,8EE5EE,Netscape
1223,DarkSlateGray2,8DEEEE,Netscape
1224,LightSkyBlue3,8DB6CD,Netscape
1225,Ivory4,8B8B83,Netscape
1226,LightYellow4,8B8B7A,Netscape
1227,Yellow4,8B8B00,Netscape
1228,Snow4,8B8989,Netscape
1229,LemonChiffon4,8B8970,Netscape
1230,Cornsilk4,8B8878,Netscape
1231,Seashell4,8B8682,Netscape
1232,Khaki4,8B864E,Netscape
1233,LavenderBlush4,8B8386,Netscape
1234,AntiqueWhite4,8B8378,Netscape
1235,LightGoldenrod4,8B814C,Netscape
1236,Wheat4,8B7E66,Netscape
1237,MistyRose4,8B7D7B,Netscape
1238,Bisque4,8B7D6B,Netscape
1239,Thistle4,8B7B8B,Netscape
1240,NavajoWhite4,8B795E,Netscape
1241,PeachPuff4,8B7765,Netscape
1242,Gold4,8B7500,Netscape
1243,Burlywood4,8B7355,Netscape
1244,RosyBrown4,8B6969,Netscape
1245,Goldenrod4,8B6914,Netscape
1246,Plum4,8B668B,Netscape
1247,DarkGoldenrod4,8B658B,Netscape
1248,Pink4,8B636C,Netscape
1249,LightPink4,8B5F65,Netscape
1250,Tan4,8B5A2B,Netscape
1251,Orange4,8B5A00,Netscape
1252,LightSalmon4,8B5742,Netscape
1253,Salmon4,8B4C39,Netscape
1254,Orchid4,8B4789,Netscape
1255,PaleVioletRed4,8B475D,Netscape
1256,Sienna4,8B4726,Netscape
1257,SaddleBrown,8B4513,Netscape
1258,Chocolate4,8B4513,Netscape
1259,DarkOrange4,8B4500,Netscape
1260,Coral4,8B3E2F,Netscape
1261,HotPink4,8B3A62,Netscape
1262,IndianRed4,8B3A3A,Netscape
1263,Tomato4,8B3626,Netscape
1264,OrangeRed4,8B2500,Netscape
1265,Brown4,8B2323,Netscape
1266,VioletRed4,8B2252,Netscape
1267,Maroon4,8B1C62,Netscape
1268,Firebrick4,8B1A1A,Netscape
1269,DeepPink4,8B0A50,Netscape
1270,Magenta4,8B008B,Netscape
1271,DarkMagenta,8B008B,Netscape
1272,Red4,8B0000,Netscape
1273,DarkRed,8B0000,Netscape
1274,BlueViolet,8A2BE2,Netscape
1275,MediumPurple3,8968CD,Netscape
1276,SkyBlue1,87CEFF,Netscape
1277,LightSkyBlue,87CEFA,Netscape
1278,SkyBlue,87CEEB,Netscape
1279,LightSlateBlue,8470FF,Netscape
1280,Azure4,838B8B,Netscape
1281,Honeydew4,838B83,Netscape
1282,SlateBlue1,836FFF,Netscape
1283,Grey51,828282,Netscape
1284,Aquamarine,7FFFD4,Netscape
1285,Aquamarine1,7FFFD4,Netscape
1286,Chartreuse,7FFF00,Netscape
1287,Chartreuse1,7FFF00,Netscape
1288,SkyBlue2,7EC0EE,Netscape
1289,Purple3,7D26CD,Netscape
1290,LawnGreen,7CFC00,Netscape
1291,PaleGreen3,7CCD7C,Netscape
1292,MediumSlateBlue,7B68EE,Netscape
1293,CadetBlue3,7AC5CD,Netscape
1294,LightCyan4,7A8B8B,Netscape
1295,SlateBlue2,7A67EE,Netscape
1296,MediumOrchid4,7A378B,Netscape
1297,DarkSlateGray3,79CDCD,Netscape
1298,LightSlateGray,778899,Netscape
1299,Aquamarine2,76EEC6,Netscape
1300,Chartreuse2,76EE00,Netscape
1301,SlateGrey,708090,Netscape
1302,DarkOliveGreen4,6E8B3D,Netscape
1303,LightSteelBlue4,6E7B8B,Netscape
1304,SkyBlue3,6CA6CD,Netscape
1305,SlateGray4,6C7B8B,Netscape
1306,OliveDrab,6B8E23,Netscape
1307,SlateBlue,6A5ACD,Netscape
1308,DarkSeaGreen4,698B69,Netscape
1309,OliveDrab4,698B22,Netscape
1310,DimGrey,696969,Netscape
1311,Grey41,696969,Netscape
1312,SlateBlue3,6959CD,Netscape
1313,LightBlue4,68838B,Netscape
1314,DarkOrchid4,68228B,Netscape
1315,MediumAquamarine,66CDAA,Netscape
1316,Aquamarine3,66CDAA,Netscape
1317,Chartreuse3,66CD00,Netscape
1318,PaleTurquoise4,668B8B,Netscape
1319,CornflowerBlue,6495ED,Netscape
1320,SteelBlue1,63B8FF,Netscape
1321,LightSkyBlue4,607B8B,Netscape
1322,CadetBlue,5F9EA0,Netscape
1323,MediumPurple4,5D478B,Netscape
1324,SteelBlue2,5CACEE,Netscape
1325,DarkOliveGreen,556B2F,Netscape
1326,Purple4,551A8B,Netscape
1327,SeaGreen1,54FF9F,Netscape
1328,PaleGreen4,548B54,Netscape
1329,CadetBlue4,53868B,Netscape
1330,DarkSlateGray4,528B8B,Netscape
1331,SteelBlue3,4F94CD,Netscape
1332,Grey31,4F4F4F,Netscape
1333,SeaGreen2,4EEE94,Netscape
1334,SkyBlue4,4A708B,Netscape
1335,MediumTurquoise,48D1CC,Netscape
1336,RoyalBlue1,4876FF,Netscape
1337,DarkSlateBlue,483D8B,Netscape
1338,SlateBlue4,473C8B,Netscape
1339,SteelBlue,4682B4,Netscape
1340,Aquamarine4,458B74,Netscape
1341,Chartreuse4,458B00,Netscape
1342,SeaGreen3,43CD80,Netscape
1343,RoyalBlue2,436EEE,Netscape
1344,RoyalBlue,4169E1,Netscape
1345,Turquoise,40E0D0,Netscape
1346,MediumSeaGreen,3CB371,Netscape
1347,RoyalBlue3,3A5FCD,Netscape
1348,SteelBlue4,36648B,Netscape
1349,Grey21,363636,Netscape
1350,LimeGreen,32CD32,Netscape
1351,DarkSlateGray,2F4F4F,Netscape
1352,SeaGreen,2E8B57,Netscape
1353,SeaGreen4,2E8B57,Netscape
1354,RoyalBlue4,27408B,Netscape
1355,ForestGreen,228B22,Netscape
1356,LightSeaGreen,20B2AA,Netscape
1357,DodgerBlue,1E90FF,Netscape
1358,DodgerBlue1,1E90FF,Netscape
1359,DodgerBlue2,1C86EE,Netscape
1360,Grey11,1C1C1C,Netscape
1361,MidnightBlue,191970,Netscape
1362,DodgerBlue3,1874CD,Netscape
1363,DodgerBlue4,104E8B,Netscape
1364,Cyan,00FFFF,Netscape
1365,Cyan1,00FFFF,Netscape
1366,SpringGreen,00FF7F,Netscape
1367,SpringGreen1,00FF7F,Netscape
1368,Green,00FF00,Netscape
1369,Green1,00FF00,Netscape
1370,MedSpringGreen,00FA9A,Netscape
1371,Turquoise1,00F5FF,Netscape
1372,Cyan2,00EEEE,Netscape
1373,SpringGreen2,00EE76,Netscape
1374,Green2,00EE00,Netscape
1375,Turquoise2,00E5EE,Netscape
1376,DarkTurquoise,00CED1,Netscape
1377,Cyan3,00CDCD,Netscape
1378,SpringGreen3,00CD66,Netscape
1379,Green3,00CD00,Netscape
1380,Turquoise3,00C5CD,Netscape
1381,DeepSkyBlue,00BFFF,Netscape
1382,DeepSkyBlue1,00BFFF,Netscape
1383,DeepSkyBlue2,00B2EE,Netscape
1384,DeepSkyBlue3,009ACD,Netscape
1385,Cyan4,008B8B,Netscape
1386,DarkCyan,008B8B,Netscape
1387,SpringGreen4,008B45,Netscape
1388,Green4,008B00,Netscape
1389,Turquoise4,00868B,Netscape
1390,DeepSkyBlue4,00688B,Netscape
1391,DarkGreen,006400,Netscape
1392,Blue,0000FF,Netscape
1393,Blue1,0000FF,Netscape
1394,Blue2,0000EE,Netscape
1395,MediumBlue,0000CD,Netscape
1396,Blue3,0000CD,Netscape
1397,Blue4,00008B,Netscape
1398,DarkBlue,00008B,Netscape
1399,NavyBlue,000080,Netscape
1400,Black,000000,Netscape
1401,Blue (pigment),333399,Encycolorpedia
1402,Persian blue,1C39BB,Encycolorpedia
1403,Rosso corsa,D40000,Encycolorpedia
1404,USAFA blue,004F98,Encycolorpedia
1405,Medium electric blue,035096,Encycolorpedia
1406,Palatinate purple,682860,Encycolorpedia
1407,Regalia,522D80,Encycolorpedia
1408,Red (NCS),C40233,Encycolorpedia
1409,Charcoal,36454F,Encycolorpedia
1410,Arsenic,3B444B,Encycolorpedia
1411,Yale Blue,0F4D92,Encycolorpedia
1412,Jazzberry jam,A50B5E,Encycolorpedia
1413,Venetian red,C80815,Encycolorpedia
1414,Violet,7F00FF,Encycolorpedia
1415,Han purple,5218FA,Encycolorpedia
1416,Rufous,A81C07,Encycolorpedia
1417,Rifle green,414833,Encycolorpedia
1418,Old mauve,673147,Encycolorpedia
1419,Wine dregs,673147,Encycolorpedia
1420,Wine,722F37,Encycolorpedia
1421,Dark violet,9400D3,Encycolorpedia
1422,Imperial,602F6B,Encycolorpedia
1423,Byzantium,702963,Encycolorpedia
1424,Dark slate gray,2F4F4F,Encycolorpedia
1425,Cadmium green,006B3C,Encycolorpedia
1426,Kobe,882D17,Encycolorpedia
1427,Sienna,882D17,Encycolorpedia
1428,International orange (engineering),BA160C,Encycolorpedia
1429,Purple (Munsell),9F00C5,Encycolorpedia
1430,Purple taupe,50404D,Encycolorpedia
1431,Utah Crimson,D3003F,Encycolorpedia
1432,Spanish carmine,D10047,Encycolorpedia
1433,Vivid burgundy,9F1D35,Encycolorpedia
1434,Vivid auburn,922724,Encycolorpedia
1435,Dark byzantium,5D3954,Encycolorpedia
1436,KU Crimson,E8000D,Encycolorpedia
1437,Bottle green,006A4E,Encycolorpedia
1438,Blue (RYB),0247FE,Encycolorpedia
1439,Outer Space,414A4C,Encycolorpedia
1440,Carmine (M&P),D70040,Encycolorpedia
1441,Rich carmine,D70040,Encycolorpedia
1442,Cadmium red,E30022,Encycolorpedia
1443,Electric violet,8F00FF,Encycolorpedia
1444,Violet,8F00FF,Encycolorpedia
1445,Palatinate blue,273BE2,Encycolorpedia
1446,Rubine red,D10056,Encycolorpedia
1447,Carnelian,B31B1B,Encycolorpedia
1448,Cornell Red,B31B1B,Encycolorpedia
1449,Dartmouth green,00703C,Encycolorpedia
1450,Dark raspberry,872657,Encycolorpedia
1451,Halayá úbe,663854,Encycolorpedia
1452,Dark slate blue,483D8B,Encycolorpedia
1453,Dark brown,654321,Encycolorpedia
1454,Otter brown,654321,Encycolorpedia
1455,UA red,D9004C,Encycolorpedia
1456,Pictorial carmine,C30B4E,Encycolorpedia
1457,Chocolate (traditional),7B3F00,Encycolorpedia
1458,Sapphire,0F52BA,Encycolorpedia
1459,Sepia,704214,Encycolorpedia
1460,Army green,4B5320,Encycolorpedia
1461,Lava,CF1020,Encycolorpedia
1462,Ao,008000,Encycolorpedia
1463,Green,654321,Encycolorpedia
1464,Office green,654321,Encycolorpedia
1465,Burnt umber,8A3324,Encycolorpedia
