R,G,B,RGB,Color
225,155,75,E19B4B,TRUMATCH 8-c2
227,174,110,E3AE6E,TRUMATCH 8-d2
229,191,145,E5BF91,TRUMATCH 8-e2
186,102,0,BA6600,TRUMATCH 8-a5
188,117,31,BC751F,TRUMATCH 8-b5
190,131,63,BE833F,TRUMATCH 8-c5
210,116,0,D27400,TRUMATCH 8-a3
212,132,37,D48425,TRUMATCH 8-b3
214,148,72,D69448,TRUMATCH 8-c3
216,166,105,D8A669,TRUMATCH 8-d3
218,182,139,DAB68B,TRUMATCH 8-e3
174,95,0,AE5F00,TRUMATCH 8-a6
176,108,28,B06C1C,TRUMATCH 8-b6
178,122,58,B27A3A,TRUMATCH 8-c6
198,109,0,C66D00,TRUMATCH 8-a4
200,124,34,C87C22,TRUMATCH 8-b4
202,139,68,CA8B44,TRUMATCH 8-c4
204,156,99,CC9C63,TRUMATCH 8-d4
206,172,131,CEAC83,TRUMATCH 8-e4
161,87,0,A15700,TRUMATCH 8-a7
163,100,24,A36418,TRUMATCH 8-b7
165,112,53,A57035,TRUMATCH 8-c7
253,216,102,FDD866,TRUMATCH 9-a
254,221,128,FEDD80,TRUMATCH 9-b
254,227,152,FEE398,TRUMATCH 9-c
254,234,177,FEEAB1,TRUMATCH 9-d
254,240,200,FEF0C8,TRUMATCH 9-e
254,245,222,FEF5DE,TRUMATCH 9-f
255,251,241,FFFBF1,TRUMATCH 9-g
255,253,250,FFFDFA,TRUMATCH 9-h
244,208,99,F4D063,TRUMATCH 9-a1
244,213,124,F4D57C,TRUMATCH 9-b1
244,218,146,F4DA92,TRUMATCH 9-c1
245,226,171,F5E2AB,TRUMATCH 9-d1
245,231,193,F5E7C1,TRUMATCH 9-e1
245,236,215,F5ECD7,TRUMATCH 9-f1
196,182,139,C4B68B,TRUMATCH 9-d5
196,186,158,C4BA9E,TRUMATCH 9-e5
233,199,95,E9C75F,TRUMATCH 9-a2
233,204,119,E9CC77,TRUMATCH 9-b2
233,209,140,E9D18C,TRUMATCH 9-c2
233,216,164,E9D8A4,TRUMATCH 9-d2
233,221,185,E9DDB9,TRUMATCH 9-e2
196,167,81,C4A751,TRUMATCH 9-a5
196,171,101,C4AB65,TRUMATCH 9-b5
196,176,119,C4B077,TRUMATCH 9-c5
221,189,91,DDBD5B,TRUMATCH 9-a3
221,194,114,DDC272,TRUMATCH 9-b3
221,198,134,DDC686,TRUMATCH 9-c3
221,205,156,DDCD9C,TRUMATCH 9-d3
221,210,177,DDD2B1,TRUMATCH 9-e3
183,156,76,B79C4C,TRUMATCH 9-a6
183,159,95,B79F5F,TRUMATCH 9-b6
183,164,112,B7A470,TRUMATCH 9-c6
209,178,86,D1B256,TRUMATCH 9-a4
209,183,108,D1B76C,TRUMATCH 9-b4
209,187,127,D1BB7F,TRUMATCH 9-c4
209,193,148,D1C194,TRUMATCH 9-d4
209,198,167,D1C6A7,TRUMATCH 9-e4
