RGB,Color,Note,w3c
FADFAD,Peach-yellow,Peach (color)#Peach-yellow,
D1E231,Pear,Chartreuse (color)#Pear,
EAE0C8,Pearl,Pearl (color),
88D8C0,Pearl Aqua,Aqua (color),
E6E200,Peridot,Peridot,
CCCCFF,Periwinkle,Periwinkle (color),
1C39BB,Persian blue,Persian blue,
00A693,Persian green,Variations of green#Persian green,
32127A,Persian indigo,Persian blue#Persian indigo,
D99058,Persian orange,Persian orange,
F77FBE,Persian pink,Rose (color)#Persian Pink,
701C1C,Persian plum,Plum (color)#Persian plum (prune),
CC3333,Persian red,Persian red,
FE28A2,Persian rose,Rose (color)#Persian Rose,
EC5800,Persimmon,Persimmon,
DF00FF,Phlox,Purple#Psychedelic purple (phlox),
000F89,Phthalo blue,Phthalo Blue,
123524,Phthalo green,Phthalo Green,
FDDDE6,Piggy pink,Pig,
01796F,Pine green,Variations of green#Pine green,
FFC0CB,Pink,Pink,
E7ACCF,Pink pearl,Pearl,
F78FA7,Pink Sherbet,List of Crayola crayon colors,
93C572,Pistachio,Chartreuse (color)#Pistachio,
E5E4E2,Platinum,Platinum (color),
8E4585,Plum (traditional),Plum (color),
DDA0DD,Plum (web),"Plum (color)#Pale plum (web color ""plum"")",
FF5A36,Portland Orange,Portland Orange,
B0E0E6,Powder blue (web),Powder blue,
FF8F00,Princeton orange,Variations of orange#Princeton orange,
701C1C,Prune,Plum (color)#Persian plum (prune),
003153,Prussian blue,Prussian blue,
DF00FF,Psychedelic purple,Purple#Psychedelic purple (phlox),
CC8899,Puce,Puce,
FF7518,Pumpkin,Pumpkin (color),
800080,Purple (HTML/CSS),Purple#Purple (HTML/CSS color) (patriarch),
9F00C5,Purple (Munsell),Purple#Purple (Munsell),
A020F0,Purple (X11),Purple#Purple (X11 color) (veronica),
69359C,Purple Heart,Purple Heart,
9678B6,Purple mountain majesty,Lavender (color)#Lavender purple (purple mountain majesty),
FE4EDA,Purple pizzazz,Variations of magenta#Purple pizzazz,
50404D,Purple taupe,Taupe#Purple taupe,
51484F,Quartz,Quartz,
FF355E,Radical Red,Amaranth (color)#Radical red (bright amaranth pink),
5D8AA8,Rackley,Rackley,
E30B5D,Raspberry,Raspberry (color),
915F6D,Raspberry glace,Raspberry (color)#Raspberry glace,
E25098,Raspberry pink,Raspberry (color)#Raspberry pink,
B3446C,Raspberry rose,Raspberry (color)#Raspberry rose,
826644,Raw umber,Umber#Raw umber,
FF33CC,Razzle dazzle rose,Rose (color)#Razzle Dazzle Rose,
E3256B,Razzmatazz,Rose (color)#Razzmatazz,
FF0000,Red,Red,Red
F2003C,Red (Munsell),Variations of red#Red (Munsell),
C40233,Red (NCS),Variations of red#Red (NCS) (psychological primary red),
ED1C24,Red (pigment),Variations of red#Pigment red,
FE2712,Red (RYB),RYB color model,
A52A2A,Red-brown,"Brown#Red-brown (web color ""brown"")",
FF4500,Red-orange,Red#Red-orange,
C71585,Red-violet,Red-violet,
AB4E52,Redwood,Redwood (color),
522D80,Regalia,Regalia,
004040,Rich black,Rich black,
F1A7FE,Rich brilliant lavender,Lavender (color)#Rich brilliant lavender,
D70040,Rich carmine,Carmine (color)#Rich Carmine,
0892D0,Rich electric blue,Electric blue (color)#Rich electric blue,
A76BCF,Rich lavender,Lavender (color)#Rich Lavender (deep floral lavender),
B666D2,Rich lilac,Lilac (color)#Rich lilac,
B03060,Rich maroon,Maroon (color)#Rich maroon (maroon (X11)),
414833,Rifle green,Variations of green#Rifle green,
00CCCC,Robin egg blue,Robin egg blue,
FF007F,Rose,Rose (color),
F9429E,Rose bonbon,Rose (color)#Rose Bonbon,
674846,Rose ebony,Rose (color)#Rose Ebony,
B76E79,Rose gold,Rose (color)#Rose Gold,
E32636,Rose madder,Alizarin,
FF66CC,Rose pink,Rose (color)#Rose Pink,
AA98A9,Rose quartz,Rose (color)#Rose Quartz,
905D5D,Rose taupe,Taupe#Rose taupe,
AB4E52,Rose vale,Rose (color)#Rose Vale,
65000B,Rosewood,Rose (color)#Rosewood,
D40000,Rosso corsa,Rosso corsa,
BC8F8F,Rosy brown,Rose (color)#Rosy Brown,
0038A8,Royal azure,Azure (color)#Royal azure,
002366,Royal blue (traditional),Royal blue,
4169E1,Royal blue (web),Royal blue,
CA2C92,Royal fuchsia,Fuchsia (color)#Royal fuchsia,
7851A9,Royal purple,Purple#Royal purple: 1600s,
E0115F,Ruby,Ruby (color),
FF0028,Ruddy,Ruddy,
BB6528,Ruddy brown,Ruddy#Ruddy brown,
E18E96,Ruddy pink,Ruddy#Ruddy pink,
A81C07,Rufous,Rufous,
80461B,Russet,Russet (color),
B7410E,Rust,Rust (color),
00563F,Sacramento State green,Variations of green#Sacramento State green,
8B4513,Saddle brown,X11 color names#Color name charts,
FF6700,Safety orange (blaze orange),Safety orange,
F4C430,Saffron,Saffron (color),
23297A,St. Patrick's blue,St. Patrick's blue,
FF8C69,Salmon,Salmon (color),
FF91A4,Salmon pink,Salmon pink,
C2B280,Sand,Desert sand (color)#Sand,
967117,Sand dune,Desert sand (color)#Sand dune (Drab),
ECD540,Sandstorm,List of Crayola colored pencil colors#Standard colors,
F4A460,Sandy brown,Sandy brown,
967117,Sandy taupe,Taupe#Sandy taupe,
92000A,Sangria,Sangria,
507D2A,Sap green,Variations of green#Sap green,
0F52BA,Sapphire,Sapphire (color),
CBA135,Satin sheen gold,Gold (color)#Satin sheen gold,
FF2400,Scarlet,Scarlet (color),
FF2400,Scarlet (Crayola),Scarlet (color)#Scarlet (Crayola),
FFD800,School bus yellow,School bus yellow,
76FF7A,Screamin' Green,List of Crayola crayon colors#Standard Colors,
006994,Sea blue,Variations of blue#Sea blue,
2E8B57,Sea green,Variations of blue#Sea green,
321414,Seal brown,Seal brown,
FFF5EE,Seashell,Seashell (color),
FFBA00,Selective yellow,Selective yellow,
704214,Sepia,Sepia (color),
8A795D,Shadow,List of Crayola crayon colors#Standard Colors,
009E60,Shamrock green,Variations of green#Shamrock green,
FC0FC0,Shocking pink,Variations of pink#Shocking pink,
882D17,Sienna,Sienna,
C0C0C0,Silver,Silver (color),
CB410B,Sinopia,Sinopia,
007474,Skobeloff,Spring green (color)#Skobeloff,
87CEEB,Sky blue,Azure (color)#Sky blue,
CF71AF,Sky magenta,Variations of magenta#Sky magenta,
6A5ACD,Slate blue,X11 color names#Color names,
708090,Slate gray,Slate gray,
003399,Smalt (Dark powder blue),Powder blue,
933D41,Smokey topaz,Topaz,
100C08,Smoky black,Smoky black,
FFFAFA,Snow,Variations of white#Snow,
0FC0FC,Spiro Disco Ball,List of Crayola colored pencil colors,
A7FC00,Spring bud,Spring bud,
00FF7F,Spring green,Spring green (color),
4682B4,Steel blue,Steel blue,
FADA5E,Stil de grain yellow,Stil de grain yellow,
990000,Stizza,Variations of red#OU Crimson,
E4D96F,Straw,Straw (colour),
FFCC33,Sunglow,Gold (color)#Sunglow,
FAD6A5,Sunset,Sunset (color),
D2B48C,Tan,Tan (color),
F94D00,Tangelo,Variations of orange#Tangelo,
F28500,Tangerine,Tangerine (color),
FFCC00,Tangerine yellow,School bus yellow#Computer monitor display,
483C32,Taupe,Taupe,
8B8589,Taupe gray,Taupe#Taupe gray,
D0F0C0,Tea green,Variations of green#Tea green,
F88379,Tea rose (orange),Variations of orange#Tea rose,
F4C2C2,Tea rose (rose),Rose (color)#Tea Rose,
008080,Teal,Teal (color)#Teal,
367588,Teal blue,Teal (color)#Teal blue,
006D5B,Teal green,Teal (color)#Teal green,
CD5700,TennÃ© (Tawny),TennÃ©,
E2725B,Terra cotta,Terracotta#Color,
D8BFD8,Thistle,Thistle (color),
DE6FA1,Thulian pink,Rose (color)#Thulian Pink,
FC89AC,Tickle Me Pink,Rose (color)#Tickle Me Pink,
0ABAB5,Tiffany Blue,Tiffany Blue#Tiffany Blue,
E08D3C,Tiger's eye,Tiger's eye,
DBD7D2,Timberwolf,List of Crayola crayon colors#Standard Colors,
EEE600,Titanium yellow,Titanium yellow,
FF6347,Tomato,Tomato (color),
746CC0,Toolbox,List of Crayola colored pencil colors#Standard colors,
FFC87C,Topaz,Topaz,
FD0E35,Tractor red,Scarlet (color)#Tractor red,
808080,Trolley Grey,Grey,
00755E,Tropical rain forest,Jungle green#Tropical rain forest,
0073CF,True Blue,True Blue (color),
417DC1,Tufts Blue,Tufts Blue,
DEAA88,Tumbleweed,List of Crayola crayon colors,
B57281,Turkish rose,Rose (color)#Turkish Rose,
30D5C8,Turquoise,Turquoise (color),
00FFEF,Turquoise blue,Turquoise (color)#Turquoise Blue,
A0D6B4,Turquoise green,Turquoise (color)#Turquoise Green,
66424D,Tuscan red,Tuscan red,
8A496B,Twilight lavender,Lavender (color)#Twilight lavender,
66023C,Tyrian purple,Tyrian purple#Tyrian purple,
0033AA,UA blue,University of Arizona#School colors,
D9004C,UA red,University of Arizona#School colors,
8878C3,Ube,Lavender (color)#Ãšbe,
536895,UCLA Blue,UCLA Blue,
FFB300,UCLA Gold,UCLA,
3CD070,UFO Green,List of Crayola colored pencil colors#Standard colors,
120A8F,Ultramarine,Ultramarine,
4166F5,Ultramarine blue,Ultramarine#Ultramarine blue,
FF6FFF,Ultra pink,Variations of magenta#Ultra pink,
635147,Umber,Umber#Umber,
5B92E5,United Nations blue,Azure (color)#United Nations blue,
B78727,University of California Gold,Gold (color)#University of California Gold,
FFFF66,Unmellow Yellow,List of Crayola crayon colors#Standard Colors,
014421,UP Forest green,Variations of green#UP Forest green,
7B1113,UP Maroon,Maroon (color)#UP maroon,
AE2029,Upsdell red,Upsdell red,
E1AD21,Urobilin,Urobilin,
990000,USC Cardinal,University of Southern California,
FFCC00,USC Gold,University of Southern California,
D3003F,Utah Crimson,Crimson#Utah crimson,
F3E5AB,Vanilla,Vanilla (color),
C5B358,Vegas gold,Gold (color)#Vegas gold,
C80815,Venetian red,Venetian red,
43B3AE,Verdigris,Verdigris,
E34234,Vermilion,Vermilion,
A020F0,Veronica,Purple#Purple (X11 color) (veronica),
8F00FF,Violet,Violet (color),
7F00FF,Violet (color wheel),Violet (color)#Color wheel violet,
8601AF,Violet (RYB),RYB color model,
EE82EE,Violet (web),Violet (color),
40826D,Viridian,Viridian,
922724,Vivid auburn,Auburn hair#Vivid Auburn,
9F1D35,Vivid burgundy,Burgundy (color)#Vivid burgundy,
DA1D81,Vivid cerise,Cerise (color)#Vivid cerise,
FFA089,Vivid tangerine,List of Crayola crayon colors,
9F00FF,Vivid violet,Violet (color)#Vivid violet,
004242,Warm black,Rich black,
00FFFF,Waterspout,Waterspout,
645452,Wenge,Wenge (colour),
F5DEB3,Wheat,Wheat (color),
FFFFFF,White,White,White
F5F5F5,White smoke,Smoke,
A2ADD0,Wild blue yonder,Azure (color)#Wild blue yonder,
FF43A4,Wild Strawberry,List of Crayola crayon colors#Standard Colors,
FC6C85,Wild Watermelon,List of Crayola crayon colors#Standard Colors,
722F37,Wine,Wine (color),
C9A0DC,Wisteria,Wisteria (color),
738678,Xanadu,,
0F4D92,Yale Blue,Yale Blue,
FFFF00,Yellow,Yellow,Yellow
EFCC00,Yellow (Munsell),Variations of yellow#Yellow (Munsell),
FFD300,Yellow (NCS),Variations of yellow#Yellow (NCS) (psychological primary yellow),
FFEF00,Yellow (process),Yellow#Electric yellow vs. process yellow,
FEFE33,Yellow (RYB),RYB color model,
9ACD32,Yellow-green,Chartreuse (color)#Yellow-green,
FFAE42,Yellow Orange,List of Crayola crayon colors,
0014A8,Zaffre,Zaffre,
2C1608,Zinnwaldite brown,Zinnwaldite,
