Shade,Color,R,G,B,RGB
White,Misty Rose,255,228,225,ffe4e1
White,White,255,255,255,ffffff
Grey,Black,0,0,0,000000
Grey,Dark Slate Gray,49,79,79,2f4f4f
Grey,Dim Gray,105,105,105,696969
Grey,Slate Gray,112,138,144,708090
Grey,Light Slate Gray,119,136,153,778899
Grey,Gray,190,190,190,bebebe
Grey,Light Gray,211,211,211,d3d3d3
Blue,Midnight Blue,25,25,112,191970
Blue,Navy,0,0,128,000080
Blue,Cornflower Blue,100,149,237,6495ed
Blue,Dark Slate Blue,72,61,139,483d8b
Blue,Slate Blue,106,90,205,6a5acd
Blue,Medium Slate Blue,123,104,238,7b68ee
Blue,Light Slate Blue,132,112,255,8470ff
Blue,Medium Blue,0,0,205,0000cd
Blue,Royal Blue,65,105,225,4169e1
Blue,Blue,0,0,255,0000ff
Blue,Dodger Blue,30,144,255,1e90ff
Blue,Deep Sky Blue,0,191,255,00bfff
Blue,Sky Blue,135,206,250,87ceeb
Blue,Light Sky Blue,135,206,250,87cefa
Blue,Steel Blue,70,130,180,4682b4
Blue,Light Steel Blue,176,196,222,b0c4de
Blue,Light Blue,173,216,230,add8e6
Blue,Powder Blue,176,224,230,b0e0e6
Blue,Pale Turquoise,175,238,238,afeeee
Blue,Dark Turquoise,0,206,209,00ced1
Blue,Medium Turquoise,72,209,204,48d1cc
Blue,Turquoise,64,224,208,40e0d0
Blue,Cyan,0,255,255,00ffff
Blue,Light Cyan,224,255,255,e0ffff
Blue,Cadet Blue,95,158,160,5f9ea0
Green,Medium Aquamarine,102,205,170,66cdaa
Green,Aquamarine,127,255,212,7fffd4
Green,Dark Green,0,100,0,006400
Green,Dark Olive Green,85,107,47,556b2f
Green,Dark Sea Green,143,188,143,8fbc8f
Green,Sea Green,46,139,87,2e8b57
Green,Medium Sea Green,60,179,113,3cb371
Green,Light Sea Green,32,178,170,20b2aa
Green,Pale Green,152,251,152,98fb98
Green,Spring Green,0,255,127,00ff7f
Green,Lawn Green,124,252,0,7cfc00
Green,Chartreuse,127,255,0,7fff00
Green,Medium Spring Green,0,250,154,00fa9a
Green,Green Yellow,173,255,47,adff2f
Green,Lime Green,50,205,50,32cd32
Green,Yellow Green,154,205,50,9acd32
Green,Forest Green,34,139,34,228b22
Green,Olive Drab,107,142,35,6b8e23
Green,Dark Khaki,189,183,107,bdb76b
Green,Khaki,240,230,140,f0e68c
Yellow,Pale Goldenrod,238,232,170,eee8aa
Yellow,Light Goldenrod Yellow,250,250,210,fafad2
Yellow,Light Yellow,255,255,224,ffffe0
Yellow,Yellow,255,255,0,ffff00
Yellow,Gold,255,215,0,ffd700
Yellow,Light Goldenrod,238,221,130,eedd82
Yellow,Goldenrod,218,165,32,daa520
Yellow,Dark Goldenrod,184,134,11,b8860b
Brown,Rosy Brown,188,143,143,bc8f8f
Brown,Indian Red,205,92,92,cd5c5c
Brown,Saddle Brown,139,69,19,8b4513
Brown,Sienna,160,82,45,a0522d
Brown,Peru,205,133,63,cd853f
Brown,Burlywood,222,184,135,deb887
Brown,Beige,245,245,220,f5f5dc
Brown,Wheat,245,222,179,f5deb3
Brown,Sandy Brown,244,164,96,f4a460
Brown,Tan,210,180,140,d2b48c
Brown,Chocolate,210,105,30,d2691e
Brown,Firebrick,178,34,34,b22222
Brown,Brown,165,42,42,a52a2a
Orange,Dark Salmon,233,150,122,e9967a
Orange,Salmon,250,128,114,fa8072
Orange,Light Salmon,255,160,122,ffa07a
Orange,Orange,255,165,0,ffa500
Orange,Dark Orange,255,140,0,ff8c00
Orange,Coral,255,127,80,ff7f50
Orange,Light Coral,240,128,128,f08080
Orange,Tomato,255,99,71,ff6347
Orange,Orange Red,255,69,0,ff4500
Orange,Red,255,0,0,ff0000
Pink/Violet,Hot Pink,255,105,180,ff69b4
Pink/Violet,Deep Pink,255,20,147,ff1493
Pink/Violet,Pink,255,192,203,ffc0cb
Pink/Violet,Light Pink,255,182,193,ffb6c1
Pink/Violet,Pale Violet Red,219,112,147,db7093
Pink/Violet,Maroon,176,48,96,b03060
Pink/Violet,Medium Violet Red,199,21,133,c71585
Pink/Violet,Violet Red,208,32,144,d02090
Pink/Violet,Violet,238,130,238,ee82ee
Pink/Violet,Plum,221,160,221,dda0dd
Pink/Violet,Orchid,218,112,214,da70d6
Pink/Violet,Medium Orchid,186,85,211,ba55d3
Pink/Violet,Dark Orchid,153,50,204,9932cc
Pink/Violet,Dark Violet,148,0,211,9400d3
Pink/Violet,Blue Violet,138,43,226,8a2be2
Pink/Violet,Purple,160,32,240,a020f0
Pink/Violet,Medium Purple,147,112,219,9370db
Pink/Violet,Thistle,216,191,216,d8bfd8
