ID,Color,RGB,R,G,B,Access
1518,indianred 4,8B3A3A,139,58,58,3816075
1519,indianred 3,CD5555,205,85,85,5592525
1521,brown 1,FF4040,255,64,64,4210943
1522,brown 2,EE3B3B,238,59,59,3881966
1523,brown 3,CD3333,205,51,51,3355597
1524,brown 4,8B2323,139,35,35,2302859
1526,firebrick 1,FF3030,255,48,48,3158271
1527,firebrick 2,EE2C2C,238,44,44,2895086
1528,firebrick 3,CD2626,205,38,38,2500301
1529,firebrick 4,8B1A1A,139,26,26,1710731
1530,red 1 (red*),FF0000,255,0,0,255
1531,red 2,EE0000,238,0,0,238
1532,red 3,CD0000,205,0,0,205
1533,red 4 (darkred),8B0000,139,0,0,139
1534,maroon*,800000,128,0,0,128
1535,sgi beet,8E388E,142,56,142,9320590
1536,sgi slateblue,7171C6,113,113,198,13005169
1537,sgi lightblue,7D9EC0,125,158,192,12623485
1538,sgi teal,388E8E,56,142,142,9342520
1539,sgi chartreuse,71C671,113,198,113,7456369
1540,sgi olivedrab,8E8E38,142,142,56,3706510
1541,sgi brightgray,C5C1AA,197,193,170,11190725
1542,sgi salmon,C67171,198,113,113,7434694
1543,sgi darkgray,555555,85,85,85,5592405
1544,sgi gray 12,1E1E1E,30,30,30,1973790
1545,sgi gray 16,282828,40,40,40,2631720
1546,sgi gray 32,515151,81,81,81,5329233
1547,sgi gray 36,5B5B5B,91,91,91,5987163
1548,sgi gray 52,848484,132,132,132,8684676
1549,sgi gray 56,8E8E8E,142,142,142,9342606
1550,sgi lightgray,AAAAAA,170,170,170,11184810
1551,sgi gray 72,B7B7B7,183,183,183,12040119
1552,sgi gray 76,C1C1C1,193,193,193,12698049
1553,sgi gray 92,EAEAEA,234,234,234,15395562
1554,sgi gray 96,F4F4F4,244,244,244,16053492
1555,white*,FFFFFF,255,255,255,16777215
1556,white smoke (gray 96),F5F5F5,245,245,245,16119285
1558,lightgrey,D3D3D3,211,211,211,13882323
1559,silver*,C0C0C0,192,192,192,12632256
1560,darkgray,A9A9A9,169,169,169,11119017
1561,gray*,808080,128,128,128,8421504
1562,dimgray (gray 42),696969,105,105,105,6908265
1563,black*,000000,0,0,0,0
1564,gray 99,FCFCFC,252,252,252,16579836
1565,gray 98,FAFAFA,250,250,250,16448250
1566,gray 97,F7F7F7,247,247,247,16250871
1567,white smoke (gray 96),F5F5F5,245,245,245,16119285
1568,gray 95,F2F2F2,242,242,242,15921906
1569,gray 94,F0F0F0,240,240,240,15790320
1570,gray 93,EDEDED,237,237,237,15592941
1571,gray 92,EBEBEB,235,235,235,15461355
1572,gray 91,E8E8E8,232,232,232,15263976
1573,gray 90,E5E5E5,229,229,229,15066597
1574,gray 89,E3E3E3,227,227,227,14935011
1575,gray 88,E0E0E0,224,224,224,14737632
1576,gray 87,DEDEDE,222,222,222,14606046
