# 🚨
# 🚨 Source: https://www.ugent.be/pp/experimentele-psychologie/en/research/documents/subtlexus/subtlexus5.zip::SUBTLEXusrawdata.dat
# 🚨
Word	FREQcount	CDcount
-Eleven	31	31
-Elevens	5	5
-Elmer	1	1
-Emil	1	1
-Emily	1	1
-energy	1	1
-Enlighten	1	1
-Enough	1	1
-Enrique	1	1
-Eric	4	1
-Err	1	1
-esque	1	1
-est	8	1
-EST	5	1
-ESTCOWBOY	1	1
-ETA	1	1
-Eureka	1	1
-Europe	1	1
-ever	1	1
-Every	1	1
-Everybody	3	3
-Everything	2	2
-Exactly	1	1
-Excuse	5	4
-eyes	1	1
-Ez-	8	8
-F-A-N-	1	1
-f	1	1
-F	27	17
-fabulous	1	1
-Fabulous	1	1
-Faced	1	1
-fall	2	2
-fan-tile	1	1
-Fantastic	2	2
-fat-milk	1	1
-Father	2	2
-faux	1	1
-Fax	1	1
-Fe	1	1
-feet	7	4
-figure	3	3
-final	1	1
-Find	1	1
-Fine	4	3
-Finished	1	1
-Firs	1	1
-five	6	2
-Five	4	4
-fixed	1	1
-flavor	1	1
-floor	1	1
-flyin	1	1
-fold	1	1
-Follow	1	1
-Food	1	1
-foot-	18	14
-foot-face	1	1
-foot-fall	1	1
-foot-fucking-ta	2	2
-foot-high	2	2
-foot-Iong	1	1
-foot-ish	1	1
-foot-long	5	4
-foot-plus	1	1
-foot-tall	3	3
-foot-thick	1	1
-foot	174	141
-Foot	5	2
-football	1	1
-footer	30	25
-footers	3	3
-footjump	1	1
-for-	10	9
-for-cute	1	1
-for	2	2
-For	3	3
-forces	1	1
-Forget	1	1
-form	1	1
-Found	1	1
-four	1	1
-Four	3	3
-Fourth	1	1
-Fox-Able-Charli	3	1
-Foxtrot	2	1
-franc	1	1
-francs	1	1
-Frank-David-Hen	1	1
-Frank	1	1
-free	1	1
-Free	1	1
-fried	1	1
-friendly	1	1
-friends	1	1
-frigid	1	1
-from	4	4
-From	1	1
-Frost	1	1
-fry	1	1
-Fs	2	2
-Fuck	5	4
-fuckin	1	1
-fucking-	2	1
-fucking-C	1	1
-fucking-million	2	2
-g-	1	1
-G	10	9
-ga	1	1
-galIon	1	1
-gallon	15	14
-game-winner	1	1
-game	3	3
