ID,Name,Meaning
1611,Maher-shalal-hash-baz,making speed to the spoil; he hastens to the prey
1612,Mahlah,"Mahli, Mahlon, same as Mahali"
1613,Makas,same as Mahaz
1614,Makheloth,assemblies; congregations
1615,Makkedah,worshiping; burning; raised; crookedness
1616,Malachi,my messenger; my angel
1617,Malcham,"Malchom, their king; their counselor"
1618,Malchiah,"Malchijah, the Lord my king, or my counselor"
1619,Malchiel,"God is my king, or counselor"
1620,Malchus,"my king, kingdom, or counselor"
1621,Maleleel,same as Mahaleleel
1622,Mallothi,fullness; circumcision
1623,Malluch,reigning; counseling
1624,Mammon,riches
1625,Mamre,rebellious; bitter; set with trees
1626,Manaen,a comforter; a leader
1627,Manahethites,my lady; my prince of rest
1628,Manasseh,forgetfulness; he that is forgotten
1629,Manoah,rest; a present
1630,Maon,house; place of sin
1631,Mara,"Marah, bitter; bitterness"
1632,Maralah,sleep; a sacrifice of myrrh; ascension
1633,Maranatha,the Lord is coming
1634,Marcus,polite; shining
1635,Mareshah,from the beginning; an inheritance
1636,Mark,same as Marcus
1637,Maroth,bitterness
1638,Marsena,bitterness of a bramble
1639,Martha,who becomes bitter; provoking
1640,Mary,same as Miriam
1641,Mash,same as Meshech
1642,Mashal,a parable; governing
1643,Masrekah,whistling; hissing
1644,Massa,a burden; prophecy
1645,Massah,temptation
1646,Matred,wand of government
1647,Matri,rain; prison
1648,Mattan,"Mattana, Mattenai, gifts; rains"
1649,Mattaniah,"gift, or hope, of the Lord"
1650,Mattatha,his gift
1651,Mattathias,the gift of the Lord
1652,Matthan,same as Mattan
1653,Matthanias,same as Mattaniah
1654,Matthal,gift; he that gives
1655,Matthew,given; a reward
1656,Matthias,"Mattithiah, same as Mattathias"
1657,Mazzaroth,the twelve signs of the zodiac
1658,Meah,a hundred cubits
1659,Mearah,den; cave; making empty
1660,Mebunnai,son; building; understanding
1661,Mecherath,selling; knowledge
1662,Medad,he that measures; water of love
1663,Medan,judgment; process
1664,Medeba,waters of grief; waters springing up
1665,Media,measure; habit; covering
1666,Megiddo,his precious fruit; declaring a message
1667,Megiddon,same as Megiddo
1668,Mehetabel,how good is God
1669,Mehida,a riddle; sharpness of wit
1670,Mehir,a reward
1671,Mehujael,who proclaims God
1672,Mehuman,making an uproar; a multitude
1673,Mejarkon,the waters of Jordan
1674,Mekonah,a foot of a pillar; provision
1675,Melatiah,deliverance of the Lord
1676,Melchi,my king; my counsel
1677,Melchiah,God is my king
1678,Melchi-shua,king of health; magnificent king
1679,Melchizedek,king of justice
1680,Melea,supplying; supplied
1681,Melech,king; counselor
1682,Melita,affording honey
1683,Mellicu,his kingdom; his counselor
1684,Melzar,"circumcision of a narrow place, or of a bond"
1685,Memphis,abode of the good
1686,Memucan,impoverished; to prepare; certain; true
1687,Menahem,comforter; who conducts them; preparation of heat
1688,Menan,numbered; rewarded; prepared
1689,Mene,who reckons or is counted
1690,Meonenim,"charmers, regarders of times"
1691,Mephaath,"appearance, or force, of waters"
1692,Mephibosheth,out of my mouth proceeds reproach
1693,Merab,he that fights or disputes
1694,Meraioth,bitterness; rebellious; changing
1695,Merari,bitter; to provoke
1696,Mercurius,an orator; an interpreter
1697,Mered,"rebellious, ruling"
1698,Meremoth,bitterness; myrrh of death
1699,Meres,defluxion; imposthume
1700,Meribah,dispute; quarrel
1701,Meribbaal,he that resists Baal; rebellion
1702,Merodach,bitter contrition
1703,Merodach-baladan,"bitter contrition, without judgment"
1704,Merom,eminences; elevations
1705,Meronothite,my singing; rejoicing; bearing rule
1706,Meroz,"secret, leanness"
1707,Mesha,burden; salvation
1708,Meshach,that draws with force
1709,Meshech,who is drawn by force
1710,Meshelemiah,"peace, or perfection, of the Lord"
1711,Meshezaheel,God taking away; the salvation of God
1712,Meshillamith,peaceable; perfect; giving again
1713,Meshullam,peaceable; perfect; their parables
1714,Mesobaite,the Lord's standing-place; a little doe
1715,Mesopotamia,between two rivers
1716,Messiah,anointed
1717,Metheg-ammah,bridle of bondage
1718,Methusael,who demands his death
1719,Methusaleh,he has sent his death
1720,Meunim,dwelling-places; afflicted
1721,Mezahab,gilded
1722,Miamin,the right hand
1723,Mibhar,chosen; youth
1724,Mibsam,smelling sweet
1725,Mibzar,defending; forbidding; taking away
1726,Micah,poor; humble
1727,Micaiah,who is like to God?
1728,Micha,same as Micaiah
1729,Michaiah,"Michael, same as Micah"
1730,Michal,who is perfect?
1731,Michmach,he that strikes
1732,Michmethah,the gift or death of a striker
1733,Michri,selling
1734,Michtam,golden psalm
1735,Middin,judgment; striving
1736,Midian,judgment; covering; habit
1737,Migdalel,tower of God
1738,Migdalgad,tower compassed about
1739,Migdol,a tower
1740,Migron,fear; farm; throat
1741,Mijamin,right hand
1742,Mikloth,little wants; little voices; looking downward
1743,Minneiah,possession of the Lord
1744,Milalai,circumcision; my talk
1745,Milcah,queen
1746,Milcom,their king
1747,Miletum,red; scarlet
1748,Millo,fullness
1749,Miniamin,right hand
1750,Minni,reckoned; prepared
1751,Minnith,same as Minni
1752,Miriam,rebellion
1753,Mishael,who is asked for or lent
1754,Mishal,parables; governing
1755,Misham,their savior; taking away
1756,Misheal,requiring; lent; pit
1757,Mishma,hearing; obeying
1758,Mishmannah,fatness; taking away provision
1759,Mishraites,spread abroad
1760,Mispar,"Mispereth, numbering; showing; increase of tribute"
1761,Misrephoth-maim,hot waters
1762,Mithcah,sweetness; pleasantness
1763,Mithnite,loin; gift; hope
1764,Mithredath,breaking the law
1765,Mitylene,purity; cleansing; press
1766,Mizar,little
1767,Mizpah,"Mizpeh, a watch-tower; speculation"
1768,Mizraim,tribulations
1769,Mizzah,defluxion from the head
1770,Mnason,a diligent seeker; an exhorter
1771,Moab,of his father
1772,Moladah,birth; generation
1773,Molech,"Moloch, king"
1774,Molid,nativity; generation
1775,Mordecai,contrition; bitter; bruising
1776,Moreh,stretching
1777,Moriah,bitterness of the Lord
1778,Moserah,"Moseroth, erudition; discipline"
1779,Moses,taken out; drawn forth
1780,Mozah,unleavened
1781,Muppim,out of the mouth; covering
1782,Mushi,"he that touches, that withdraws or takes away"
1783,Myra,I flow; pour out; weep
1784,Mysia,criminal; abominable
1785,Naam,fair; pleasant
1786,Naamah,"Naaman, beautiful; agreeable"
1787,Naarah,"Naarai, young person"
1788,Naashon,that foretells; that conjectures
1789,Nabal,fool; senseless
1790,Naboth,words; prophecies
1791,Nachon,ready; sure
1792,Nachor,same as Nahor
1793,Nadab,free and voluntary gift; prince
1794,Nagge,clearness; brightness; light
1795,Nahaliel,inheritance; valley of God
1796,Nahallal,praised; bright
1797,Naham,"Nahamani, comforter; leader"
1798,Naharai,my nostrils; hot; anger
1799,Nahash,snake; serpent
1800,Nahath,rest; a leader
1801,Nahbi,very secret
1802,Nahor,hoarse; dry; hot
1803,Nahshon,same as Naashon
1804,Nahum,comforter; penitent
1805,Nain,beauty; pleasantness
1806,Naioth,beauties; habitations
1807,Naomi,beautiful; agreeable
1808,Naphish,"the soul; he that rests, refreshes himself, or respires"
1809,Naphtali,that struggles or fights
1810,Narcissus,astonishment; stupidity
1811,Nason,helper; entry-way
1812,Nathan,given; giving; rewarded
1813,Nathanael,the gift of God
1814,Nathan-melech,"the gift of the king, or of counsel"
1815,Naum,same as Nahum
1816,Nazareth,separated; crowned; sanctified
1817,Nazarite,one chosen or set apart
1818,Neah,moved; moving
1819,Neapolis,the new city
1820,Neariah,child of the Lord
1821,Nebai,budding; speaking; prophesying
1822,Nebaioth,words; prophecies; buds
1823,Neballat,prophecy; budding
1824,Nebat,that beholds
1825,Nebo,that speaks or prophesies
1826,Nebuchadnezzar,"Nebuchadrezzar, tears and groans of judgment"
1827,Nebushasi_hahban,speech; prophecy; springing; flowing
1828,Nebuzar-adan,fruits or prophecies of judgment
1829,Necho,lame; beaten
1830,Nedabiah,prince or vow of the Lord
1831,Neginoth,stringed instruments
1832,Nehelamite,dreamer; vale; brook
1833,Nehemiah,consolation; repentance of the Lord
1834,Nehum,comforter; penitent
1835,Nehushta,made of brass
1836,Nehushtan,a trifling thing of brass
1837,Neiel,"commotion, or moving, of God"
1838,Nekoda,painted; inconstant
1839,Nemuel,the sleeping of God
1840,Nepheg,weak; slacked
1841,Nephish,same as Naphish
1842,Nephishesim,diminished; torn in pieces
1843,Nephthalim,same as Naphtali
1844,Nephthoah,opening; open
1845,Nephusim,same as Nephishesim
1846,Ner,a lamp; new-tilled land
1847,Nereus,same as Ner
1848,Nergal,the great man; the hero
1849,Nergal-sharezer,treasurer of Nergal
1850,Neri,my light
1851,Neriah,light; lamp of the Lord
1852,Nethaneel,same as Nathanael
1853,Nethaniah,the gift of the Lord
1854,Nethinims,given or offered
1855,Neziah,conqueror; strong
1856,Nezib,standing-place
1857,Nibhaz,budding; prophesying
1858,Nibshan,prophecy; growing of a tooth
1859,Nicanor,a conqueror; victorious
1860,Nicodemus,victory of the people
1861,Nicolas,same as Nicodemus
1862,Nicolaitanes,followers of Nicolas
1863,Nicopolis,the city of victory
1864,Niger,black
1865,Nimrah,"Nimrim, leopard; bitterness; rebellion"
1866,Nimrod,rebellion (but probably an unknown Assyrian word)
1867,Nimshi,rescued from danger
1868,Nineveh,handsome; agreeable
1869,Nisan,standard; miracle
1870,Nisroch,flight; proof; temptation; delicate
1871,No,stirring up; forbidding
1872,Noadiah,"witness, or ornament, of the Lord"
1873,Noah,repose; consolation
1874,Noah,that quavers or totters (Zelophehad's daughter)
1875,Nob,discourse; prophecy
1876,Nobah,that barks or yelps
1877,Nod,vagabond; fugitive
1878,Nodab,vowing of his own accord
1879,Noe,same as Noah
1880,Nogah,brightness; clearness
1881,Noha,rest; a guide
1882,Non,posterity; a fish; eternal
1883,Noph,honeycomb; anything that distills or drops
1884,Nophah,fearful; binding
1885,Nun,same as Non
1886,Nymphas,spouse; bridegroom
1887,Obadiah,servant of the Lord
1888,Obal,inconvenience of old age
1889,Obed,a servant; workman
1890,Obed-edom,servant of Edom
1891,Obil,that weeps; who deserves to be bewailed
1892,Oboth,dragons; fathers; desires
1893,Ocran,a disturber; that disorders
1894,Oded,"to sustain, hold or lift up"
1895,Og,a cake; bread baked in ashes
1896,Ohad,praising; confessing
1897,Ohel,tent; tabernacle; brightness
1898,Olympas,heavenly
1899,Omar,he that speaks; bitter
1900,Omega,the last letter of the Greek alphabet; long O
1901,Omri,sheaf of corn
1902,On,pain; force; iniquity
1903,Onam,"Onan, same as On"
1904,Onesimus,profitable; useful
1905,Onesiphorus,who brings profit
1906,Ono,grief or strength or iniquity of him
1907,Ophel,a tower; darkness; small white cloud
1908,Ophir,fruitful region
1909,Ophni,wearisomeness; folding together
1910,Ophrah,dust; lead; a fawn
1911,Oreb,a raven
1912,Ornan,that rejoices
1913,Orpah,the neck or skull
1914,Oshea,same as Joshua
1915,Othni,my time; my hour
1916,Othniel,the hour of God
1917,Ozem,that fasts; their eagerness
1918,Ozias,strength from the Lord
1919,Ozni,an ear; my hearkening
1920,Paarai,opening
1921,Padan-aram,cultivated field or table-land
1922,Padon,his redemption; ox-yoke
1923,Pagiel,"prevention, or prayer, of God"
1924,Pahath-Moab,ruler of Moab
1925,Pai,"Pau, howling; sighing"
1926,Palal,thinking
1927,Palestina,which is covered; watered; or brings and causes ruin
1928,Pallu,marvelous; hidden
1929,Palti,deliverance; flight
1930,Paltiel,"deliverance; or banishment, of God"
1931,Pamphylia,a nation made up of every tribe
1932,Paphos,"which boils, or is very hot"
1933,Parah,a cow; increasing
1934,Paran,beauty; glory; ornament
1935,Parbar,a suburb
1936,Parmashta,a yearling bull
1937,Parmenas,"that abides, or is permanent"
1938,Parnach,"a bull striking, or struck"
1939,Parosh,a flea; the fruit of a moth
1940,Parshandatha,given by prayer
1941,Paruah,flourishing; that flies away
1942,Pasach,thy broken piece
1943,Pasdammin,portion or diminishing of blood
1944,Paseah,passing over; halting
1945,Pashur,that extends or multiplies the hole; whiteness
1946,Patara,trodden under foot
1947,Pathros,"Pathrusim, mouthful of dough; persuasion of ruin"
1948,Patmos,mortal
1949,Patrobas,paternal; that pursues the steps of his father
1950,Pau,same as Pai
1951,Paul,small; little
1952,Paulus,same as Paul
1953,Pedahzur,strong or powerful savior; stone of redemption
1954,Pedaiah,redemption of the Lord
1955,Pekah,he that opens; that is at liberty
1956,Pekahiah,it is the Lord that opens
1957,Pekod,noble; rulers
1958,Pelaiah,the Lord's secret or miracle
1959,Pelaliah,entreating the Lord
1960,Pelatiah,let the Lord deliver; deliverance of the Lord
1961,Peleg,division
1962,Pelethites,judges; destroyers
1963,Pelonite,falling; secret
1964,Peniel,face or vision of God; that sees God
1965,Peninnah,pearl; precious stone; the face
1966,Pentapolis,five cities
1967,Pentateuch,the five books of Moses
1968,Pentecost,fiftieth
1969,Penuel,same as Peniel
1970,Peor,hole; opening
1971,Perazim,divisions
1972,Peresh,horseman
1973,Perez,divided
1974,Perez-Uzza,"division of Uzza, or of strength"
1975,Perga,very earthy
1976,Pergamos,height; elevation
1977,Perida,separation; division
1978,Perizzites,dwelling in villages
1979,Persia,that cuts or divides; a nail; a gryphon; a horseman
1980,Persis,same as Persia
1981,Peruda,same as Perida
1982,Peter,a rock or stone
1983,Pethahiah,the Lord opening; gate of the Lord
1984,Pethuel,mouth of God; persuasion of God
1985,Peulthai,my works
1986,Phalec,same as Peleg
1987,Phallu,"Pallu, admirable; hidden"
1988,Phalti Palti,"deliverance, flight"
1989,Phanuel,face or vision of God
1990,Pharaoh,that disperses; that spoils
1991,Pharez,division; rupture
1992,Pharisees,set apart
1993,Pharpar,that produces fruit
1994,Phebe,shining; pure
1995,Phenice,"Phoenicia, red; purple"
1996,Phichol,"the mouth of all, or every tongue"
1997,Philadelphia,love of a brother
1998,Philemon,who kisses
1999,Philetus,amiable; beloved
2000,Philip,warlike; a lover of horses
2001,Philippi,"same as Philip, in the plural"
2002,Philistines,those who dwell in villages
2003,Philologus,"a lover of letters, or of the word"
2004,Phinehas,bold aspect; face of trust or protection
2005,Phlegon,zealous; burning
2006,Phrygia,dry; barren
2007,Phurah,"that bears fruit, or grows"
2008,Phygellus,fugitive
2009,Phylacteries,things to be especially observed
2010,Pi-beseth,abode of the goddess Bahest or Bast
2011,Pi-hahiroth,the mouth; the pass of Hiroth
2012,Pilate,armed with a dart
2013,Pinon,pearl; gem; that beholds
2014,Piram,a wild ass of them
2015,Pirathon,his dissipation or deprivation; his rupture
2016,Pisgah,hill; eminence; fortress
2017,Pisidia,pitch; pitchy
2018,Pison,changing; extension of the mouth
2019,Pithom,their mouthful; a dilatation of the mouth
2020,Pithon,mouthful; persuasion
2021,Pochereth,cutting of the mouth of warfare
2022,Pontius,marine; belonging to the sea
2023,Pontus,the sea
2024,Poratha,fruitful
2025,Potiphar,bull of Africa; a fat bull
2026,Potipherah,"that scatters abroad, or demolishes, the fat"
2027,Prisca,ancient
2028,Priscilla,same as Prisca
2029,Prochorus,he that presides over the choirs
2030,Puah,mouth; corner; bush of hair
2031,Publius,common
2032,Pudens,shamefaced
2033,Pul,bean; destruction
2034,Punites,beholding; my face
2035,Punon,precious stone; that beholds
2036,Pur,"Purim, lot"
2037,Putiel,God is my fatness
2038,Puteoli,sulphureous wells
2039,Quartus,fourth
2040,Raamah,greatness; thunder; some sort of evil
2041,Raamiah,"thunder, or evil, from the Lord"
2042,Rabbah,great; powerful; contentious
2043,Rabbi,"Rabboni, my master"
2044,Rabmag,who overthrows or destroys a multitude
2045,Rab-saris,chief of the eunuchs
2046,Rab-shakeh,cup-bearer of the prince
2047,Raca,worthless; good-for-nothing
2048,Rachab,same as Rahab
2049,Rachal,to whisper; an embalmer
2050,Rachel,sheep
2051,Raddai,ruling; coming down
2052,Ragau,friend; shepherd
2053,Raguel,"shepherd, or friend of God"
2054,Rahab,proud; quarrelsome (applied to Egypt)
2055,Rahab,large; extended (name of a woman)
2056,Raham,compassion; a friend
2057,Rakkath,empty; temple of the head
2058,Rakkon,vain; void; mountain of enjoyment
2059,Ram,elevated; sublime
2060,Ramah,same as Ram
2061,Ramath,"Ramatha, raised; lofty"
2062,Ramathaim-zophim,the two watch-towers
2063,Ramath-lehi,elevation of the jaw-bone
2064,Ramath-mizpeh,elevation of the watch-tower
2065,Ramiah,exaltation of the Lord
2066,Ramoth,eminences; high places
2067,Raphah,"Raphu, relaxation; physic; comfort"
2068,Reaiah,vision of the Lord
2069,Reba,the fourth; a square; that lies or stoops down
2070,Rebekah,fat; fattened; a quarrel appeased
2071,Rechab,square; chariot with team of four horses
2072,Reelaiah,shepherd or companion to the Lord
2073,Regem,that stones or is stoned; purple
2074,Regemmelech,he that stones the king; purple of the king
2075,Rehabiah,"breadth, or extent, of the Lord"
2076,Rehob,breadth; space; extent
2077,Rehoboam,who sets the people at liberty
2078,Rehoboth,spaces; places
2079,Rehum,merciful; compassionate
2080,Rei,my shepherd; my companion; my friend
2081,Rekem,vain pictures; divers picture
2082,Remaliah,the exaltation of the Lord
2083,Remmon,greatness; elevation; a pomegranate-tree
2084,Remphan,prepared; arrayed
2085,Rephael,the physic or medicine of God
2086,Rephaiah,medicine or refreshment of the Lord
2087,Rehpaim,giants; physicians; relaxed
2088,Rephidim,beds; places of rest
2089,Resen,a bridle or bit
2090,Reu,his friend; his shepherd
2091,Reuben,who sees the son; the vision of the son
2092,Reuel,the shepherd or friend of God
2093,Reumah,lofty; sublime
2094,Rezeph,pavement; burning coal
2095,Rezin,good-will; messenger
2096,Rezon,lean; small; secret; prince
2097,Rhegium,rupture; fracture
2098,Rhesa,will; course
2099,Rhoda,a rose
2100,Rhodes,same as Rhoda
2101,Ribai,strife
2102,Riblah,quarrel; greatness to him
2103,Rimmon,exalted; pomegranate
2104,Rinnah,song; rejoicing
2105,Riphath,remedy; medicine; release; pardon
2106,Rissah,watering; distillation; dew
2107,Rithmah,juniper; noise
2108,Rizpah,bed; extension; a coal
2109,Rogelim,a foot or footman
2110,Rohgah,filled or drunk with talk
2111,Romamti-ezer,exaltation of help
2112,Roman,strong; powerful
2113,Rome,strength; power
2114,Rosh,"the head; top, or beginning"
2115,Rufus,red
2116,Ruhamah,having obtained mercy
2117,Rumah,exalted; sublime; rejected
2118,Ruth,drunk; satisfied
2119,Sabaoth,Lord of hosts
2120,Sabeans,captivity; conversion; old age
2121,Sabtah,a going about or circuiting; old age
2122,Sabtechah,that surrounds; that causes wounding
2123,Sacar,wares; a price
2124,Sadducees,"followers of Sadoc, or Zadok"
2125,Sadoc,"or Zadok, just; righteous"
2126,Salah,mission; sending
2127,Salamis,shaken; test; beaten
2128,Salathiel,asked or lent of God
2129,Salcah,thy basket; thy lifting up
2130,Salem,complete or perfect peace
2131,Salim,foxes; fists; path
2132,Sallai,"Sallu, an exaltation; a basket"
2133,Salma,peace; perfection
2134,Salmon,peaceable; perfect; he that rewards
2135,Salome,same as Salmon
2136,Samaria,watch-mountain
2137,Samlah,his raiment; his left hand; his astonishment
2138,Samos,full of gravel
2139,Samothracia,an island possessed by the Samians and Thracians
2140,Samson,his sun; his service; there the second time
2141,Samuel,heard of God; asked of God
2142,Sanballat,bramble-bush; enemy in secret
2143,Sanhedrin,sitting together
2144,Sansannah,bough or bramble of the enemy
2145,Saph,rushes; sea-moss
2146,Saphir,delightful
2147,Sapphira,that relates or tells
2148,Sarah,lady; princess; princess of the multitude
2149,Sarai,my lady; my princess
2150,Sardis,prince of joy
2151,Sardites,removing a dissension
2152,Sarepta,a goldsmith's shop
2153,Sargon,who takes away protection
2154,Sarid,remaining; hand of a prince
2155,Saron,same as Sharon
2156,Sarsechim,master of the wardrobe
2157,Saruch,branch; layer; lining
2158,Satan,contrary; adversary; enemy; accuser
2159,Saul,demanded; lent; ditch; death
2160,Sceva,disposed; prepared
2161,Seba,a drunkard; that turns
2162,Sebat,twig; scepter; tribe
2163,Secacah,shadow; covering; defense
2164,Sechu,defense; bough
2165,Secundus,second
2166,Segub,fortified; raised
2167,Seir,"Seirath, hairy; goat; demon; tempest"
2168,Sela,a rock
2169,Sela-hammah-lekoth,rock of divisions
2170,Selah,the end; a pause
2171,Seled,affliction; warning
2172,Seleucia,shaken or beaten by the waves
2173,Sem,same as Shem
2174,Semachiah,joined to the Lord
2175,Semaiah,obeying the Lord
2176,Semei,hearing; obeying
2177,Senaah,bramble; enemy
2178,Seneh,same as Senaah
2179,Senir,bed-candle; changing
2180,Sennacherib,bramble of destruction
2181,Seorim,gates; hairs; tempests
2182,Sephar,book; scribe; number
2183,Sepharad,a book descending
2184,Sepharvaim,the two books; the two scribes
2185,Serah,lady of scent; song; the morning star
2186,Seraiah,prince of the Lord
2187,Seraphim,burning; fiery
2188,Sered,dyer's vat
2189,Sergius,net
2190,Serug,branch; layer; twining
2191,Seth,put; who puts; fixed
2192,Sethur,hid; destroying
2193,Shaalabbim,"understanding, or son of a fox"
2194,Shaalbim,that beholds the heart
2195,Shaalbonite,a fox's building
2196,Schaaph,fleeing; thinking
2197,Shaaraim,gates; valuation; hairs
2198,Shaashgaz,he that presses the fleece; that shears the sheep
2199,Shabbethai,my rest
2200,Shachia,protection of the Lord
2201,Shadrach,"tender, nipple"
2202,Shage,touching softly; multiplying much
2203,Shalem,same as Salem
2204,Shalim,same as Salim
2205,Shalisha,three; the third; prince; captain
2206,Shallum,perfect; agreeable
2207,Shalmai,my garment
2208,Shalman,peaceable; perfect; that rewards
2209,Shalmaneser,peace; tied; chained; perfection; retribution
2210,Shamariah,throne or keeping of the Lord
2211,Shamed,destroying; wearing out
2212,Shamer,keeper; thorn; dregs
2213,Shamgar,named a stranger; he is here a stranger
2214,Shamhuth,desolation; destruction
2215,Shamir,"Shamer, prison; bush; lees; thorn"
2216,Shammah,loss; desolation; astonishment
2217,Shammai,my name; my desolations
2218,Shammoth,names; desolations
2219,Shammuah,he that is heard; he that is obeyed
2220,Shamsherai,there a singer or conqueror
2221,Shapham,"Shaphan, rabbit; wild rat; their lip; their brink"
2222,Shaphat,judge
2223,Sharai,my lord; my prince; my song
2224,Sharar,navel; thought; singing
2225,Sharezer,"overseer of the treasury, or of the storehouse"
2226,Sharon,his plain; his song
2227,Shashai,rejoicing; mercy; linen
2228,Shashak,a bag of linen; the sixth bag
2229,Shaul,"Saul, asked; lent; a grave"
2230,Shaveh,the plain; that makes equality
2231,Shealtiel,same as Salathiel
2232,Sheariah,gate of the Lord; tempest of the Lord
2233,Shear-jashub,the remnant shall return
2234,Sheba,captivity; old man; repose; oath
2235,Shebam,compassing about; old men
2236,Shebaniah,"the Lord that converts, or recalls from captivity"
2237,Shebarim,breakings; hopes
2238,Sheber,breaking; hope
2239,Shebna,who rests himself; who is now captive
2240,Shebuel,"turning, or captivity, or seat, of God"
2241,Shecaniah,habitation of the Lord
2242,Shechem,part; portion; back early in the morning
2243,Shedeur,field of light; light of the Almighty
2244,Shehariah,mourning or blackness of the Lord
2245,Shelah,that breaks; that unties; that undresses
2246,Shelemiah,God is my perfection; my happiness; my peace
2247,Sheleph,who draws out
2248,Shelesh,captain; prince
2249,Shelomi,"Shelomith, my peace; my happiness; my recompense"
2250,Shelumiel,same as Shelemiah
2251,Shem,name; renown
2252,Shema,hearing; obeying
2253,Shemaiah,that hears or obeys the Lord
2254,Shemariah,God is my guard
2255,Shemeber,name of force; name of the strong
2256,Shemer,guardian; thorn
2257,Shemida,name of knowledge; that puts knowledge
2258,Sheminith,eighth (an eight-stringed instrument)
2259,Shemiramoth,the height of the heavens
2260,Shemuel,appointed by God
2261,Shen,tooth; ivory; change
2262,Shenazar,treasurer of a tooth
2263,Shenir,lantern; light that sleeps
2264,Shephatiah,the Lord that judges
2265,Shephi,beholder; honeycomb; garment
2266,Shepho,desert
2267,Shephuphan,serpent
2268,Sherah,flesh; relationship
2269,Sherebiah,singing with the Lord
2270,Sheshach,bag of flax or linen
2271,Sheshai,six; mercy; flax
2272,Sheshan,lily; rose; joy; flax
2273,Sheshbazzar,joy in tribulation; joy of the vintage
2274,Shethar,putrefied; searching
2275,Shethar-boznai,that makes to rot; that seeks those who despise me
2276,Sheva,vanity; elevation; fame; tumult
2277,Shibboleth,"Sibboleth, ear of corn; stream or flood"
2278,Shibmah,"overmuch captivity, or sitting"
2279,Shicron,drunkenness; his gift; his wages
2280,Shiggaion,a song of trouble or comfort
2281,Shihon,sound; wall of strength
2282,Shihor-libnah,blackness of Libnah
2283,Shilhi,"Shilhim, bough; weapon; armor"
2284,Shillem,peace; perfection; retribution
2285,Shiloah,same as Siloah
2286,Shiloh,sent
2287,Shiloh (name of a city),peace; abundance
2288,Shilom,tarrying; peace-maker
2289,Shilshah,three; chief; captain
2290,Shimeah,"Shimeath, that hears, or obeys; perdition"
2291,Shimei,"Shimi, that hears or obeys; my reputation; my fame"
2292,Shimeon,same as Simeon
2293,Shimma,same as Shimeah
2294,Shimon,providing well; fatness; oil
2295,Shimrath,hearing; obedient
2296,Shimshai,my son
2297,Shimri,thorn; dregs
2298,Shimrith,"Shimron, same as Shimri"
2299,Shinab,father of changing
2300,Shinar,watch of him that sleeps
2301,Shiphi,multitude
2302,Shiphrah,handsome; trumpet; that does good
2303,Shisha,of marble; pleasant
2304,Shishak,present of the bag; of the pot; of the thigh
2305,Shitrai,gatherer of money
2306,Shittim,thorns
2307,Shiza,this gift
2308,Shoa,kings; tyrants
2309,Shobab,returned; turned back; a spark
2310,Shobach,your bonds; your chains
2311,Shobai,turning captivity
2312,Shobal,path; ear of corn
2313,Shobek,made void; forsaken
2314,Shochoh,defense; a bough
2315,Shoham,keeping back
2316,Shomer,keeper; dregs
2317,Shophach,pouring out
2318,Shophan,rabbit; hid
2319,Shoshannim,those that shall be changed
2320,Shua,crying; saving
2321,Shuah,ditch; swimming; humiliation
2322,Shual,fox; path; first
2323,Shubael,returning captivity; seat of God
2324,Shuham,talking; thinking; humiliation; budding
2325,Shulamite,peaceable; perfect; that recompenses
2326,Shunem,their change; their sleep
2327,Shuni,changed; sleeping
2328,Shuphim,"Shuppim, wearing them out; their shore"
2329,Shur,wall; ox; that beholds
2330,Shushan,lily; rose; joy
2331,Shuthelah,plant; verdure; moist; pot
2332,Sia,moving; help
2333,Sibbechai,bough; cottage; of springs
2334,Sibmah,conversion; captivity
2335,Sichem,portion; shoulder
2336,Siddim,the tilled field
2337,Sidon,hunting; fishing; venison
2338,Sigionoth,"according to variable songs or tunes,"
2339,Sihon,rooting out; conclusion
2340,Sihor,black; trouble (the river Nile)
2341,Silas,"three, or the third"
2342,Silla,exalting
2343,Siloa,"Siloam, Siloe, same as Shilhi"
2344,Silvanus,who loves the forest
2345,Simeon,that hears or obeys; that is heard
2346,Simon,that hears; that obeys
2347,Sin,bush
2348,Sinai,a bush; enmity
2349,Sinim,"south country,"
2350,Sion,noise; tumult
2351,Sippai,threshold; silver cup
2352,Sinon,a breast-plate; deliverance
2353,Sisamai,house; blindness
2354,Sisera,that sees a horse or a swallow
2355,Sitnah,hatred
2356,Sivan,a bush or thorn
2357,Smyrna,myrrh
2358,So,a measure for grain; vail
2359,Socoh,tents; tabernacles
2360,Sodi,my secret
2361,Sodom,their secret; their cement
2362,Solomon,peaceable; perfect; one who recompenses
2363,Sopater,"Sosipater, who defends the father"
2364,Sophereth,"scribe, numbering"
2365,Sorek,vine; hissing; a color inclining to yellow
2366,Sosthenes,savior; strong; powerful
2367,Sotai,conclusion in pleading; binding
2368,Spain,rare; precious
2369,Stachys,spike or ear of corn
2370,Stephanas,crown; crowned
2371,Stephen,same as Stephanas
2372,Suah,speaking; entreating; ditch
2373,Succoth,tents; tabernacles
2374,Succoth-benoth,"the tents of daughters, or young women; or prostitutes"
2375,Sud,my secret
2376,Sur,that withdraws or departs; rebellion
2377,Susanna,lily; rose; joy
2378,Susi,horse; swallow; moth
2379,Sychar,end
2380,Syene,a bush; enmity
2381,Syntyche,that speaks or discourses
2382,Syracuse,that draws violently
