ID,Name,Meaning
295,Asriel,help of God
296,Assir,prisoner; fettered
297,Asshurim,liers in want; beholders
298,Assos,approaching; coming near
299,Assur,same as Ashur
300,Assyria,country of Assur or Ashur
301,Asuppim,gatherings
302,Asyncritus,incomparable
303,Atad,a thorn
304,Atarah,a crown
305,Ataroth,crowns
306,Ataroth-addar,crowns of power
307,Ater,left hand; shut
308,Athach,thy time
309,Athaiah,the Lord's time
310,Athaliah,the time of the Lord
311,Athlai,my hour or time
312,Attai,same as Athlai
313,Attalia,that increases or sends
314,Attalus,"increased, nourished"
315,Augustus,"increased, augmented"
316,Ava,"or Ivah, iniquity"
317,Aven,iniquity; force; riches; sorrow
318,Avim,wicked or perverse men
319,Avith,"wicked, perverse"
320,Azaliah,near the Lord
321,Azaniah,hearing the Lord; the Lord's weapons
322,Azareel,help of God
323,Azariah,he that hears the Lord
324,Azaz,strong one
325,Azazel,the scape-goat
326,Azaziah,strength of the Lord
327,Azekah,strength of walls
328,Azgad,a strong army; a gang of robbers
329,Azmaveth,strong death; a he-goat
330,Azmon,bone of a bone; our strength
331,Aznoth-tabor,the ears of Tabor; the ears of purity or contrition
332,Azor,a helper; a court
333,Azotus,the same as Ashdod
334,Azriel,same as Asriel
335,Azrikam,"help, revenging"
336,Azubah,forsaken
337,Azur,he that assists or is assisted
338,Azzan,their strength
339,Azzur,same as Azur
340,Baal,master; lord
341,Baalah,her idol; she that is governed or subdued; a spouse
342,Baalath,a rejoicing; our proud lord
343,Baalath-beer,subjected pit
344,Baal-berith,idol of the covenant
345,Baale,same as Baalath
346,Baal-gad,idol of fortune or felicity
347,Baal-hamon,who rules a crowd
348,Baal-hermon,possessor of destruction or of a thing cursed
349,Baali,my idol; lord over me
350,Baalim,idols; masters; false gods
351,Baalis,a rejoicing; a proud lord
352,Baal-meon,idol or master of the house
353,Baal-peor,master of the opening
354,Baal-perazim,god of divisions
355,Baal-shalisha,the god that presides over three; the third idol
356,Baal-tamar,master of the palm-tree
357,Baal-zebub,god of the fly
358,Baal-zephon,the idol or possession of the north; hidden; secret
359,Baanah,in the answer; in affliction
360,Baara,a flame; purging
361,Baaseiah,in making; in pressing together
362,Baasha,"he that seeks, or lays waste"
363,Babel,confusion; mixture
364,Babylon,same as Babel
365,Baca,a mulberry-tree
366,Bahurim,choice; warlike; valiant
367,Bajith,a house
368,Balaam,the ancient of the people; the destruction of the people
369,Baladan,one without judgment
370,Balak,who lays waste or destroys
371,Bamah,an eminence or high place
372,Barabbas,"son of shame, confusion"
373,Barachel,that bows before God
374,Barachias,same as Barachel
375,Barak,"thunder, or in vain"
376,Barjesus,son of Jesus or Joshua
377,Barjona,son of a Jona; of a dove
378,Barnabas,"son of the prophet, or of consolation"
379,Barsabas,son of return; son of rest
380,Bartholomew,a son that suspends the waters
381,Bartimeus,son of the honorable
382,Baruch,who is blessed
383,Barzillai,son of contempt; made of iron
384,Bashan,"in the tooth, in ivory"
385,Bashemath,perfumed; confusion of death; in desolation
386,Bathsheba,the seventh daughter; the daughter of satiety
387,Bathsuha,same as Bathsheba
388,Bealiah,the god of an idol; in an assembly
389,Bealoth,cast under
390,Bebai,"void, empty"
391,Becher,first begotten; first fruits
392,Bechorath,first fruits
393,Bedad,alone; solitary
394,Bedaiah,"Bedeiah, the only Lord"
395,Bedan,according to judgment
396,Beeliada,an open idol
397,Beelzebub,same as Baalzebub
398,Beer,a well
399,Beera,a well; declaring
400,Beerelim,"the well of Elim, or of rains"
401,Beeri,my well
402,Beer-lahai-roi,the well of him that liveth and seeth me
403,Beeroth,wells; explaining
404,Beersheba,the well of an oath; the seventh well
405,Behemoth,beasts
406,Bekah,half a shekel
407,Belah,destroying
408,Belial,"wicked, worthless"
409,Belshazzar,master of the treasure
410,Belteshazzar,who lays up treasures in secret
411,Ben,a son
412,Benaiah,son of the Lord
413,Ben-ammi,son of my people
414,Beneberak,sons of lightning
415,Bene-jaakan,sons of sorrow
416,Benhadad,"son of Hadad, or noise"
417,Benhail,son of strength
418,Benhanan,son of grace
419,Benjamin,son of the right hand
420,Benimi,our sons
421,Beno,his son
422,Benoni,"son of my sorrow, or pain"
423,Benzoheth,son of separation
424,Beon,in affliction
425,Beor,burning; foolish; mad
426,Bera,a well; declaring
427,Berachah,blessing; bending the knee
428,Berachiah,speaking well of the Lord
429,Beraiah,the choosing of the Lord
430,Berea,heavy; weighty
431,Bered,hail
432,Beri,my son; my corn
433,Beriah,in fellowship; in envy
434,Berith,covenant
435,Bernice,one that brings victory
436,Berodach-baladan,the son of death
437,Berothai,wells; a cypress
438,Berothath,of a well
439,Besai,a despising; dirty
440,Besodeiah,counsel of the Lord
441,Besor,glad news; incarnation
442,Betah,confidence
443,Beten,belly
444,Bethabara,the house of confidence
445,Bethanath,house of affliction
446,Bethany,the house of song; the house of affliction
447,Betharabah,house of sweet smell
448,Beth-aram,house of height
449,Beth-aven,the house of vanity; of iniquity of trouble
450,Beth-azmaveth,house of death's strength
451,Beth-baalmeon,an idol of the dwelling-place
452,Beth-barah,the chosen house
453,Beth-birei,"the house of my Creator, the house of my health"
454,Beth-car,the house of the lamb
455,Beth-dagon,"the house of corn, or of fish"
456,Beth-diblathaim,house of dry figs
457,Beth-el,the house of God
458,Bethemek,house of deepness
459,Bether,"division, or in the trial"
460,Bethesda,house of pity or mercy
461,Beth-ezal,a neighbor's house
462,Beth-gader,a house for a mouse
463,Beth-gamul,"house of recompense, or of the camel"
464,Beth-haccerem,house of the vineyard
465,Beth-haran,house of grace
466,Beth-horon,house of wrath
467,Beth-lebaoth,house of lionesses
468,Beth-lehem,house of bread
469,Beth-marcaboth,house of bitterness wiped out
470,Beth-meon,house of the dwelling-place
471,Beth-nimrah,house of rebellion
472,Beth-palet,house of expulsion
473,Beth-pazzez,house of dividing asunder
474,Beth-peor,"house of gaping, or opening"
475,Bethphage,"house of my month, or of early figs"
476,Beth-phelet,same as Beth-palet
477,Beth-rapha,house of health
478,Bethsaida,"house of fruits, or of food, or of snares"
479,Bethshan,"Beth-shean, house of the tooth, or of ivory, or of sleep"
480,Beth-shemesh,house of the sun
481,Bethuel,filiation of God
482,Beth-zur,house of a rock
483,Betonim,bellies
484,Beulah,married
485,Bezai,eggs
486,Bezaleel,in the shadow of God
487,Bezek,lightning; in the chains
488,Bezer,vine branches
489,Bichri,first-born; first fruits
490,Bidkar,"in compunction, or sharp pain"
491,Bigthan,in the press; giving meat
492,Bigvai,in my body
493,Bildad,old friendship
494,Bileam,the ancient of the people; the devourer
495,Bilgah,ancient countenance
496,Bilhah,"Bilhan, who is old or confused"
497,Bilshan,in the tongue
498,Binea,son of the Lord
499,Binnui,building
500,Birsha,an evil; a son who beholds
501,Bishlam,in peace
502,Bithiah,daughter of the Lord
503,Bithron,divisions
504,Bithynia,violent precipitation
505,Bizjothjah,despite
506,Blastus,that buds or brings forth
507,Boanerges,son of thunder
508,Boaz,"or Booz, in strength"
509,Bocheru,the first born
510,Bochim,the place of weeping; or of mulberry-trees
511,Bohan,in them
512,Boskath,in poverty
513,Boson,taking away
514,Bozez,mud; bog
515,Bozrah,in tribulation or distress
516,Bukki,void
517,Bukkiah,the dissipation of the Lord
518,Bul,old age; perishing
519,Bunah,building; understanding
520,Bunni,building me
521,Buz,despised; plundered
522,Buzi,my contempt
523,Cabbon,as though understanding
524,Cabul,displeasing; dirty
525,Caiphas,he that seeks with diligence; one that vomiteth
526,Cain,"possession, or possessed"
527,Cainan,possessor; purchaser
528,Calah,favorable; opportunity
529,Calcol,nourishing
530,Caleb,a dog; a crow; a basket
531,Caleb-Ephratah,see Ephratah
532,Calneh,our consummation
533,Calno,our consummation; altogether himself
534,Calvary,the place of a skull
535,Camon,his resurrection
536,Cana,zeal; jealousy; possession
537,Canaan,merchant; trader; or that humbles and subdues
538,Candace,who possesses contrition
539,Capernaum,the field of repentance; city of comfort
540,Caphtor,"a sphere, buckle, or hand"
541,Cappadocia,the same as Caphtor
542,Carcas,the covering of a lamb
543,Charchemish,a lamb; as taken away; withdrawn
544,Careah,bald; ice
545,Carmel,circumcised lamb; harvest; full of ears of corn
546,Carmi,my vineyard; lamb of the waters
547,Carpus,fruit; fruitful
548,Carshena,a lamb; sleeping
549,Casiphia,money; covetousness
550,Casluhim,hopes of life
551,Cedron,black; sad
552,Cenchrea,millet; small pulse
553,Cephas,a rock or stone
554,Cesar,a name applied to those who are cut out of the womb
555,Chalcol,"who nourishes, consumes, and sustains the whole"
556,Chaldea,"as demons, or as robbers"
557,Charran,a singing or calling out
558,Chebar,force or strength
559,Chedorlaomer,roundness of a sheaf
560,Chelal,as night
561,Chelub,a basket
562,Chelluh,all
563,Chelubai,he altogether against me
564,Chemarims,black ones
565,Chemosh,handling; stroking; taking away
566,Chenaanah,broken in pieces
567,Chenani,my pillar
568,Chenaniah,"preparation, or disposition, or strength, of the Lord"
569,Chephirah,a little lioness
570,Cheran,anger
571,Cherethims,"Cherethites, who cut or tear away"
572,Cherith,cutting; piercing; slaying
573,Chesed,"as a devil, or a destroyer"
574,Chesil,foolishness
575,Chesulloth,fearfulness
576,Chidon,a dart
577,Chiliab,totality; or the perfection of the father
578,Chilion,finished; complete; perfect
579,Chilmad,teaching or learning
580,Chimham,as they; like to them
581,Chios,open; opening
582,Chisleu,"Cisleu, Casleu, rashness; confidence"
583,Chislon,"hope, trust"
584,Chisloth-tabor,fears; purity
585,Chittem,those that bruise; gold
586,Chloe,green herb
587,Chorazin,the secret; here is a mystery
588,Chozeba,men liers in wait
589,Christ,anointed
590,Chun,making ready
591,Chushan-rishathaim,blackness of iniquities
592,Chuza,the seer or prophet
593,Cilicia,which rolls or overturns
594,Cis,same as Kish
595,Clauda,a lamentable voice
596,Claudia,"Claudius, lame"
597,Clement,mild; good; merciful
598,Cleophas,the whole glory
599,Cnidus,age
600,Colhozeh,every prophet
601,Colosse,punishment; correction
602,Coniah,strength of the Lord
603,Coos,"top, summit"
604,Corinth,which is satisfied; ornament; beauty
605,Cornelius,of a horn
606,Cosam,divining
607,Coz,a thorn
608,Cozbi,a liar; sliding away
609,Crescens,growing; increasing
610,Crete,carnal; fleshly
611,Crispus,curled
612,Cush,"Cushan, Cushi, Ethiopians; blackness"
613,Cuth,"Cuthah, burning"
614,Cyprus,fair; fairness
615,Cyrene,a wall; coldness; the floor
616,Cyrenius,who governs
617,Cyrus,as miserable; as heir
618,Dabareh,the word; the thing; a bee; obedient
619,Dabbasheth,flowing with honey
620,Daberath,same as Dabareh
621,Dagon,corn; a fish
622,Dalaiah,the poor of the Lord
623,Dalmanutha,a bucket; a branch
624,Dalmatia,deceitful lamps; vain brightness
625,Dalphon,the house of caves
626,Damaris,a little woman
627,Damascus,a sack full of blood; the similitude of burning
628,Dan,judgment; he that judges
629,Daniel,judgment of God; God my judge
630,Dannah,judging
631,Darah,generation; house of the shepherd or of the companion
632,Darda,home of knowledge
633,Darius,he that informs himself
634,Darkon,of generation; of possession
635,Dathan,laws or rites
636,David,"well-beloved, dear"
637,Debir,an orator; a word
638,Deborah,word; thing; a bee
639,Decapolis,containing ten cities
640,Dedan,their breasts; friendship; a judge
641,Dedanim,the descendants of Dedan
642,Dekar,force
643,Delaiah,the poor of the Lord
644,Delilah,poor; small; head of hair
645,Demas,popular
646,Demetrius,"belonging to corn, or to Ceres"
647,Derbe,a sting
648,Deuel,the knowledge of God
649,Deuteronomy,repetition of the law
650,Diana,"luminous, perfect"
651,Diblaim,cluster of figs
652,Diblath,paste of dry figs
653,Dibon,abundance of knowledge
654,Dibon-gad,great understanding; abundance of sons
655,Dibri,an orator
656,Dibzahab,"Dizahab, where much gold is"
657,Didymus,a twin; double
658,Diklah,"Dildah, his diminishing"
659,Dilean,that is poor
660,Dimon,where it is red
661,Dimonah,dunghill
662,Dinah,judgment; who judges
663,Dinhabah,he gives judgment
664,Dionysius,divinely touched
665,Diotrephes,nourished by Jupiter
666,Dishan,a threshing
667,Dishon,fatness; ashes
668,Dodai,"Dodanim, beloved"
669,Dodavah,love
670,Dodo,his uncle
671,Doeg,"careful, who acts with uneasiness"
672,Dophkah,a knocking
673,Dor,"generation, habitation"
674,Dorcas,a female roe-deer
675,Dothan,the law; custom
676,Drusilla,watered by the dew
677,Dumali,silence; resemblance
678,Dura,same as Dor
679,Ebal,ancient heaps
680,Ebed,a servant; laborer
681,Ebed-melech,the king's servant
682,Eben-ezer,the stone of help
683,Eber,one that passes; anger
684,Ebiasaph,a father that gathers or adds
