id,name,sex,source,weight
303,Akaysha,F,SS,318
304,Daniesha,F,SS,624
305,Darely,F,SS,233
306,Darlie,F,SS,24
307,Anyely,F,SS,102
308,Axa,F,SS,45
309,Alyssya,F,SS,16
310,Elgie,F,SS,5240
311,Bethellen,F,SS,14
312,Cimberly,F,SS,180
313,Ahnna,F,SS,421
314,Senaca,M,SS,165
315,Zander,F,SS,37
316,Tayna,F,SS,2551
317,Terriss,M,SS,34
318,Preetam,M,SS,13
319,Tamasine,F,SS,12
320,Rinka,F,SS,14
321,Samekia,F,SS,17
322,Trevis,F,SS,26
323,Trina,M,SS,82
324,Kalesa,F,SS,13
325,Nickalus,M,SS,1193
326,Nikolas,F,SS,39
327,Nilyn,F,SS,13
328,Marysia,F,SS,80
329,Percy,M,SS,240431
330,Dimitre,M,SS,48
331,Athala,F,SS,21
332,Aziyah,M,SS,40
333,Alyssia,F,SS,11534
334,Amzie,F,SS,14
335,Blondie,F,SS,1221
336,Jadyn,M,SS,7615
337,Ryshawn,M,SS,201
338,Nasjah,F,SS,16
339,Yaren,F,SS,42
340,Zellie,M,SS,23
341,Sherrise,F,SS,187
342,Thommy,M,SS,45
343,Shaughn,F,SS,17
344,Rishaun,M,SS,14
345,Simuel,M,SS,1407
346,Sofhia,F,SS,80
347,Sopheak,M,SS,103
348,Tajir,M,SS,100
349,Deveny,F,SS,144
350,Dibbie,F,SS,110
351,Margarita,M,SS,673
352,Martinique,F,SS,1293
353,Patton,M,SS,2523
354,Peytyn,F,SS,427
355,Kirisa,F,SS,13
356,Lehiwa,F,SS,13
357,Leonarda,F,SS,4966
358,Mcclellan,M,SS,503
359,Jazzmun,F,SS,16
360,Jerico,M,SS,1899
361,Jonnathan,M,SS,2929
362,Lexa,F,SS,2183
363,Loi,F,SS,31
364,Nikera,F,SS,140
365,Key,F,SS,28
366,Keyra,F,SS,1699
367,Freyja,F,SS,633
368,Juarez,M,SS,72
369,Hoyal,M,SS,73
370,Lakelsha,F,SS,20
371,Laprincess,F,SS,73
372,Johnda,F,SS,631
373,Ginelle,F,SS,1286
374,Gleen,M,SS,2408
375,Bari,M,SS,386
376,Bassil,M,SS,141
377,Beatris,F,SS,3517
378,Fallyn,F,SS,1940
379,Caelen,M,SS,959
380,Calix,M,SS,481
381,Cameran,F,SS,1981
382,Camoni,F,SS,14
383,Jawon,M,SS,1927
384,Jayela,F,SS,15
385,Bralin,M,SS,252
386,Cyenthia,F,SS,62
387,Colquitt,M,SS,44
388,Aarya,F,SS,1277
389,Abira,F,SS,26
390,Ajene,F,SS,159
391,Zelmer,F,SS,86
392,Shekila,F,SS,130
393,Shereena,F,SS,159
394,Sylvester,F,SS,4668
395,Ryane,M,SS,157
396,Saiden,M,SS,14
397,Victorjr,M,SS,26
398,Tymera,F,SS,52
399,Talyah,F,SS,753
400,Quinnie,M,SS,14
401,Ral,M,SS,15
402,Oveida,F,SS,30
403,Tobyas,M,SS,13
404,Donnajo,F,SS,72
405,Stephnie,F,SS,1518
406,Lethell,M,SS,17
407,Mattew,M,SS,3012
408,Denroy,M,SS,17
409,Dera,F,SS,2380
410,Shun,M,SS,2362
411,Presslie,F,SS,27
412,Lj,M,SS,330
413,Kallen,M,SS,2262
414,Karagen,F,SS,32
415,Nirav,M,SS,1130
416,Laython,M,SS,41
417,Leevan,M,SS,14
418,Chaiden,M,SS,28
419,Chardonae,F,SS,70
420,Evander,M,SS,4510
421,Irit,F,SS,14
422,Jackueline,F,SS,14
423,Jovaan,M,SS,14
424,Akeela,F,SS,388
425,Daymeon,M,SS,321
426,Antinique,F,SS,85
427,Gionna,F,SS,1409
428,Jamarr,M,SS,3408
429,Casie,F,SS,13239
430,Arthurine,F,SS,1101
431,Atley,M,SS,723
432,Azmina,F,SS,13
433,Alexiana,F,SS,686
434,Amarantha,F,SS,13
435,Amileah,F,SS,35
436,Shioban,F,SS,14
437,Meggin,F,SS,1024
438,Naquille,M,SS,19
439,Xion,F,SS,35
440,Yi,M,SS,291
441,Verdie,F,SS,28752
442,Shelette,F,SS,14
443,Sheylin,F,SS,176
444,Roen,M,SS,588
445,Somalia,F,SS,309
446,South,M,SS,22
447,Mancil,M,SS,550
448,Whiteny,F,SS,79
449,Tunisia,F,SS,1773
450,Ray,F,SS,47305
451,Jenika,F,SS,1829
452,Mystie,F,SS,707
453,Pattie,M,SS,22
454,Oluwapelumi,F,SS,29
455,Rhnea,F,SS,13
456,Hiliary,F,SS,390
457,Katrinia,F,SS,1437
458,Kunj,M,SS,96
459,Londell,M,SS,1834
460,Kaprisha,F,SS,102
461,Kolbie,F,SS,1399
462,Haddon,M,SS,584
463,Harrell,M,SS,10399
464,Jerzy,F,SS,231
465,Jhosue,M,SS,26
466,Josphine,F,SS,1222
467,Julyanna,F,SS,257
468,Bruna,F,SS,3677
469,Anessah,F,SS,14
470,Anneliesse,F,SS,36
471,Inika,F,SS,98
472,Eddi,M,SS,275
473,Ediberto,M,SS,880
474,Bharat,M,SS,478
475,Abiyah,F,SS,13
476,Adelmira,F,SS,84
477,Ahana,F,SS,606
478,Akeen,M,SS,580
479,Daniella,F,SS,58995
480,Armonie,F,SS,1078
481,Asuzena,F,SS,228
482,Ava,F,SS,455066
483,Bahati,F,SS,48
484,Alverda,F,SS,9297
485,Benjiam,M,SS,14
486,Teliea,F,SS,24
487,Natthew,M,SS,136
488,Tanishia,F,SS,1632
489,Xica,F,SS,23
490,Yordano,M,SS,61
491,Set,M,SS,27
492,Zykerion,M,SS,43
493,Symanthia,F,SS,34
494,Tahesia,F,SS,14
495,Salih,M,SS,816
496,Wally,F,SS,590
497,Willadine,F,SS,69
498,Nafia,F,SS,63
499,Tomara,F,SS,1171
500,Shakiel,M,SS,116
501,Shamikia,F,SS,174
502,Shauna,M,SS,169
503,Remmington,F,SS,83
504,Rhyannon,F,SS,96
505,Jerediah,M,SS,47
506,Denesia,F,SS,198
507,Detric,M,SS,1166
508,Rakiyah,F,SS,798
509,Ramatou,F,SS,20
510,Norwin,M,SS,325
511,Jollette,F,SS,13
512,Limairy,F,SS,19
513,Katheen,F,SS,349
514,Nicoe,F,SS,17
515,Keyaria,F,SS,166
516,Khaelyn,F,SS,16
517,Ceriah,F,SS,148
518,Izais,M,SS,53
519,Katlan,F,SS,72
520,Kayleigha,F,SS,13
521,Kedarious,M,SS,16
522,Lanautica,F,SS,133
523,Andrik,M,SS,1344
524,Hance,M,SS,234
525,Germain,F,SS,121
526,Jalyna,F,SS,26
527,Jarquis,M,SS,211
528,Cartell,M,SS,33
529,Christion,F,SS,46
530,Durane,M,SS,17
531,Abigail,F,SS,773196
532,Ad,M,SS,518
533,Danait,F,SS,32
534,Breshuna,F,SS,14
535,Auriah,F,SS,25
536,Babe,F,SS,3596
537,Bertis,F,SS,86
538,Bhrianna,F,SS,13
539,Bonniejean,F,SS,283
540,Brailee,F,SS,724
541,Yanika,F,SS,60
542,Zhaki,M,SS,13
543,Shela,F,SS,3968
544,Micheale,F,SS,289
545,Mickia,F,SS,35
546,Mirage,M,SS,13
547,Trenidy,F,SS,106
548,True,M,SS,2569
549,Nagely,F,SS,53
550,Neiva,F,SS,207
551,Talia,M,SS,14
552,Wyllis,M,SS,50
553,Shantail,F,SS,28
554,Rejeanne,F,SS,162
555,Riese,F,SS,84
556,Rodrigue,M,SS,105
557,Spessard,M,SS,21
558,Stavros,M,SS,2150
559,Moraes,M,SS,13
560,Manisha,F,SS,2318
561,Philece,F,SS,17
562,Quila,F,SS,36
563,Nymir,M,SS,164
564,Octavio,F,SS,14
565,Keagen,F,SS,57
566,Kenia,F,SS,15496
567,Katelynd,F,SS,732
568,Khristian,M,SS,4439
569,Kristafer,M,SS,116
570,Mckensi,F,SS,371
571,Elvir,M,SS,83
572,Emajean,F,SS,90
573,Engracia,F,SS,189
574,Haskell,F,SS,46
575,Heater,F,SS,162
576,Jaryiah,F,SS,91
577,Bralee,F,SS,145
578,Cortland,F,SS,60
579,Alantra,F,SS,174
580,Dajah,M,SS,16
581,Darlane,F,SS,82
582,Annabell,F,SS,29614
583,Armilda,F,SS,1499
584,Amberann,F,SS,17
585,Bill,M,SS,658507
586,Coddy,M,SS,58
587,Danaria,F,SS,141
588,Canada,F,SS,153
589,Nhan,F,SS,14
590,Niaomi,F,SS,243
591,Sef,M,SS,29
592,Mery,F,SS,1059
593,Sioban,F,SS,100
594,Sadat,M,SS,252
595,Rashiya,F,SS,157
596,Vienne,F,SS,321
597,Tonnesha,F,SS,29
598,Tulon,M,SS,30
599,Marinell,F,SS,1027
600,Nyjuan,M,SS,44
601,Oksanna,F,SS,32
602,Reny,M,SS,29
603,Ronel,M,SS,1173
604,Sinnamon,F,SS,13
605,Lerlean,F,SS,43
606,Jaylian,M,SS,13
607,Myaira,F,SS,27
608,Derrius,M,SS,1951
609,Dimari,M,SS,57
610,Dmetrius,M,SS,172
611,Jakyrie,M,SS,40
612,Eyal,M,SS,716
613,Gabryel,M,SS,699
614,Lakendrick,M,SS,2065
615,Lamone,M,SS,404
616,Lisandro,F,SS,13
617,Carlosalberto,M,SS,124
618,Arleth,F,SS,5680
619,Iliyah,F,SS,477
620,Edley,M,SS,180
621,Henrettia,F,SS,133
622,Jimel,M,SS,298
623,Alexandros,M,SS,3323
624,Alina,F,SS,54403
625,Dahndray,M,SS,36
626,Duran,M,SS,3810
627,Abbygael,F,SS,164
628,Aidin,F,SS,32
629,Tyhessia,F,SS,54
630,Zonnique,F,SS,34
631,Mikei,M,SS,13
632,Tavante,M,SS,81
633,Tiandria,F,SS,13
634,Rembrandt,M,SS,14
635,Wanyae,M,SS,27
636,Weldon,M,SS,62424
637,Trevina,F,SS,85
638,Tristyn,M,SS,3577
639,Tyequan,M,SS,16
640,Quaid,M,SS,1517
641,Tlyer,M,SS,16
642,Shakina,F,SS,1901
643,Shakkia,F,SS,65
644,Shamore,M,SS,16
645,Shawnia,F,SS,483
646,Loriene,F,SS,515
647,Louraine,F,SS,170
648,Kioni,F,SS,203
649,Lavernia,F,SS,46
650,Lavonde,F,SS,18
651,Marieelena,F,SS,214
652,Jakim,M,SS,386
653,Jaleeya,F,SS,189
654,Launia,F,SS,21
655,Katreina,F,SS,16
656,Lacosta,F,SS,757
657,Ladajia,F,SS,43
658,Annisha,F,SS,468
659,Alexjandro,M,SS,128
660,Amiel,M,SS,3093
661,Brylyn,M,SS,45
662,Candies,F,SS,234
663,Chiyoko,F,SS,2884
664,Christyn,M,SS,15
665,Shemiah,F,SS,426
666,Mizan,F,SS,16
667,Taniyah,F,SS,7805
668,Terita,F,SS,277
669,Mallarie,F,SS,499
670,Sandie,F,SS,7830
671,Sarabeth,F,SS,3038
672,Vitina,F,SS,217
673,Vivion,M,SS,44
674,Zachaery,M,SS,26
675,Ramont,M,SS,176
676,Tison,M,SS,358
677,Roody,M,SS,58
678,Ssirley,F,SS,12
679,Takerra,F,SS,165
680,Donette,F,SS,3081
681,Karston,M,SS,997
682,Gaquan,M,SS,14
683,Lynee,F,SS,836
684,Dennis,M,SS,1916940
685,Myree,F,SS,83
686,Quinntin,M,SS,302
687,Euretha,F,SS,448
688,Fayez,M,SS,319
689,Kaviya,F,SS,26
690,Keelynn,F,SS,65
691,Kendrie,F,SS,27
692,Kanchan,F,SS,19
693,Davon,F,SS,1049
694,Jacquitta,F,SS,30
695,Jahnyah,F,SS,94
696,Gereld,M,SS,13
697,Jeslie,F,SS,137
698,Kristof,M,SS,590
699,Alba,F,SS,21916
